actors;;;date;movie;press_rating;producer;spectators_rating
214,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
215,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
216,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
217,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
218,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
219,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
220,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
221,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
222,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
223,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
224,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
225,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
226,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
227,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
228,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
229,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
230,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
231,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
232,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
233,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
234,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
235,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
236,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
237,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
238,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
239,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
240,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
241,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
242,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
243,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
244,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
245,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
246,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
247,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
248,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
249,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
250,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
251,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
252,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
253,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
254,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
255,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
256,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
257,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
258,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
259,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
260,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
261,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
262,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
263,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
264,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
265,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
266,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
267,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
268,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
269,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
270,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
271,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
272,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
273,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
274,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
275,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
276,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
277,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
278,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
279,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
280,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
281,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
282,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
283,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
284,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
285,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
286,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
287,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
288,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
289,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
290,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
291,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
292,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
293,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
294,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
295,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
296,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
297,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
298,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
299,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
300,Rainn Wilson ; Ellen Page ; Liv Tyler ;1 décembre 2011;Super;;James Gunn (II);3,5
301,Jean-Paul Rouve ; Isabelle Nanty ; Claire Nadeau ;01-juil-11;Les Tuche;2,3;Olivier Baroux;2,6
302,Leonardo DiCaprio ; Marion Cotillard ; Ellen Page ;21-juil-10;Inception;4,1;Christopher Nolan;4,4
303,Bruce Willis ; Morgan Freeman ; Helen Mirren ;17-nov-10;Red;2,8;Robert Schwentke;3,5
304,François Cluzet ; Marion Cotillard ; Benoît Magimel ;20-oct-10;Les petits mouchoirs;2,9;Guillaume Canet;3,6
305,Sarah Jessica Parker ; Kim Cattrall ; Kristin Davis ;02-juin-10;Sex and the City 2;2,5;Michael Patrick King;2,4
306,Benoît Poelvoorde ; Dany Boon ; Julie Bernard ;2 février 2011;Rien à déclarer;2,2;Dany Boon;2,5
307,Leonardo DiCaprio ; Mark Ruffalo ; Ben Kingsley ;24 février 2010;Shutter Island;3,8;Martin Scorsese;4,3
308,Vincent Elbaz ; Gregori Derangère ; Mélanie Bernier ;09-mars-11;L'Assaut;2,8;Julien Leclercq;3,6
309,Rémy Girard ; Lubna Azabal ; Mélissa Désormeaux-Poulin ;12-janv-11;Incendies;3,8;Denis Villeneuve;4,4
310,Mario Casas ; María Valverde ; Álvaro Cervantes ;21 août 2013;3 mètres au-dessus du ciel - Twilight Love;;Fernando González Molina;4,2
311,Natalie Portman ; Mila Kunis ; Vincent Cassel ;9 février 2011;Black Swan;4,1;Darren Aronofsky;4,1
312,Johnny Depp ; Mia Wasikowska ; Matt Lucas ;24-mars-10;Alice au Pays des Merveilles;3,5;Tim Burton;3,3
313,Patrick Wilson ; Rose Byrne ; Ty Simpkins ;15-juin-11;Insidious;3,2;James Wan;3,5
314,Carey Mulligan ; Andrew Garfield ; Keira Knightley ;02-mars-11;Never Let Me Go;3;Mark Romanek;3,5
315,Jean Reno ; Kad Merad ; Marina Foïs ;24-mars-10;L'Immortel;2,4;Richard Berry;3,4
316,Colin Firth ; Helena Bonham Carter ; Derek Jacobi ;2 février 2011;Le Discours d'un roi;4;Tom Hooper;4,3
317,Romain Duris ; Vanessa Paradis ; Julie Ferrier ;17-mars-10;L'Arnacoeur;4;Pascal Chaumeil;3,9
318,Donald Reignoux ; Emmanuel Jacomy ; Florine Orphelin ;31-mars-10;Dragons;3,8;Chris Sanders;4,4
319,Ryan Reynolds ; Erik Palladino ; Robert Paterson ;03-nov-10;Buried;3,6;Rodrigo Cortés;3,3
320,Srdjan Todorovic ; Sergej Trifunovic ; Jelena Gavrilovic ;2 février 2012;A Serbian Film;;Srdjan Spasojevic;2,1
321,James Franco ; Amber Tamblyn ; Kate Mara ;23 février 2011;127 heures;3,2;Danny Boyle;3,9
322,Adrien Brody ; Alice Braga ; Topher Grace ;14-juil-10;Predators;2,5;Nimrod Antal;2,5
323,Robert Pattinson ; Emilie de Ravin ; Chris Cooper ;07-avr-10;Remember Me;2,4;Allen Coulter;3,9
324,Jesse Eisenberg ; Justin Timberlake ; Andrew Garfield ;13-oct-10;The Social Network;4,4;David Fincher;4
325,Vincent Claude ; Elie Semoun ; Bruno Podalydès ;22-juin-11;L'Elève Ducobu;2,1;Philippe de Chauveron;2,2
326,Ben Affleck ; Rebecca Hall ; Jon Hamm ;15-sept-10;The Town;3,5;Ben Affleck;3,9
327,Michael Gregorio ; James Marsden ; Kaley Cuoco ;06-juil-11;Hop;2,1;Tim Hill;2,8
328,Maeva Méline ; Romain Duris ; Isabelle Adjani ;1 décembre 2010;Raiponce;3,8;Byron Howard;4,3
329,Daniel Radcliffe ; Rupert Grint ; Emma Watson ;24-nov-10;Harry Potter et les reliques de la mort - partie 1;3,2;David Yates;4,1
330,Moises Arias ; Bridgit Mendler ; David Henrie ;12-janv-11;Arrietty le petit monde des chapardeurs;3,7;Hiromasa Yonebayashi;4,1
331,John Travolta ; Jonathan Rhys-Meyers ; Kasia Smutniak ;17 février 2010;From Paris With Love;2,4;Pierre Morel;2,5
332,Jacques Gamblin ; Sara Forestier ; Zinedine Soualem ;24-nov-10;Le Nom des gens;3,7;Michel Leclerc;3,8
333,Ramzy Bedia ; Anne Marivin ; Marie-France Pisier ;27-oct-10;Il reste du jambon ?;1,8;Anne Depetrini;1,9
334,Valérie Donzelli ; Jérémie Elkaïm ; Elina Löwensohn ;31 août 2011;La Guerre est déclarée;4,4;Valérie Donzelli;3,8
335,Channing Tatum ; Amanda Seyfried ; Richard Jenkins ;31-mars-10;Cher John;3,5;Lasse Hallström;3,6
336,Sarah Butler ; Chad Lindberg ; Daniel Franzese ;21-sept-11;I Spit on Your Grave;;Steven R. Monroe;3,6
337,Robert Downey Jr. ; Don Cheadle ; Scarlett Johansson ;28-avr-10;Iron Man 2;3,1;Jon Favreau;3,5
338,Jeff Bridges ; Garrett Hedlund ; Olivia Wilde ;9 février 2011;Tron l'héritage;2,7;Joseph Kosinski;3,4
339,Byung-Hun Lee ; Min-sik Choi ; Oh San-ha ;06-juil-11;J'ai rencontré le Diable;4,2;Jee-Woon Kim;4,3
340,Logan Lerman ; Brandon T. Jackson ; Pierce Brosnan ;10 février 2010;Percy Jackson : le voleur de foudre;2,5;Chris Columbus;2,8
341,Ryan Gosling ; Michelle Williams ; Mike Vogel ;15-juin-11;Blue Valentine;3,6;Derek Cianfrance;3,8
342,Matt Damon ; Cécile de France ; Thierry Neuvic ;19-janv-11;Au-delà;2,7;Clint Eastwood;2,6
343,Fabrice Eboué ; Thomas Ngijol ; Stéfi Celma ;06-juil-11;Case départ;3;Thomas Ngijol;3
344,Aaron Taylor-Johnson ; Nicolas Cage ; Chloë Grace Moretz ;21-avr-10;Kick-Ass;3,5;Matthew Vaughn;4
345,Jaden Smith ; Jackie Chan ; Taraji P. Henson ;18 août 2010;Karaté Kid;3,1;Harald Zwart;3,6
346,Gérard Depardieu ; Gisèle Casadesus ; Maurane ;02-juin-10;La Tête en friche;3,1;Jean Becker;3,9
347,Jeff Bridges ; Hailee Steinfeld ; Josh Brolin ;23 février 2011;True Grit;4;Ethan Coen;3,9
348,Poppy Montgomery ; Adam Kaufman ; Chelah Horsdal ;/;L'amour XXL;;Gary Harvey;3,6
349,Maxime Godart ; Valérie Lemercier ; Kad Merad ;30-sept-09;Le Petit Nicolas;2,8;Laurent Tirard;2,9
350,Ewan McGregor ; Pierce Brosnan ; Kim Cattrall ;03-mars-10;The Ghost Writer;4,6;Roman Polanski;3,8
351,Jake Gyllenhaal ; Anne Hathaway ; Oliver Platt ;29 décembre 2010;Love, et autres drogues;2,2;Edward Zwick;3,2
352,Denzel Washington ; Mila Kunis ; Gary Oldman ;20-janv-10;Le Livre d'Eli;2,4;Albert Hughes;3,4
353,Noah Ringer ; Dev Patel ; Nicola Peltz ;28-juil-10;Le Dernier maître de l'air;1,9;M. Night Shyamalan;2,4
354,Angelina Jolie ; Liev Schreiber ; Chiwetel Ejiofor ;25 août 2010;Salt;2,7;Phillip Noyce;3
355,Michael Cera ; Mary Elizabeth Winstead ; Jason Schwartzman ;1 décembre 2010;Scott Pilgrim;3,4;Edgar Wright;3,8
356,Sally Hawkins ; Bob Hoskins ; Rosamund Pike ;09-mars-11;We Want Sex Equality;3,7;Nigel Cole;3,8
357,Zac Efron ; Amanda Crew ; Charlie Tahan ;10-nov-10;Le Secret de Charlie;1,4;Burr Steers;3,6
358,Guillaume Canet ; Leïla Bekhti ; Slimane Khettabi ;04-janv-12;Une vie meilleure;3,8;Cédric Kahn;3,1
359,Tyler Labine ; Alan Tudyk ; Katrina Bowden ;1 février 2012;Tucker & Dale fightent le mal;3,7;Eli Craig;3,9
360,Julia Roberts ; Richard Jenkins ; Javier Bardem ;22-sept-10;Mange, prie, aime;1,7;Ryan Murphy;2,6
361,Jake Gyllenhaal ; Gemma Arterton ; Ben Kingsley ;26-mai-10;Prince of Persia : les sables du temps;2,6;Mike Newell;3,3
362,Sylvester Stallone ; Jason Statham ; Jet Li ;18 août 2010;Expendables : unité spéciale;2,8;Sylvester Stallone;3,1
363,Eric Balfour ; Scottie Thompson ; David Zayas ;15 décembre 2010;Skyline;1,5;Colin Strause;1,6
364,Sami Bouajila ; Denis Podalydès ; Maurice Bénichou ;22-juin-11;Omar m'a tuer;3,3;Roschdy Zem;3,8
365,Mark Wahlberg ; Christian Bale ; Amy Adams ;09-mars-11;Fighter;3,9;David O. Russell;4,1
366,Romain Duris ; Marina Foïs ; Catherine Deneuve ;03-nov-10;L'Homme qui voulait vivre sa vie;3,8;Eric Lartigau;3,2
367,Adam Butcher ; Shane Kippel ; Mateo Morales ;23-juin-10;Dog Pound;3,5;Kim Chapiron;4,1
368,Leila Hatami ; Peyman Moaadi ; Shahab Hosseini ;08-juin-11;Une Séparation;4,7;Asghar Farhadi;4,2
369,Louise Bourgoin ; Gilles Lellouche ; Mathieu Amalric ;14-avr-10;Adèle Blanc-Sec;2,8;Luc Besson;2,5
370,Tom Cruise ; Cameron Diaz ; Peter Sarsgaard ;28-juil-10;Night and Day;2,9;James Mangold;3,1
371,Jackie Earle Haley ; Kyle Gallner ; Rooney Mara ;12-mai-10;Freddy - Les Griffes de la nuit;1,5;Samuel Bayer;2,4
372,Dwayne Johnson ; Ashley Judd ; Julie Andrews ;09-juin-10;Fée malgré lui;2;Michael Lembeck;2,3
373,Russell Crowe ; Cate Blanchett ; Max von Sydow ;12-mai-10;Robin des Bois;3,4;Ridley Scott;3,2
374,Miley Cyrus ; Liam Hemsworth ; Greg Kinnear ;03-nov-10;La Dernière chanson;;Julie Anne Robinson;4
375,Jim Sturgess ; Ed Harris ; Saoirse Ronan ;26-janv-11;Les Chemins de la liberté;3,1;Peter Weir;3,8
376,Shah Rukh Khan ; Kajol Devgan ; Shane Harper ;26-mai-10;My Name Is Khan;3,4;Karan Johar;4,3
377,Dominique Blanc ; Bruno Salomone ; Jean Benguigui ;15 décembre 2010;Une vie de chat;3,6;Alain Gagnol;3,9
378,Kazato Tomizawa ; Aoi Miyazaki ; Akina Minami ;16-nov-11;Colorful;3,6;Keiichi Hara;4,2
379,Jean-Philippe Puymartin ; Richard Darbois ; Benoît Magimel ;14-juil-10;Toy Story 3;4,7;Lee Unkrich;4,4
380,Kristin Scott Thomas ; Mélusine Mayance ; Niels Arestrup ;13-oct-10;Elle s'appelait Sarah;3,3;Gilles Paquet-Brenner;4,1
381,Eric Elmosnino ; Lucy Gordon ; Laetitia Casta ;20-janv-10;Gainsbourg (Vie héroïque);3,8;Joann Sfar;3,6
382,Ving Rhames ; Elisabeth Shue ; Christopher Lloyd ;01-sept-10;Piranha 3D;3,5;Alexandre Aja;2,6
383,Ryan Driller ; Dale DaBone ; Will Ryder ;/;Superman XXX: A Porn Parody;;Axel Braun;3,3
384,Sam Worthington ; Liam Neeson ; Ralph Fiennes ;07-avr-10;Le Choc des Titans;2,9;Louis Leterrier;2,3
385,Jim Sturgess ; Emily Barclay ; Abbie Cornish ;27-oct-10;Le Royaume de Ga'Hoole - la légende des gardiens;3,1;Zack Snyder;3,8
386,Mélanie Thierry ; Lambert Wilson ; Grégoire Leprince-Ringuet ;03-nov-10;La Princesse de Montpensier;3,4;Bertrand Tavernier;3,1
387,Guy Pearce ; James Frecheville ; Jacki Weaver ;27-avr-11;Animal Kingdom;4;David Michôd;3,7
388,Clive Owen ; Catherine Keener ; Liana Liberato ;18-janv-12;Trust;3,3;David Schwimmer;3,7
389,Emma Thompson ; Maggie Gyllenhaal ; Rhys Ifans ;31-mars-10;Nanny McPhee et le Big Bang;2,5;Susanna White;2,9
390,Patricia Kaas ; Serge Hazanavicius ; Raphaël Boshart ;/;Assassinée;;Thierry Binisti;3,2
391,Ryan Gosling ; Carey Mulligan ; Bryan Cranston ;05-oct-11;Drive;4,4;Nicolas Winding Refn;4
392,François Cluzet ; Omar Sy ; Anne Le Ny ;02-nov-11;Intouchables;3,7;Eric Toledano;4,4
393,Chris Hemsworth ; Natalie Portman ; Anthony Hopkins ;27-avr-11;Thor;3;Kenneth Branagh;3,5
394,Steve Carell ; Ryan Gosling ; Julianne Moore ;14-sept-11;Crazy, Stupid, Love;3;John Requa;3,9
395,Amanda Seyfried ; Justin Timberlake ; Cillian Murphy ;23-nov-11;Time Out;2,7;Andrew Niccol;3,5
396,Daniel Brühl ; Marta Etura ; Alberto Ammann ;21-mars-12;Eva;3,3;Kike Maillo;3,7
397,Emma Stone ; Jessica Chastain ; Viola Davis ;26-oct-11;La Couleur des sentiments;2,5;Tate Taylor;4,4
398,Hugh Jackman ; Dakota Goyo ; Evangeline Lilly ;19-oct-11;Real Steel;2,8;Shawn Levy;3,8
399,Patrick Bethune ; Eric Herson-Macarel ; Pierre Laurent ;26-oct-11;Les Aventures de Tintin : Le Secret de la Licorne;3,5;Steven Spielberg;3,6
400,Bradley Cooper ; Robert De Niro ; Abbie Cornish ;08-juin-11;Limitless;3;Neil Burger;3,9
401,Tom Cruise ; Jeremy Renner ; Simon Pegg ;14 décembre 2011;Mission : Impossible - Protocole fantôme;3,8;Brad Bird;3,8
402,Natalie Portman ; Ashton Kutcher ; Kevin Kline ;16 février 2011;Sex Friends;2,3;Ivan Reitman;2,9
403,Chris Evans ; Hayley Atwell ; Sebastian Stan ;17 août 2011;Captain America : First Avenger;3,3;Joe Johnston;3,4
404,Johnny Depp ; Penélope Cruz ; Geoffrey Rush ;18-mai-11;Pirates des Caraïbes : la Fontaine de Jouvence;2,5;Rob Marshall;3,3
405,Anne Hathaway ; Jim Sturgess ; Patricia Clarkson ;24 août 2011;Un jour;3;Lone Scherfig;4
406,Zoe Saldana ; Amandla Stenberg ; Michael Vartan ;27-juil-11;Colombiana;2,3;Olivier Megaton;3,2
407,Will Dunn ; Rohan Gotobed ; Daniel Radcliffe ;13-juil-11;Harry Potter et les reliques de la mort - partie 2;3,8;David Yates;4,3
408,Joel Edgerton ; Tom Hardy ; Jennifer Morrison ;14-sept-11;Warrior;3,6;Gavin O'Connor;4,4
409,Nora Arnezeder ; Fu'ad Ait Aattou ; Anne Parillaud ;12-sept-12;Ce que le jour doit à la nuit;2,4;Alexandre Arcady;4,2
410,Karin Viard ; JoeyStarr ; Marina Foïs ;19-oct-11;Polisse;3,7;Maïwenn;4,1
411,Antonio Banderas ; Elena Anaya ; Marisa Paredes ;17 août 2011;La Piel que Habito;3,7;Pedro Almodóvar;4
412,Brad Pitt ; Jessica Chastain ; Sean Penn ;17-mai-11;The Tree of Life;3,5;Terrence Malick;2,6
413,Rooney Mara ; Daniel Craig ; Christopher Plummer ;18-janv-12;Millenium : Les hommes qui n’aimaient pas les femmes;3,8;David Fincher;4,1
414,Nicolas Cage ; Guy Pearce ; January Jones ;04-janv-12;Le Pacte;2;Roger Donaldson;2,9
415,Richard Gere ; Topher Grace ; Stephen Moyer ;04-mai-12;Secret Identity;;Michael Brandt;2,5
416,Reese Witherspoon ; Robert Pattinson ; Christoph Waltz ;04-mai-11;De l'eau pour les éléphants;2,8;Francis Lawrence;3,9
417,Asa Butterfield ; Chloë Grace Moretz ; Ben Kingsley ;14 décembre 2011;Hugo Cabret;4,1;Martin Scorsese;3,8
418,Kristen Connolly ; Chris Hemsworth ; Anna Hutchison ;02-mai-12;La Cabane dans les bois;3,5;Drew Goddard;2,9
419,Iko Uwais ; Yayan Ruhian ; Joe Taslim ;20-juin-12;The Raid;3,7;Gareth Evans;3,8
420,James Franco ; Freida Pinto ; John Lithgow ;10 août 2011;La Planète des singes : les origines;3,3;Rupert Wyatt;4,1
421,Jake Gyllenhaal ; Michelle Monaghan ; Vera Farmiga ;20-avr-11;Source Code;3,3;Duncan Jones;3,8
422,Patrick Bruel ; Valérie Benguigui ; Charles Berling ;25-avr-12;Le Prénom;3,2;Alexandre De La Patellière;4
423,James McAvoy ; Michael Fassbender ; Kevin Bacon ;01-juin-11;X-Men: Le Commencement;3,6;Matthew Vaughn;4,1
424,Esther Comar ; Martin Cannavo ; Vincent Perez ;18-janv-12;Ma Première fois;3;Marie-Castille Mention-Schaar;3,6
425,Michael Fassbender ; Carey Mulligan ; James Badge Dale ;7 décembre 2011;Shame;4;Steve McQueen (II);3,5
426,Leonardo DiCaprio ; Naomi Watts ; Armie Hammer ;11-janv-12;J. Edgar;3,9;Clint Eastwood;3,3
427,Kyle Chandler ; Joel Courtney ; Elle Fanning ;3 août 2011;Super 8;3,8;J.J. Abrams;3,6
428,Michael Shannon ; Jessica Chastain ; Tova Stewart ;04-janv-12;Take Shelter;4,6;Jeff Nichols;3,9
429,Alex Pettyfer ; Timothy Olyphant ; Teresa Palmer ;06-avr-11;Numéro quatre;1,9;D.J. Caruso;3,3
430,Matt Damon ; Emily Blunt ; Michael Kelly ;23-mars-11;L'Agence;3;George Nolfi;3,5
