,actors,date,movie,press_rating,producer,spectators_rating
0,Vaclav Neckar ; Josef Somr ; Vlastimil Brodsky ; ,/,Trains étroitement surveillés,,Jiri Menzel ; ,3.7
1,Hans-Michael Rehberg ; Ingrid Andree ; B.J. Britt ; ,/,Transfer,,Damir Lukacevic ; ,3.2
2,Jim Caviezel ; Diora Baird ; James Frain ; ,31 janvier 2006,Transit,,Antonio Negret ; ,2.9
3,,/,tremblez tyrans,,,3.2
4,Louis Koo ; Simon Yam ; Honglei Sun ; ,16 janvier 2008,Triangle,3.2,Ringo Lam ; Johnnie To ; Tsui Hark ; ,2.6
5,Peter Blok ; Robert de Hoog ; Sallie Harmsen ; ,2 avril 2014,Tricked,,Paul Verhoeven ; ,2.4
6,Terence Hill ; Bud Spencer ; Woody Strode ; ,23 septembre 2009,Trinita va tout casser,,Giuseppe Colizzi ; ,2.8
7,Shelley Duvall ; Sissy Spacek ; Janice Rule ; ,25 mai 1977,Trois femmes,5.0,Robert Altman ; ,4.0
8,Libuse Safrankova ; Pavel Trávnícek ; Carola Braunbock ; ,15 octobre 2013,Trois noisettes pour Cendrillon,,Vaclav Vorlicek ; ,3.4
9,Noah Hathaway ; Michael Moriarty ; Shelley Hack ; ,18 mars 2017,Troll,,John Carl Buechler ; ,2.6
10,Darren Ewing ; Christina Reynolds ; Michele Abrams ; ,/,Troll 2,,Claudio Fragasso ; ,2.2
11,Julie Gouppy ; Alexandre Hai ; Maud Kennedy ; ,/,Troublantes visions,,Benjamin Beaulieu ; ,3.1
12,Piotr Mamonov ; Youri Kuznetzov ; Oleg Yankovsky ; ,13 janvier 2010,Tsar,3.7,Pavel Lungin ; ,3.5
13,Julianne Côté ; Pierre-Luc Lafontaine ; Luc Senay ; ,18 mars 2015,Tu dors Nicole,3.7,Stéphane Lafleur ; ,2.9
14,Laura Linney ; Mark Ruffalo ; Matthew Broderick ; ,20 juin 2001,Tu peux compter sur moi,2.9,Kenneth Lonergan ; ,3.3
15,David Wissak ; Katerina Golubeva ; Jeremy Davies ; ,17 septembre 2003,TwentyNine Palms,3.4,Bruno Dumont ; ,2.4
16,Brian Cox ; Joseph Fiennes ; Liam Cunningham ; ,4 février 2009,Ultime Evasion,,Rupert Wyatt ; ,3.0
17,Leonardo Cuello ; María Nieves ; Juan Carlos Copes ; ,25 mai 2016,Ultimo Tango,3.3,German Kral ; ,3.7
18,Antoine de Caunes ; Carole Bouquet ; Jean-Pierre Lorit ; ,26 avril 2006,Un Ami parfait,2.2,Francis Girod ; ,1.9
19,Leslie Hope ; Wendy Crewson ; D.W. Moffett ; ,/,Un amour inattendu,,Lee Rose ; ,3.1
20,Martin Nissen ; Olivier Gourmet ; Anne Consigny ; ,30 juin 2010,Un ange à la mer,2.3,Frederic Dumont ; ,3.1
21,Burt Lancaster ; Patrick O'Neal ; Jean-Pierre Aumont ; ,/,Un Château en enfer,,Sydney Pollack ; ,2.8
22,Madonna ; Rupert Everett ; Benjamin Bratt ; ,5 juillet 2000,Un Couple presque parfait,2.4,John Schlesinger ; ,2.4
23,Greg Kinnear ; Lauren Graham ; Dermot Mulroney ; ,27 mai 2009,Un éclair de génie,2.0,Marc Abraham ; ,3.4
24,Charles Vanel ; Bruno Cremer ; Jean-Claude Brialy ; ,/,Un homme de trop,,Costa-Gavras ; ,3.4
25,Christophe Paou ; Mathieu Amalric ; Hélène Fillières ; ,28 mai 2003,"Un homme, un vrai",3.4,Jean-Marie Larrieu ; Arnaud Larrieu ; ,3.4
26,Bonnie Somerville ; Jordan Bridges ; Shelley Long ; ,/,Un mari à louer,,Jim Fall ; ,3.0
27,Raquel Welch ; John Richardson ; Percy Herbert ; ,19 août 2003,Un Million d'années avant J.-C.,,Don Chaffey ; ,2.8
28,Yannick Guérin ; Simon Abkarian ; Lubna Azabal ; ,18 décembre 2002,Un monde presque paisible,3.4,Michel Deville ; ,2.8
