,actor,date,movie,press_rating,producer,spectators_rating
0,"
                Avec
                                                                                                                                        Leonardo DiCaprio,
                                                                                                                        Marion Cotillard,
                                                                                                                        Ellen Page
",21 juillet 2010,Inception,"
                4,1",Christopher Nolan,"
                4,4"
1,"
                Avec
                                                                                                                                        Rainn Wilson,
                                                                                                                        Ellen Page,
                                                                                                                        Liv Tyler
",1 décembre 2011,Super,"
                0",James Gunn (II),"
                3,5"
2,"
                Avec
                                                                                                                                        Jean-Paul Rouve,
                                                                                                                        Isabelle Nanty,
                                                                                                                        Claire Nadeau
",1 juillet 2011,Les Tuche,"
                2,3",Olivier Baroux,"
                2,6"
3,"
                Avec
                                                                                                                                        Bruce Willis,
                                                                                                                        Morgan Freeman,
                                                                                                                        Helen Mirren
",17 novembre 2010,Red,"
                2,8",Robert Schwentke,"
                3,5"
4,"
                Avec
                                                                                                                                        Rémy Girard,
                                                                                                                        Lubna Azabal,
                                                                                                                        Mélissa Désormeaux-Poulin
",12 janvier 2011,Incendies,"
                3,8",Denis Villeneuve,"
                4,4"
5,"
                Avec
                                                                                                                                        Sarah Jessica Parker,
                                                                                                                        Kim Cattrall,
                                                                                                                        Kristin Davis
",2 juin 2010,Sex and the City 2,"
                2,5",Michael Patrick King,"
                2,4"
6,"
                Avec
                                                                                                                                        Leonardo DiCaprio,
                                                                                                                        Mark Ruffalo,
                                                                                                                        Ben Kingsley
",24 février 2010,Shutter Island,"
                3,8",Martin Scorsese,"
                4,3"
7,"
                Avec
                                                                                                                                        François Cluzet,
                                                                                                                        Marion Cotillard,
                                                                                                                        Benoît Magimel
",20 octobre 2010,Les petits mouchoirs,"
                2,9",Guillaume Canet,"
                3,6"
8,"
                Avec
                                                                                                                                        Srdjan Todorovic,
                                                                                                                        Sergej Trifunovic,
                                                                                                                        Jelena Gavrilovic
",2 février 2012,A Serbian Film,"
                0",Srdjan Spasojevic,"
                2,1"
9,"
                Avec
                                                                                                                                        Vincent Elbaz,
                                                                                                                        Gregori Derangère,
                                                                                                                        Mélanie Bernier
",9 mars 2011,L'Assaut,"
                2,8",Julien Leclercq,"
                3,6"
10,"
                Avec
                                                                                                                                        Benoît Poelvoorde,
                                                                                                                        Dany Boon,
                                                                                                                        Julie Bernard
",2 février 2011,Rien à déclarer,"
                2,2",Dany Boon,"
                2,5"
11,"
                Avec
                                                                                                                                        Mario Casas,
                                                                                                                        María Valverde,
                                                                                                                        Álvaro Cervantes
",21 août 2013,3 mètres au-dessus du ciel - Twilight Love,"
                0",Fernando González Molina,"
                4,2"
12,"
                Avec
                                                                                                                                        Natalie Portman,
                                                                                                                        Mila Kunis,
                                                                                                                        Vincent Cassel
",9 février 2011,Black Swan,"
                4,1",Darren Aronofsky,"
                4,1"
13,"
                Avec
                                                                                                                                        Johnny Depp,
                                                                                                                        Mia Wasikowska,
                                                                                                                        Matt Lucas
",24 mars 2010,Alice au Pays des Merveilles,"
                3,5",Tim Burton,"
                3,3"
14,"
                Avec
                                                                                                                                        Colin Firth,
                                                                                                                        Helena Bonham Carter,
                                                                                                                        Derek Jacobi
",2 février 2011,Le Discours d'un roi,"
                4,0",Tom Hooper,"
                4,3"
15,"
                Avec
                                                                                                                                        Patrick Wilson,
                                                                                                                        Rose Byrne,
                                                                                                                        Ty Simpkins
",15 juin 2011,Insidious,"
                3,2",James Wan,"
                3,5"
16,"
                Avec
                                                                                                                                        Jesse Eisenberg,
                                                                                                                        Justin Timberlake,
                                                                                                                        Andrew Garfield
",13 octobre 2010,The Social Network,"
                4,4",David Fincher,"
                4,0"
17,"
                Avec
                                                                                                                                        Romain Duris,
                                                                                                                        Vanessa Paradis,
                                                                                                                        Julie Ferrier
",17 mars 2010,L'Arnacoeur,"
                4,0",Pascal Chaumeil,"
                3,9"
18,"
                Avec
                                                                                                                                        Jean Reno,
                                                                                                                        Kad Merad,
                                                                                                                        Marina Foïs
",24 mars 2010,L'Immortel,"
                2,4",Richard Berry,"
                3,4"
19,"
                Avec
                                                                                                                                        Ryan Reynolds,
                                                                                                                        Erik Palladino,
                                                                                                                        Robert Paterson
",3 novembre 2010,Buried,"
                3,6",Rodrigo Cortés,"
                3,3"
20,"
                Avec
                                                                                                                                        Jacques Gamblin,
                                                                                                                        Sara Forestier,
                                                                                                                        Zinedine Soualem
",24 novembre 2010,Le Nom des gens,"
                3,7",Michel Leclerc,"
                3,8"
21,"
                Avec
                                                                                                                                        James Franco,
                                                                                                                        Amber Tamblyn,
                                                                                                                        Kate Mara
",23 février 2011,127 heures,"
                3,2",Danny Boyle,"
                3,9"
22,"
                Avec
                                                                                                                                        Donald Reignoux,
                                                                                                                        Emmanuel Jacomy,
                                                                                                                        Florine Orphelin
",31 mars 2010,Dragons,"
                3,8",Chris Sanders,"
                4,4"
23,"
                Avec
                                                                                                                                        Hilary Swank,
                                                                                                                        Jeffrey Dean Morgan,
                                                                                                                        Lee Pace
",27 juillet 2011,La Locataire,"
                1,4",Antti Jokinen,"
                2,0"
24,"
                Avec
                                                                                                                                        Ryan Driller,
                                                                                                                        Dale DaBone,
                                                                                                                        Will Ryder
",/,Superman XXX: A Porn Parody,"
                0",Axel Braun,"
                3,3"
25,"
                Avec
                                                                                                                                        Logan Lerman,
                                                                                                                        Brandon T. Jackson,
                                                                                                                        Pierce Brosnan
",10 février 2010,Percy Jackson : le voleur de foudre,"
                2,5",Chris Columbus,"
                2,8"
26,"
                Avec
                                                                                                                                        Vincent Claude,
                                                                                                                        Elie Semoun,
                                                                                                                        Bruno Podalydès
",22 juin 2011,L'Elève Ducobu,"
                2,1",Philippe de Chauveron,"
                2,2"
27,"
                Avec
                                                                                                                                        Poppy Montgomery,
                                                                                                                        Adam Kaufman,
                                                                                                                        Chelah Horsdal
",/,L'amour XXL,"
                0",Gary Harvey,"
                3,6"
28,"
                Avec
                                                                                                                                        Jeff Bridges,
                                                                                                                        Garrett Hedlund,
                                                                                                                        Olivia Wilde
",9 février 2011,Tron l'héritage,"
                2,7",Joseph Kosinski,"
                3,4"
29,"
                Avec
                                                                                                                                        Fabrice Eboué,
                                                                                                                        Thomas Ngijol,
                                                                                                                        Stéfi Celma
",6 juillet 2011,Case départ,"
                3,0",Thomas Ngijol,"
                3,0"
30,"
                Avec
                                                                                                                                        Moises Arias,
                                                                                                                        Bridgit Mendler,
                                                                                                                        David Henrie
",12 janvier 2011,Arrietty le petit monde des chapardeurs,"
                3,7",Hiromasa Yonebayashi,"
                4,1"
31,"
                Avec
                                                                                                                                        Robert Downey Jr.,
                                                                                                                        Don Cheadle,
                                                                                                                        Scarlett Johansson
",28 avril 2010,Iron Man 2,"
                3,1",Jon Favreau,"
                3,5"
32,"
                Avec
                                                                                                                                        Ben Affleck,
                                                                                                                        Rebecca Hall,
                                                                                                                        Jon Hamm
",15 septembre 2010,The Town,"
                3,5",Ben Affleck,"
                3,9"
33,"
                Avec
                                                                                                                                        Ryan Gosling,
                                                                                                                        Michelle Williams,
                                                                                                                        Mike Vogel
",15 juin 2011,Blue Valentine,"
                3,6",Derek Cianfrance,"
                3,8"
34,"
                Avec
                                                                                                                                        Daniel Radcliffe,
                                                                                                                        Rupert Grint,
                                                                                                                        Emma Watson
",24 novembre 2010,Harry Potter et les reliques de la mort - partie 1,"
                3,2",David Yates,"
                4,1"
35,"
                Avec
                                                                                                                                        Valérie Donzelli,
                                                                                                                        Jérémie Elkaïm,
                                                                                                                        Elina Löwensohn
",31 août 2011,La Guerre est déclarée,"
                4,4",Valérie Donzelli,"
                3,8"
36,"
                Avec
                                                                                                                                        Maxime Godart,
                                                                                                                        Valérie Lemercier,
                                                                                                                        Kad Merad
",30 septembre 2009,Le Petit Nicolas,"
                2,8",Laurent Tirard,"
                2,9"
37,"
                Avec
                                                                                                                                        Maeva Méline,
                                                                                                                        Romain Duris,
                                                                                                                        Isabelle Adjani
",1 décembre 2010,Raiponce,"
                3,8",Byron Howard,"
                4,3"
38,"
                Avec
                                                                                                                                        Sarah Butler,
                                                                                                                        Chad Lindberg,
                                                                                                                        Daniel Franzese
",21 septembre 2011,I Spit on Your Grave,"
                0",Steven R. Monroe,"
                3,6"
39,"
                Avec
                                                                                                                                        Carey Mulligan,
                                                                                                                        Andrew Garfield,
                                                                                                                        Keira Knightley
",2 mars 2011,Never Let Me Go,"
                3,0",Mark Romanek,"
                3,5"
40,"
                Avec
                                                                                                                                        Jeff Bridges,
                                                                                                                        Hailee Steinfeld,
                                                                                                                        Josh Brolin
",23 février 2011,True Grit,"
                4,0",Ethan Coen,"
                3,9"
41,"
                Avec
                                                                                                                                        Ramzy Bedia,
                                                                                                                        Anne Marivin,
                                                                                                                        Marie-France Pisier
",27 octobre 2010,Il reste du jambon ?,"
                1,8",Anne Depetrini,"
                1,9"
42,"
                Avec
                                                                                                                                        Matt Damon,
                                                                                                                        Cécile de France,
                                                                                                                        Thierry Neuvic
",19 janvier 2011,Au-delà,"
                2,7",Clint Eastwood,"
                2,6"
43,"
                Avec
                                                                                                                                        Robert Pattinson,
                                                                                                                        Emilie de Ravin,
                                                                                                                        Chris Cooper
",7 avril 2010,Remember Me,"
                2,4",Allen Coulter,"
                3,9"
44,"
                Avec
                                                                                                                                        Michael Gregorio,
                                                                                                                        James Marsden,
                                                                                                                        Kaley Cuoco
",6 juillet 2011,Hop,"
                2,1",Tim Hill,"
                2,8"
45,"
                Avec
                                                                                                                                        Michael Cera,
                                                                                                                        Mary Elizabeth Winstead,
                                                                                                                        Jason Schwartzman
",1 décembre 2010,Scott Pilgrim,"
                3,4",Edgar Wright,"
                3,8"
46,"
                Avec
                                                                                                                                        Jaden Smith,
                                                                                                                        Jackie Chan,
                                                                                                                        Taraji P. Henson
",18 août 2010,Karaté Kid,"
                3,1",Harald Zwart,"
                3,6"
47,"
                Avec
                                                                                                                                        Byung-Hun Lee,
                                                                                                                        Min-sik Choi,
                                                                                                                        Oh San-ha
",6 juillet 2011,J'ai rencontré le Diable,"
                4,2",Jee-Woon Kim,"
                4,3"
48,"
                Avec
                                                                                                                                        Aaron Taylor-Johnson,
                                                                                                                        Nicolas Cage,
                                                                                                                        Chloë Grace Moretz
",21 avril 2010,Kick-Ass,"
                3,5",Matthew Vaughn,"
                4,0"
49,"
                Avec
                                                                                                                                        Jake Gyllenhaal,
                                                                                                                        Anne Hathaway,
                                                                                                                        Oliver Platt
",29 décembre 2010,"Love, et autres drogues","
                2,2",Edward Zwick,"
                3,2"
50,"
                Avec
                                                                                                                                        Mark Wahlberg,
                                                                                                                        Christian Bale,
                                                                                                                        Amy Adams
",9 mars 2011,Fighter,"
                3,9",David O. Russell,"
                4,1"
51,"
                Avec
                                                                                                                                        Denzel Washington,
                                                                                                                        Mila Kunis,
                                                                                                                        Gary Oldman
",20 janvier 2010,Le Livre d'Eli,"
                2,4",Albert Hughes,"
                3,4"
52,"
                Avec
                                                                                                                                        Sam Worthington,
                                                                                                                        Liam Neeson,
                                                                                                                        Ralph Fiennes
",7 avril 2010,Le Choc des Titans,"
                2,9",Louis Leterrier,"
                2,3"
53,"
                Avec
                                                                                                                                        Eric Balfour,
                                                                                                                        Scottie Thompson,
                                                                                                                        David Zayas
",15 décembre 2010,Skyline,"
                1,5",Colin Strause,"
                1,6"
54,"
                Avec
                                                                                                                                        Leila Hatami,
                                                                                                                        Peyman Moaadi,
                                                                                                                        Shahab Hosseini
",8 juin 2011,Une Séparation,"
                4,7",Asghar Farhadi,"
                4,2"
55,"
                Avec
                                                                                                                                        Channing Tatum,
                                                                                                                        Amanda Seyfried,
                                                                                                                        Richard Jenkins
",31 mars 2010,Cher John,"
                3,5",Lasse Hallström,"
                3,6"
56,"
                Avec
                                                                                                                                        Eric Elmosnino,
                                                                                                                        Lucy Gordon,
                                                                                                                        Laetitia Casta
",20 janvier 2010,Gainsbourg (Vie héroïque),"
                3,8",Joann Sfar,"
                3,6"
57,"
                Avec
                                                                                                                                        Adrien Brody,
                                                                                                                        Alice Braga,
                                                                                                                        Topher Grace
",14 juillet 2010,Predators,"
                2,5",Nimrod Antal,"
                2,5"
58,"
                Avec
                                                                                                                                        Russell Crowe,
                                                                                                                        Cate Blanchett,
                                                                                                                        Max von Sydow
",12 mai 2010,Robin des Bois,"
                3,4",Ridley Scott,"
                3,2"
59,"
                Avec
                                                                                                                                        Romain Duris,
                                                                                                                        Marina Foïs,
                                                                                                                        Catherine Deneuve
",3 novembre 2010,L'Homme qui voulait vivre sa vie,"
                3,8",Eric Lartigau,"
                3,2"
60,"
                Avec
                                                                                                                                        Richard Gere,
                                                                                                                        Topher Grace,
                                                                                                                        Stephen Moyer
",4 mai 2012,Secret Identity,"
                0",Michael Brandt,"
                2,5"
61,"
                Avec
                                                                                                                                        François Cluzet,
                                                                                                                        Omar Sy,
                                                                                                                        Anne Le Ny
",2 novembre 2011,Intouchables,"
                3,7",Eric Toledano,"
                4,4"
62,"
                Avec
                                                                                                                                        Ryan Gosling,
                                                                                                                        Carey Mulligan,
                                                                                                                        Bryan Cranston
",5 octobre 2011,Drive,"
                4,4",Nicolas Winding Refn,"
                4,0"
63,"
                Avec
                                                                                                                                        Natalie Portman,
                                                                                                                        Ashton Kutcher,
                                                                                                                        Kevin Kline
",16 février 2011,Sex Friends,"
                2,3",Ivan Reitman,"
                2,9"
64,"
                Avec
                                                                                                                                        Amanda Seyfried,
                                                                                                                        Justin Timberlake,
                                                                                                                        Cillian Murphy
",23 novembre 2011,Time Out,"
                2,7",Andrew Niccol,"
                3,5"
65,"
                Avec
                                                                                                                                        Tom Cruise,
                                                                                                                        Jeremy Renner,
                                                                                                                        Simon Pegg
",14 décembre 2011,Mission : Impossible - Protocole fantôme,"
                3,8",Brad Bird,"
                3,8"
66,"
                Avec
                                                                                                                                        Patrick Bethune,
                                                                                                                        Eric Herson-Macarel,
                                                                                                                        Pierre Laurent
",26 octobre 2011,Les Aventures de Tintin : Le Secret de la Licorne,"
                3,5",Steven Spielberg,"
                3,6"
67,"
                Avec
                                                                                                                                        Bradley Cooper,
                                                                                                                        Robert De Niro,
                                                                                                                        Abbie Cornish
",8 juin 2011,Limitless,"
                3,0",Neil Burger,"
                3,9"
68,"
                Avec
                                                                                                                                        Chris Hemsworth,
                                                                                                                        Natalie Portman,
                                                                                                                        Anthony Hopkins
",27 avril 2011,Thor,"
                3,0",Kenneth Branagh,"
                3,5"
69,"
                Avec
                                                                                                                                        Steve Carell,
                                                                                                                        Ryan Gosling,
                                                                                                                        Julianne Moore
",14 septembre 2011,"Crazy, Stupid, Love","
                3,0",John Requa,"
                3,9"
70,"
                Avec
                                                                                                                                        Emma Stone,
                                                                                                                        Jessica Chastain,
                                                                                                                        Viola Davis
",26 octobre 2011,La Couleur des sentiments,"
                2,5",Tate Taylor,"
                4,4"
71,"
                Avec
                                                                                                                                        Chris Evans,
                                                                                                                        Hayley Atwell,
                                                                                                                        Sebastian Stan
",17 août 2011,Captain America : First Avenger,"
                3,3",Joe Johnston,"
                3,4"
72,"
                Avec
                                                                                                                                        Nora Arnezeder,
                                                                                                                        Fu'ad Ait Aattou,
                                                                                                                        Anne Parillaud
",12 septembre 2012,Ce que le jour doit à la nuit,"
                2,4",Alexandre Arcady,"
                4,2"
73,"
                Avec
                                                                                                                                        Kirsten Dunst,
                                                                                                                        Charlotte Gainsbourg,
                                                                                                                        Alexander Skarsgård
",10 août 2011,Melancholia,"
                4,1",Lars von Trier,"
                3,5"
74,"
                Avec
                                                                                                                                        Hugh Jackman,
                                                                                                                        Dakota Goyo,
                                                                                                                        Evangeline Lilly
",19 octobre 2011,Real Steel,"
                2,8",Shawn Levy,"
                3,8"
75,"
                Avec
                                                                                                                                        Karin Viard,
                                                                                                                        JoeyStarr,
                                                                                                                        Marina Foïs
",19 octobre 2011,Polisse,"
                3,7",Maïwenn,"
                4,1"
76,"
                Avec
                                                                                                                                        Anne Hathaway,
                                                                                                                        Jim Sturgess,
                                                                                                                        Patricia Clarkson
",24 août 2011,Un jour,"
                3,0",Lone Scherfig,"
                4,0"
77,"
                Avec
                                                                                                                                        Will Dunn,
                                                                                                                        Rohan Gotobed,
                                                                                                                        Daniel Radcliffe
",13 juillet 2011,Harry Potter et les reliques de la mort - partie 2,"
                3,8",David Yates,"
                4,3"
78,"
                Avec
                                                                                                                                        Daniel Brühl,
                                                                                                                        Marta Etura,
                                                                                                                        Alberto Ammann
",21 mars 2012,Eva,"
                3,3",Kike Maillo,"
                3,7"
79,"
                Avec
                                                                                                                                        Audrey Tautou,
                                                                                                                        François Damiens,
                                                                                                                        Bruno Todeschini
",21 décembre 2011,La Délicatesse,"
                2,5",David Foenkinos,"
                3,5"
80,"
                Avec
                                                                                                                                        Joel Edgerton,
                                                                                                                        Tom Hardy,
                                                                                                                        Jennifer Morrison
",14 septembre 2011,Warrior,"
                3,6",Gavin O'Connor,"
                4,4"
81,"
                Avec
                                                                                                                                        Jake Gyllenhaal,
                                                                                                                        Michelle Monaghan,
                                                                                                                        Vera Farmiga
",20 avril 2011,Source Code,"
                3,3",Duncan Jones,"
                3,8"
