,actor,date,movie,press_rating,producer,spectators_rating
92,"
                Avec
                                                                                                                                        Esther Comar,
                                                                                                                        Martin Cannavo,
                                                                                                                        Vincent Perez
",18 janvier 2012,Ma Première fois,"
                3,0",Marie-Castille Mention-Schaar,"
                3,6"
93,"
                Avec
                                                                                                                                        Patrick Huard,
                                                                                                                        Julie Le Breton,
                                                                                                                        Antoine Bertrand
",27 juin 2012,Starbuck,"
                3,4",Ken Scott,"
                4,2"
94,"
                Avec
                                                                                                                                        Laurence R. Harvey,
                                                                                                                        Ashlynn Yennie,
                                                                                                                        Dominic Borrelli
",12 octobre 2011,The Human Centipede 2 (Full Sequence),"
                0",Tom Six,"
                2,2"
95,"
                Avec
                                                                                                                                        Quim Gutiérrez,
                                                                                                                        Martina García,
                                                                                                                        Clara Lago
",4 juillet 2012,Inside,"
                3,0",Andrés Baiz,"
                3,8"
96,"
                Avec
                                                                                                                                        Jean Dujardin,
                                                                                                                        Bérénice Bejo,
                                                                                                                        John Goodman
",12 octobre 2011,The Artist,"
                4,1",Michel Hazanavicius,"
                4,0"
97,"
                Avec
                                                                                                                                        Mélanie Doutey,
                                                                                                                        Olivier Barthelemy,
                                                                                                                        Francis Renaud
",4 avril 2012,Aux yeux de tous,"
                3,1",Cédric Jimenez,"
                3,3"
98,"
                Avec
                                                                                                                                        James Franco,
                                                                                                                        Freida Pinto,
                                                                                                                        John Lithgow
",10 août 2011,La Planète des singes : les origines,"
                3,3",Rupert Wyatt,"
                4,1"
99,"
                Avec
                                                                                                                                        Asa Butterfield,
                                                                                                                        Chloë Grace Moretz,
                                                                                                                        Ben Kingsley
",14 décembre 2011,Hugo Cabret,"
                4,1",Martin Scorsese,"
                3,8"
100,"
                Avec
                                                                                                                                        Owen Wilson,
                                                                                                                        Rachel McAdams,
                                                                                                                        Michael Sheen
",11 mai 2011,Minuit à Paris,"
                4,2",Woody Allen,"
                3,8"
101,"
                Avec
                                                                                                                                        Alex Pettyfer,
                                                                                                                        Timothy Olyphant,
                                                                                                                        Teresa Palmer
",6 avril 2011,Numéro quatre,"
                1,9",D.J. Caruso,"
                3,3"
102,"
                Avec
                                                                                                                                        Jeremy Irvine,
                                                                                                                        Emily Watson,
                                                                                                                        Peter Mullan
",22 février 2012,Cheval de guerre,"
                3,5",Steven Spielberg,"
                4,0"
103,"
                Avec
                                                                                                                                        Philippe Peythieu,
                                                                                                                        Catherine O'Hara,
                                                                                                                        Vanessa Paradis
",12 octobre 2011,Un monstre à Paris,"
                3,4",Eric Bergeron,"
                3,9"
104,"
                Avec
                                                                                                                                        Michael Shannon,
                                                                                                                        Jessica Chastain,
                                                                                                                        Tova Stewart
",4 janvier 2012,Take Shelter,"
                4,6",Jeff Nichols,"
                3,9"
105,"
                Avec
                                                                                                                                        Vin Diesel,
                                                                                                                        Paul Walker,
                                                                                                                        Dwayne Johnson
",4 mai 2011,Fast and Furious 5,"
                3,3",Justin Lin,"
                4,0"
106,"
                Avec
                                                                                                                                        Gaspard Proust,
                                                                                                                        Louise Bourgoin,
                                                                                                                        JoeyStarr
",18 janvier 2012,L'Amour dure trois ans,"
                3,1",Frédéric Beigbeder,"
                2,9"
107,"
                Avec
                                                                                                                                        Leonardo DiCaprio,
                                                                                                                        Naomi Watts,
                                                                                                                        Armie Hammer
",11 janvier 2012,J. Edgar,"
                3,9",Clint Eastwood,"
                3,3"
108,"
                Avec
                                                                                                                                        Eric Elmosnino,
                                                                                                                        Mathilde Seigner,
                                                                                                                        Fred Testot
",14 septembre 2011,La Guerre des Boutons,"
                2,6",Yann Samuell,"
                3,0"
109,"
                Avec
                                                                                                                                        Justin Timberlake,
                                                                                                                        Mila Kunis,
                                                                                                                        Patricia Clarkson
",7 septembre 2011,Sexe entre amis,"
                2,5",Will Gluck,"
                3,5"
110,"
                Avec
                                                                                                                                        Matt Damon,
                                                                                                                        Emily Blunt,
                                                                                                                        Michael Kelly
",23 mars 2011,L'Agence,"
                3,0",George Nolfi,"
                3,5"
