,actors,date,movie,press_rating,producer,spectators_rating
0,Hume Cronyn ; Jessica Tandy ; Frank McRae ; ,3 décembre 2002,Miracle sur la 8ème rue,,Matthew Robbins ; ,3.7
1,Morgan Freeman ; Jessica Tandy ; Dan Aykroyd ; ,17 octobre 2000,Miss Daisy et son chauffeur,,Bruce Beresford ; ,3.3
2,Jerry Hardin ; Charles Cioffi ; John Shea ; ,26 mai 1982,Missing (Porté disparu),,Costa-Gavras ; ,3.5
3,Jackie Chan ; Richard Norton ; Gabrielle Fitzpatrick ; ,28 juillet 1999,Mister Cool - Mr Nice guy,3.0,Sammo Kam-Bo Hung ; ,2.8
4,Ariel Mateluna ; Manuela Martelli ; Aline Küppenheim ; ,19 janvier 2005,Mon ami Machuca,3.7,Andrés Wood ; ,3.1
5,Catherine Zeta-Jones ; Justin Bartha ; Andrew Cherry ; ,17 novembre 2010,Mon babysitter,1.5,Bart Freundlich ; ,2.9
6,Sacha Guitry ; Gaston Dubosc ; Serge Grave ; ,27 novembre 1936,Mon père avait raison,5.0,Sacha Guitry ; ,3.4
7,Asia Argento ; Moran Atias ; Tommaso Banfi ; ,16 septembre 2008,Mother of Tears - La troisième mère,,Dario Argento ; ,1.6
8,Lillian Gish ; Mae Marsh ; Henry B. Walthall ; ,15 novembre 2003,Naissance d'une nation,,D.W. Griffith ; ,3.3
9,Jason Patric ; Ray Liotta ; Chi McBride ; ,30 juillet 2003,Narc,3.8,Joe Carnahan ; ,3.4
10,Liza Minnelli ; Robert De Niro ; Lionel Stander ; ,8 février 2005,"New York, New York",,Martin Scorsese ; ,3.8
11,Eduardo Noriega ; Michelle Jenner ; Amaia Salamanca ; ,14 avril 2017,Nuestros amantes,,Miguel Ángel Lamata ; ,3.4
12,Thierry Lhermitte ; Josiane Balasko ; Gérard Martin ; ,/,Nuit d'ivresse,,Bernard Nauer ; ,2.4
13,Charlotte Gainsbourg ; Stellan Skarsgård ; Stacy Martin ; ,6 janvier 2015,Nymph()maniac - Director's cut,,Lars von Trier ; ,3.9
