,actors,date,movie,press_rating,producer,spectators_rating
0,Denzel Washington ; Ryan Reynolds ; Vera Farmiga ; ,22 février 2012,Sécurité rapprochée,"2,7",Daniel Espinosa ; ,"3,5"
1,Brad Pitt ; David Thewlis ; Jamyang Wangchuck ; ,26 novembre 1997,Sept ans au Tibet,"2,6",Jean-Jacques Annaud ; ,"3,8"
2,David Rigby ; Roger Dunn ; Christopher Walken ; ,7 mars 1984,The Dead Zone,"4,7",David Cronenberg ; ,"3,6"
3,Pierce Brosnan ; Olga Kurylenko ; Luke Bracey ; ,29 octobre 2014,The November Man,"2,7",Roger Donaldson ; ,"3,0"
4,Jet Li ; Delroy Lindo ; Jason Statham ; ,28 novembre 2001,The One,"2,6",James Wong ; ,"2,2"
5,Mark Wahlberg ; Stanley Tucci ; Nicola Peltz ; ,16 juillet 2014,Transformers : l'âge de l'extinction,"2,7",Michael Bay ; ,"3,1"
6,Alain Delon ; Dalila Di Lazzaro ; Michel Auclair ; ,31 octobre 1980,Trois hommes à abattre,,Jacques Deray ; ,"3,1"
7,Sophie Marceau ; Patrick Bruel ; André Wilms ; ,1 octobre 2014,Tu veux ou tu veux pas,"2,0",Tonie Marshall ; ,"2,2"
8,Joaquin Phoenix ; Gwyneth Paltrow ; Vinessa Shaw ; ,19 novembre 2008,Two Lovers,"4,4",James Gray ; ,"3,6"
9,John Cusack ; Ione Skye ; Jeremy Piven ; ,6 mars 2002,Un monde pour nous,,Cameron Crowe ; ,"3,5"
10,Ari Folman ; Ori Sivan ; Ronny Dayag ; ,25 juin 2008,Valse avec Bachir,"4,5",Ari Folman ; ,"4,1"
11,Jared Padalecki ; Amanda Righetti ; Derek Mears ; ,11 février 2009,Vendredi 13,"2,4",Marcus Nispel ; ,"2,5"
12,Jonah Hill ; Channing Tatum ; Brie Larson ; ,6 juin 2012,21 Jump Street,"2,7",Phil Lord ; Christopher Miller ; ,"3,6"
13,Shun Oguri ; Haruma Miura ; Yû Aoi ; ,25 décembre 2013,"Albator, Corsaire de l'Espace","2,5",Shinji Aramaki ; ,"3,5"
14,Jason Lee ; Kimberly Williams-Paisley ; Tony Hale ; ,3 février 2016,Alvin et les Chipmunks - A fond la caisse,"1,8",Walt Becker ; ,"3,2"
15,Willem Dafoe ; Charlotte Gainsbourg ; Storm Acheche Sahlstrøm ; ,3 juin 2009,Antichrist,"2,2",Lars von Trier ; ,"2,4"
16,Nicole Kidman ; Hugh Jackman ; David Wenham ; ,24 décembre 2008,Australia,"2,8",Baz Luhrmann ; ,"3,2"
17,Malgorzata Foremniak ; Wladyslaw Kowalski ; Jerzy Gudejko ; ,27 mars 2002,Avalon,"3,6",Mamoru Oshii ; ,"3,0"
18,Jason Statham ; Paddy Considine ; Aidan Gillen ; ,22 juin 2011,Blitz,"2,8",Elliott Lester ; ,"2,8"
19,Gérard Lanvin ; Fred Testot ; Jean-Pierre Darroussin ; ,17 septembre 2014,Bon rétablissement !,"3,0",Jean Becker ; ,"2,9"
20,Mark Wahlberg ; Burt Reynolds ; Julianne Moore ; ,18 mars 1998,Boogie Nights,"3,5",Paul Thomas Anderson ; ,"3,8"
21,Matthias Schoenaerts ; Jeroen Perceval ; Jeanne Dandoy ; ,22 février 2012,Bullhead,"4,2",Michaël R. Roskam ; ,"4,1"
22,Robert De Niro ; Dave Bautista ; Jeffrey Dean Morgan ; ,20 décembre 2015,Bus 657,,Scott Mann ; ,"3,0"
