,actors,date,genres,movie,press_rating,producers,spectators_rating
33,Robert Stephens ; Colin Blakely ; Geneviève Page ; ,15 juillet 2003,Espionnage ; Comédie ; Policier ; ,La Vie privée de Sherlock Holmes,5.0,Billy Wilder ; ,3.8
34,Zach Gilford ; Amber Heard ; William Hurt ; ,/,Drame ; Romance ; ,La vie selon Gus Orviston,,Matthew Leutwyler ; ,2.7
35,Sylvie ; Victor Lanoux ; Jean Bouise ; ,29 mars 1965,Comédie dramatique ; ,La Vieille dame indigne,,René Allio ; ,3.8
36,Peter Sarsgaard ; Jérémie Renier ; Emily Mortimer ; ,6 mai 2015,Drame ; ,Ladygrey,2.8,Alain Choquart ; ,2.7
37,Charles Denner ; Danielle Darrieux ; Michèle Morgan ; ,25 janvier 1963,Drame ; Biopic ; Judiciaire ; ,Landru,,Claude Chabrol ; ,3.3
38,Rayna Campbell ; August Diehl ; Rapule Hendricks ; ,26 mars 2014,Thriller ; ,Layla,3.2,Pia Marais ; ,3.1
39,Samuel L. Jackson ; Robert Carlyle ; Emily Mortimer ; ,10 juillet 2002,Comédie ; Action ; ,Le 51e Etat,2.6,Ronny Yu ; ,2.4
40,Christophe Allwright ; Aziz Arbia ; Marc Berman ; ,21 décembre 1983,Comédie ; ,Le Bal,4.0,Ettore Scola ; ,3.7
41,Jean Rochefort ; Miou-Miou ; Jean Carmet ; ,12 février 1992,Comédie ; ,Le Bal des casse-pieds,,Yves Robert ; ,2.9
42,Meg Foster ; Jonathan Brandis ; Terry O'Quinn ; ,20 octobre 2004,Epouvante-horreur ; Thriller ; ,Le Beau-Père 2,,Jeff Burr ; ,2.9
43,Jean Marais ; Geneviève Grad ; Riccardo Garrone ; ,21 avril 1961,Aventure ; ,Le Capitaine Fracasse,,Pierre Gaspard-Huit ; ,3.3
44,Jean Marais ; Bourvil ; Lise Delamare ; ,5 octobre 1960,Aventure ; Historique ; ,Le Capitan,,André Hunebelle ; ,3.6
45,Luis Mariano ; Bourvil ; Annie Cordy ; ,8 novembre 2004,Comédie musicale ; ,Le Chanteur de Mexico,,Richard Pottier ; ,3.2
46,Willem Dafoe ; Sam Neill ; Frances O'Connor ; ,8 janvier 2013,Drame ; ,Le Chasseur,,Daniel Nettheim ; ,3.7
47,Takashi Shimura ; Chieko Naniwa ; Yoshio Tsuchiya ; ,27 novembre 2001,Drame ; ,Le Château de l'araignée,,Akira Kurosawa ; ,3.8
48,Peter Cushing ; André Morell ; Francis De Wolff ; ,23 décembre 1959,Epouvante-horreur ; Thriller ; ,Le Chien des Baskerville,,Terence Fisher ; ,3.3
49,Marcus Coloma ; Erin Cahill ; Bridgit Mendler ; ,7 février 2011,Comédie ; Famille ; Aventure ; ,Le Chihuahua de Beverly Hills 2,,Alex Zamm ; ,2.9
50,Billy Crystal ; Bette Midler ; Marisa Tomei ; ,13 mars 2013,Comédie ; ,Le Choc des générations,,Andy Fickman ; ,2.4
51,Anne Heche ; James Tupper ; Jodelle Ferland ; ,/,Drame ; ,Le Combat de ma fille,,Stephen Gyllenhaal ; ,3.6
52,Monica Bellucci ; Catherine Deneuve ; Moritz Bleibtreu ; ,15 novembre 2006,Thriller ; Fantastique ; Action ; ,Le Concile de pierre,2.1,Guillaume Nicloux ; ,1.3
53,Erich Von Stroheim ; Jean Brooks ; Paul Guilfoyle ; ,26 mars 2018,Divers ; ,Le Crime du docteur Crespi,,John H. Auer ; ,2.8
54,Maja Komorowska ; Wojciech Klata ; Henryk Baranowski ; ,17 février 2004,Drame ; ,Le Décalogue,4.8,Krzysztof Kieslowski ; ,4.2
55,Romain Paul ; Clotilde Hesme ; Grégory Gadebois ; ,11 mars 2015,Drame ; ,Le dernier coup de marteau,3.6,Alix Delaporte ; ,3.4
56,John Wayne ; Ron Howard ; James Stewart ; ,10 août 1977,Drame ; Western ; ,Le Dernier des géants,,Don Siegel ; ,3.6
57,James Badge Dale ; Ethan Embry ; William Forsythe ; ,22 mars 2016,Drame ; Thriller ; Western ; ,Le Dernier des Guerriers,,Kane Senes ; ,2.3
58,Olivier Despax ; Jim Brown ; Rod Taylor ; ,4 décembre 2008,Aventure ; Drame ; Guerre ; ,Le Dernier Train du Katanga,,Jack Cardiff ; ,3.6
59,Monica Vitti ; Richard Harris ; Carlo Chionetti ; ,4 janvier 2006,Drame ; ,Le Désert rouge,5.0,Michelangelo Antonioni ; ,3.9
60,Gaby Morlay ; Jean-Louis Barrault ; Sacha Guitry ; ,5 décembre 2012,Comédie dramatique ; ,Le Destin fabuleux de Desiree Clary,,,2.9
61,Petr Skvortsov ; Yuliya Aug ; Aleksandr Gorchilin ; ,23 novembre 2016,Drame ; ,Le Disciple,3.6,Kirill Serebrennikov ; ,3.6
62,Kate Hudson ; Naomi Watts ; Melvil Poupaud ; ,8 octobre 2003,Comédie ; Drame ; Romance ; ,Le Divorce,2.6,James Ivory ; ,1.9
63,Toshirô Mifune ; Takashi Shimura ; Noriko Sengoku ; ,7 décembre 2012,Drame ; ,Le Duel silencieux,,Akira Kurosawa ; ,3.7
64,Lon Chaney ; Mary Philbin ; Norman Kerry ; ,22 septembre 1925,Fantastique ; Epouvante-horreur ; ,Le Fantôme de l'Opéra,,Rupert Julian ; ,3.9
65,Ashley Newbrough ; Jesse Hutch ; Adam Hurtig ; ,/,Romance ; ,Le Fiancé de glace,,Douglas Mitchell (II) ; ,2.9
66,Féodor Atkine ; Cédric Dumond ; valérie Siclay ; ,16 février 2005,Animation ; ,Le Fil de la vie,3.6,Anders Ronnow-Klarlund ; ,3.6
67,Nicolas Cazalé ; Clotilde Hesme ; Daniel Duval ; ,15 août 2007,Comédie ; Drame ; ,Le fils de l'épicier,3.6,Eric Guirado ; ,3.1
68,Homayoun Ershadi ; Ahdolrahman Bagheri ; Safar Ali Moradi ; ,26 novembre 1997,Drame ; ,Le Goût de la cerise,,Abbas Kiarostami ; ,3.7
69,Jane Wyman ; Marlene Dietrich ; Michael Wilding ; ,6 avril 1951,Policier ; Drame ; Thriller ; ,Le Grand Alibi,,Alfred Hitchcock ; ,3.4
70,Laetitia Casta ; Mathieu Amalric ; Pierre Arditi ; ,27 décembre 2006,Comédie ; ,Le Grand appartement,3.2,Pascal Thomas ; ,1.7
71,Philippe Noiret ; Roger Hanin ; Richard Berry ; ,7 décembre 1983,Comédie dramatique ; ,Le Grand carnaval,,Alexandre Arcady ; ,2.7
72,Annie Girardot ; Alberto Sordi ; Marcello Mastroianni ; ,24 juin 2015,Comédie ; ,Le Grand embouteillage,,Luigi Comencini ; ,3.4
73,Nicolas Cazalé ; Mohamed Majd ; Jacky Nercessian ; ,24 novembre 2004,Drame ; ,Le grand voyage,4.1,Ismael Ferroukhi ; ,3.6
74,Denis Burton ; Pierre Fontaine ; Christian Henrard ; ,24 juillet 2013,Comédie dramatique ; ,Le Grand'Tour,3.9,Jérôme le Maire (II) ; ,2.8
75,Caroline Anglade ; Yves Arnault ; Pierre-Laurent Barneron ; ,20 novembre 2015,Comédie ; Fantastique ; ,Le Jour de la comète,,Cédric Hachard ; Hervé Freiburger ; Sébastien Milhou ; ,2.8
76,Lori Cardille ; Terry Alexander ; Joseph Pilato ; ,10 novembre 1998,Epouvante-horreur ; ,Le Jour des morts-vivants,,George A. Romero ; ,3.3
77,Pierre Richard ; Jean-Pierre Kalfon ; Camilla More ; ,10 octobre 1984,Comédie ; ,Le Jumeau,,Yves Robert ; ,2.6
78,Charles Bronson ; Lisa Eilbacher ; Andrew Stevens ; ,13 juillet 1983,Thriller ; Action ; Drame ; ,Le Justicier de minuit,,Jack Lee Thompson ; ,3.1
79,Ulrik Munther ; Mats Blomgren ; Alexander Nordgren ; ,1 juin 2016,Drame ; ,Le Lendemain,3.5,Magnus von Horn ; ,3.4
80,Morgan Freeman ; ,6 janvier 2014,Documentaire ; Historique ; Guerre ; ,Le Long chemin,,Mark Jonathan Harris ; ,3.0
81,Julie Delpy ; Tom Everett Scott ; Tom Novembre ; ,6 mai 1998,Epouvante-horreur ; ,Le Loup-garou de Paris,,Anthony Waller ; ,1.9
82,José van Dam ; Anne Roussel ; Philippe Volter ; ,6 mars 2002,Comédie dramatique ; Musical ; ,Le Maître de musique,,Gérard Corbiau ; ,3.8
83,Taye Diggs ; Nia Long ; Morris Chestnut ; ,3 juin 2003,Comédie ; Romance ; ,Le Mariage de l'année,,Malcolm D. Lee ; ,3.4
84,Harry Belafonte ; Inger Stevens ; Mel Ferrer ; ,30 mai 2007,Science fiction ; ,"Le Monde, la chair et le diable",3.5,Ranald MacDougall ; ,3.8
85,Martina Gedeck ; Wolfgang Maria Bauer ; Karlheinz Hackl ; ,13 mars 2013,Drame ; ,Le Mur Invisible,3.4,Julian Roman Pölsler ; ,3.7
86,Glenn Close ; Jeremy Irons ; Annabella Sciorra ; ,9 janvier 1991,Policier ; Drame ; ,Le Mystère von Bulow,,Barbet Schroeder ; ,3.5
87,Deborah Kerr ; Sabu (II) ; David Farrar ; ,20 juillet 1949,Drame ; ,Le Narcisse noir,5.0,Michael Powell ; Emeric Pressburger ; ,4.0
88,Chris Farley ; Nicollette Sheridan ; Robin Shou ; ,12 décembre 2001,Action ; Comédie ; ,Le Ninja de Beverly Hills,,Dennis Dugan ; ,2.8
89,Draghixa Jovanovic ; Julia Channel ; Christopher Clark ; ,/,Erotique ; ,Le Parfum de Mathilde,,Marc Dorcel ; Jean Rollin ; ,2.7
90,Bourvil ; Joan Greenwood ; Marcelle Arnold ; ,6 avril 1951,Comédie ; Fantastique ; ,Le Passe-muraille,,Jean Boyer ; ,3.4
91,Charlie Trairat ; Jintara Sukaphatana ; Sirachuch Chienthaworn ; ,22 août 2007,Fantastique ; ,Le Pensionnat,3.1,Songyos Sugmakanan ; ,2.9
92,Charles Aznavour ; Tchéky Karyo ; Malik Zidi ; ,25 février 2005,Drame ; ,Le Père Goriot,,Jean-Daniel Verhaeghe ; ,2.6
93,Noël-Noël ; Nadine Alari ; Paul Frankeur ; ,10 janvier 2005,Comédie dramatique ; ,Le Père tranquille,,René Clément ; Noël-Noël ; ,3.5
94,Joe Ranft ; Judy Toll ; Mindy Sterling ; ,27 septembre 1995,Animation ; ,Le Petit grille-pain courageux,,Jerry Rees ; ,3.4
95,Jodie Foster ; Dianne Wiest ; Adam Hann-Byrd ; ,15 janvier 1992,Drame ; ,Le Petit homme (TV),,Jodie Foster ; ,3.4
96,Steve Martin ; Michael Caine ; Glenne Headly ; ,5 juillet 1989,Comédie ; ,Le Plus escroc des deux,,Frank Oz ; ,3.7
97,Paul Newman ; Melvyn Douglas ; Patricia Neal ; ,10 juin 2004,Drame ; Western ; ,Le Plus sauvage d'entre tous,5.0,Martin Ritt ; ,4.0
98,Shoichi Ozawa ; Sumiko Sakamoto ; Masaomi Kondo ; ,3 novembre 2015,Comédie dramatique ; ,Le Pornographe,,Shohei Imamura ; ,
99,Jacques Gamblin ; Catherine Sola ; Maya Sansa ; ,27 mars 2013,Drame ; ,Le Premier homme,2.7,Gianni Amelio ; ,3.2
100,Jean Gabin ; Bernard Blier ; Renée Faure ; ,1 mars 1961,Thriller ; ,Le Président,,Henri Verneuil ; ,4.0
101,Kevin Spacey ; Keke Palmer ; Mark Webber ; ,12 juillet 2010,Drame ; Comédie ; ,Le Psy d'Hollywood,,Jonas Pate ; ,3.2
102,Niels Arestrup ; Julie Gayet ; Pascal Elbé ; ,/,Drame ; Historique ; ,Le Rainbow Warrior,,Pierre Boutron ; ,3.3
103,Lino Ventura ; Xavier Marc ; Rosa Furman ; ,/,Policier ; ,Le Rapace,,José Giovanni ; ,3.6
104,Victor Webster ; Ron Perlman ; Temuera Morrison ; ,28 février 2012,Action ; Aventure ; Fantastique ; ,Le Roi Scorpion 3 - L'Oeil des Dieux,,Roel Reiné ; ,1.8
105,Carole Bouquet ; Kim Rossi Stuart ; Judith Godrèche ; ,9 mars 2017,Drame ; Romance ; ,Le rouge et le noir,,Jean-Daniel Verhaeghe ; ,2.9
106,Tom Cameron ; Sophie McBride ; Sam Neill ; ,6 octobre 2010,Aventure ; Fantastique ; ,Le Secret des 7 volcans,,Jonathan King (II) ; ,2.0
107,Brian Meagan ; Geoffrey Rush ; Anthony LaPaglia ; ,29 avril 2009,Animation ; ,Le Sens de la vie pour 9.99$,3.7,Tatia Rosenthal ; ,2.9
108,Jackie Chan ; Jennifer Love Hewitt ; Jason Isaacs ; ,25 décembre 2002,Action ; Comédie ; Science fiction ; ,Le Smoking,2.9,Kevin Donovan ; ,1.8
109,Philippe Noiret ; Alberto Sordi ; Gisele Preville ; ,12 janvier 2005,Policier ; ,Le Témoin,,Jean-Pierre Mocky ; ,3.5
110,Victor Andres Turgeon-Trelles ; Laurence Leboeuf ; Dominique Quesnel ; ,/,Drame ; ,Le Torrent,,Simon Lavoie ; ,3.1
111,Devon Graye ; Patricia Clarkson ; John Cena ; ,5 octobre 2010,Drame ; ,Legendary,,Mel Damski ; ,4.0
112,Clara Bow ; Charles Rogers ; Richard Arlen ; ,5 novembre 2014,Drame ; Guerre ; Romance ; ,Les Ailes,,William A. Wellman ; ,3.7
113,Karin Viard ; Eric Caravaca ; Jacques Weber ; ,24 janvier 2007,Comédie ; ,Les Ambitieux,3.2,Catherine Corsini ; ,2.1
114,Laetitia Casta ; Frédéric Diefenthal ; Arielle Dombasle ; ,20 mai 2001,Comédie dramatique ; ,Les Âmes fortes,3.2,Raoul Ruiz ; ,2.2
115,Stephen Fry ; Emma Thompson ; Imelda Staunton ; ,27 janvier 1993,Comédie ; Drame ; Romance ; ,Les amis de Peter,,Kenneth Branagh ; ,3.8
116,Benjamin Bratt ; Michael C. Hall ; Tamara Taylor ; ,8 septembre 2015,Animation ; Action ; ,les Aventures de la Ligue des justiciers - Dieux et monstres,,Sam Liu ; ,3.2
117,Peter Paul ; David Paul ; Richard Lynch ; ,8 juillet 1987,Aventure ; Fantastique ; ,Les Barbarians,,Ruggero Deodato ; ,2.9
118,Sergio Peris-Mencheta ; Lluis Homar ; María Valverde ; ,31 mars 2010,Drame ; Biopic ; Historique ; ,Les Borgia,2.5,Antonio Hernandez ; Luciano Capozzi ; ,3.1
119,Olivia Dutron ; Xavier Deluc ; Yves Thuillier ; ,28 septembre 1983,Comédie ; ,Les Branchés à Saint-Tropez,,Max Pécas ; ,1.9
120,Raven-Symoné ; Adrienne Bailon ; Kiely Williams ; ,2 novembre 2005,Comédie ; Drame ; Famille ; ,Les Cheetah Girls,,Oz Scott ; ,3.1
121,Sean McClory ; Richard Widmark ; Karl Malden ; ,27 août 2003,Western ; ,Les Cheyennes,4.3,John Ford ; ,3.8
122,Jen Lilley ; Thomas Beaudoin ; Kati Salowsky ; ,/,Romance ; Drame ; ,Les Douze coups de Noël,,David Jackson ; ,3.5
123,Tom Vaughan-Lawlor ; Barry Ward ; Martin McCann ; ,11 avril 2018,Drame ; Thriller ; ,Les Evadés de Maze,,Stephen Burke ; ,3.0
124,Sylvester Stallone ; Billy Dee Williams ; Lindsay Wagner ; ,19 octobre 1999,Policier ; Action ; ,Les Faucons de la nuit,,Bruce Malmuth ; Gary Nelson ; ,3.0
125,Charles Chaplin ; Claire Bloom ; Buster Keaton ; ,31 octobre 1952,Drame ; Comédie ; ,Les Feux de la rampe,4.0,Charles Chaplin ; ,4.1
126,Johannes Oliver Hamm ; Gregori Derangère ; Anouk Grinberg ; ,8 novembre 2006,Drame ; Guerre ; ,Les Fragments d'Antonin,3.4,Gabriel Le Bomin ; ,3.2
127,Arielle Dombasle ; Michèle Bernier ; Guillaume Gallienne ; ,4 octobre 2006,Comédie ; ,Les Frangines,,Laurence Katrian ; ,2.4
128,Valérie Donzelli ; Michel Vuillermoz ; Patrick Lapp ; ,12 février 2014,Comédie ; ,Les Grandes Ondes (à l'ouest),3.4,Lionel Baier ; ,3.3
129,Alain Delon ; Simone Signoret ; Paul Crauchet ; ,23 mai 2005,Drame ; ,Les Granges brûlées,,Jean Chapot ; Alain Delon ; ,3.7
130,William L. Petersen ; Kyle Chandler ; Melinda Clarke ; ,4 septembre 1996,Policier ; ,Les Hommes de l'ombre,,Lee Tamahori ; ,2.8
131,Romy Schneider ; Adrian Hoven ; Magda Schneider ; ,7 novembre 2002,Romance ; Comédie ; Historique ; ,Les Jeunes années d'une reine,,Ernst Marischka ; ,3.7
132,Margit Carstensen ; Hanna Schygulla ; Irm Hermann ; ,29 octobre 2002,Drame ; ,Les Larmes amères de Petra von Kant,,Rainer Werner Fassbinder ; ,3.8
133,Anthony Hopkins ; Debra Winger ; Joseph Mazzello ; ,27 avril 1994,Comédie dramatique ; ,Les Ombres du coeur,,Richard Attenborough ; ,3.8
134,Jane Seymour ; Clancy Brown ; Kyle Howard ; ,/,Drame ; ,Les Ombres du passé,,Marcus Cole ; ,3.5
135,Valeria Bruni Tedeschi ; Fabrizio Bentivoglio ; Valeria Golino ; ,19 novembre 2014,Drame ; ,Les opportunistes,3.1,Paolo Virzì ; ,3.5
136,Maïwenn ; Mathilde Seigner ; Alessandra Martines ; ,15 septembre 2004,Comédie ; ,Les Parisiens,2.5,Claude Lelouch ; ,2.0
137,Moritz Bleibtreu ; Christian Ulmen ; Franka Potente ; ,30 août 2006,Drame ; ,Les Particules élémentaires,2.7,Oskar Roehler ; ,2.5
138,Pierre Perret ; Bernard La Jarrige ; Henri Virlojeux ; ,12 juin 2013,Comédie dramatique ; ,Les Patates,,Claude Autant-Lara ; ,2.9
139,Antoine-Olivier Pilon ; Alice Morel-Michaud ; Rémi Goulet ; ,/,Comédie ; Drame ; Famille ; ,Les Pee-Wee 3D: L'hiver qui a changé ma vie,,Eric Tessier ; ,3.5
140,Brigitte Lahaie ; Alban Ceray ; Dominique Aveline ; ,/,Erotique ; ,Les Petites écolières,,Claude Mulot ; ,2.9
141,Dominique Laffin ; Caroline Cartier ; Josiane Balasko ; ,25 janvier 1978,Comédie ; ,Les Petits câlins,,Jean-Marie Poiré ; ,3.3
142,Zero Mostel ; Gene Wilder ; Kenneth Mars ; ,29 septembre 1971,Comédie ; ,Les Producteurs,4.0,Mel Brooks ; ,3.7
143,Glenn Ford ; Ingrid Thulin ; Charles Boyer ; ,18 janvier 1962,Drame ; ,Les Quatre cavaliers de l'apocalypse,,Vincente Minnelli ; ,3.8
144,Janet Leigh ; Rory Calhoun ; Stuart Whitman ; ,/,Epouvante-horreur ; Science fiction ; Thriller ; ,Les Rongeurs de l'Apocalypse,,William F. Claxton ; ,2.5
145,Taryn Manning ; Raymond Cruz ; Samantha Droke ; ,11 août 2016,Drame ; Policier ; Biopic ; ,Les Séquestrées de Cleveland,,Alex Kalymnios ; ,3.2
146,John Zaremba ; Larry J. Blake ; Morris Ankrum ; ,14 octobre 2002,Fantastique ; Epouvante-horreur ; Science fiction ; ,Les Soucoupes volantes attaquent,,Fred F. Sears ; ,3.1
147,Jean Carmet ; Mylène Demongeot ; Bernard Woringer ; ,/,Aventure ; Historique ; ,Les Trois Mousquetaires: La vengeance de Milady,,Bernard Borderie ; ,3.7
148,Gérard Barray ; Georges Descrières ; Bernard Woringer ; ,/,Aventure ; Historique ; ,Les Trois Mousquetaires: Les ferrets de la reine,,Bernard Borderie ; ,3.7
149,Sam Parker ; Jack Mercer ; Livonia Warren ; ,20 octobre 1944,Animation ; ,Les Voyages de Gulliver,,Dave Fleischer ; ,3.6
150,Ted Danson ; Mary Steenburgen ; Tom Sturridge ; ,19 août 2015,Aventure ; Fantastique ; ,Les Voyages de Gulliver,,Charles Sturridge ; ,3.5
151,Bill Boggs ; Steve Marachuk ; Meg Mundy ; ,31 janvier 1979,Thriller ; Epouvante-horreur ; ,Les Yeux de Laura Mars,,Irvin Kershner ; ,2.9
152,,3 novembre 2010,Documentaire ; ,Les Yeux ouverts,3.3,Frédéric Chaudier ; ,3.5
153,Nicolas Maury ; Carmen Maura ; Jean-François Stévenin ; ,28 décembre 2011,Comédie ; ,Let My People Go!,2.5,Mikael Buch ; ,2.8
154,Chet Baker ; William Claxton ; Flea ; ,23 juillet 2008,Documentaire ; ,Let's Get Lost,4.8,Bruce Weber ; ,3.8
155,Carole Bouquet ; Julie Depardieu ; Serge Gisquière ; ,22 décembre 2010,Comédie dramatique ; ,Libre échange,,Serge Gisquière ; ,1.6
156,Mateusz Banasiuk ; Bartosz Gelner ; Marta Nieradkiewicz ; ,14 mai 2014,Drame ; Romance ; ,Ligne d'eau,3.1,Tomasz Wasilewski ; ,3.2
157,Rick Lens ; Loek Peters ; Cahit Ölmez ; ,21 novembre 2012,Famille ; ,Little Bird,3.8,Boudewijn Koole ; ,3.7
158,Christina Ricci ; Clea DuVall ; Gregg Henry ; ,/,Drame ; Thriller ; ,Lizzie Borden a-t-elle tué ses parents?,,Nick Gomez ; ,3.1
159,Ben Barnes ; Sarah Roemer ; Eliza Dushku ; ,/,Thriller ; Drame ; ,Locked In,,Suri Krishnamma ; ,3.2
160,Mario Adorf ; Barbara Sukowa ; Armin Mueller-Stahl ; ,23 novembre 2005,Comédie dramatique ; ,"Lola, une femme allemande",,Rainer Werner Fassbinder ; ,3.5
161,Britney Spears ; Dwayne Johnson ; Tony DeCamillis ; ,/,Thriller ; Drame ; ,Longshot,,Lionel C. Martin ; ,3.1
162,Sanaa Lathan ; Omar Epps ; Alfre Woodard ; ,/,Comédie dramatique ; Romance ; ,Love & basketball,,Gina Prince-Bythewood ; ,4.1
163,Mateusz Damiecki ; Izabella Miko ; Katarzyna Figura ; ,2 mai 2013,Romance ; ,Love and Dance,,Bruce Parramore ; ,3.2
164,Rhys Darby ; Sally Hawkins ; Bryan Brown ; ,/,Comédie ; ,Love Birds,,Paul Murphy ; ,2.9
165,Gian Maria Volonte ; Rod Steiger ; Vincent Gardenia ; ,8 octobre 2008,Biopic ; Drame ; Policier ; ,Lucky Luciano,,Francesco Rosi ; ,3.2
166,Pernilla August ; Romane Bohringer ; Marc Chapiteau ; ,20 décembre 1995,Documentaire ; ,Lumière et compagnie,,Lasse Hallström ; Abbas Kiarostami ; Régis Wargnier ; ,3.3
167,Hiroto Ogi ; Akane Tatsukawa ; Yuzu Hori ; ,16 août 2017,Drame ; ,Lumières d'été,3.3,Jean-Gabriel Périot ; ,3.3
168,Dieudonne Kabongo Bashila ; Andree Debar ; Eriq Ebouaney ; ,4 octobre 2000,Drame ; Biopic ; ,Lumumba,3.7,Raoul Peck ; ,3.8
