,actors,date,genres,movie,press_rating,producers,spectators_rating
0,William Holden ; Jennifer Jones ; Torin Thatcher ; ,26 mars 2003,Drame ; Romance ; ,La Colline de l'adieu,,Henry King ; ,3.3
1,Jerome Besson ; Clara Morgane ; Gaël Sesboue ; ,/,Erotique ; ,La Dernière fille,,Benjamin Beaulieu ; ,3.0
2,François Damiens ; Valérie Benguigui ; Valentin Vigourt ; ,2 décembre 2009,Comédie dramatique ; ,La Famille Wolberg,3.4,Axelle Ropert ; ,1.9
3,Boris Karloff ; Colin Clive ; Valerie Hobson ; ,19 octobre 1999,Fantastique ; Epouvante-horreur ; Science fiction ; ,La Fiancée de Frankenstein,4.5,James Whale ; ,3.9
4,Nacho Aldeguer ; Claudio Rodriguez ; Héctor Cantolla ; ,18 juin 2003,Animation ; ,La Forêt enchantée,2.8,Angel de la Cruz ; Manolo Gomez ; ,2.8
5,Toshirô Mifune ; Misa Uehara ; Chiaki Minoru ; ,22 mai 2001,Aventure ; ,La Forteresse cachée,,Akira Kurosawa ; ,3.8
6,Ian McKellen ; Scott Glenn ; Alberta Watson ; ,2 mai 1984,Thriller ; Epouvante-horreur ; ,La Forteresse noire,,Michael Mann ; ,2.7
7,Jean Rochefort ; Roger Hanin ; Pierre-Loup Rajot ; ,29 janvier 1986,Comédie ; ,La Galette du roi,,Jean-Michel Ribes ; ,2.4
8,Bourvil ; Roland Dubillard ; Francis Blanche ; ,12 mai 2004,Comédie ; ,La Grande lessive,,Jean-Pierre Mocky ; ,3.1
9,Warner Bentivegna ; Luciana Angiolillo ; Arturo Dominici ; ,/,Aventure ; Drame ; ,La guerre de Troie,,Giorgio Ferroni ; ,3.1
10,Jean-Pierre Darroussin ; Thomas Jouannet ; Claudia Cardinale ; ,/,Drame ; ,La Loi de Julien,,Christophe Douchand ; ,3.5
11,Jill Clayburgh ; Matthew Barry ; Renato Salvatori ; ,19 mars 2008,Drame ; ,La Luna,,Bernardo Bertolucci ; ,3.6
12,Robert Ryan ; Robert Stack ; Shirley Yamaguchi ; ,3 février 1956,Policier ; ,La Maison de bambou,4.0,Samuel Fuller ; ,3.2
13,Léo-Paul Salmain ; Ulrich Matthes ; Christopher Buchholz ; ,21 mars 2012,Historique ; Drame ; Guerre ; ,La Mer à l'aube,,Volker Schlöndorff ; ,3.3
14,Tom Courtenay ; Juliette Gréco ; Peter O'Toole ; ,12 avril 1967,Guerre ; Drame ; ,La Nuit des généraux,,Anatole Litvak ; ,3.7
15,Steve Martin ; Jean Reno ; Alfred Molina ; ,18 février 2009,Comédie ; Thriller ; ,La Panthère Rose 2,2.5,Harald Zwart ; ,2.0
16,Nikola Kojo ; Milos Samolov ; Hristina Popovic ; ,16 janvier 2013,Comédie ; Drame ; ,La Parade,2.6,Srdjan Dragojevic ; ,4.0
17,Vincent Lindon ; Emmanuelle Devos ; Caroline Proust ; ,2 mars 2011,Drame ; ,La Permission de minuit,3.4,Delphine Gleize ; ,2.7
18,Luis Carlos Guevara ; Jamés Solís ; Andrés Murillo ; ,17 avril 2013,Drame ; ,La Playa,3.5,Juan Andrés Arango Garcia ; ,2.6
19,Coralie Trinh Thi ; Roxanne Hall ; Olivia del Rio ; ,/,Erotique ; ,La Princesse et la pute,,Marc Dorcel ; ,3.0
20,Catherine Deneuve ; Richard Bohringer ; Bernard Giraudeau ; ,8 mai 1991,Comédie dramatique ; ,La Reine blanche,,Jean-Loup Hubert ; ,3.3
21,Mario Adorf ; Marie Versini ; Lex Barker ; ,11 juin 2008,Western ; ,La Révolte des Indiens Apaches,,Harald Reinl ; ,2.8
22,Sean Connery ; Audrey Hepburn ; Richard Harris ; ,16 juillet 2002,Aventure ; ,La Rose et la Flèche,,Richard Lester ; ,3.4
23,Stéphane Audran ; Jean-Pierre Cassel ; Jean-Claude Drouot ; ,26 août 1970,Drame ; Thriller ; ,La Rupture,,Claude Chabrol ; ,2.9
24,Jean-Paul Belmondo ; Aldo Bufi Landi ; Claudia Cardinale ; ,25 juillet 2001,Policier ; Drame ; ,La Scoumoune,,José Giovanni ; ,3.2
25,Dominique Farrugia ; Jean-Paul Rouve ; Maurice Barthélémy ; ,/,Comédie ; ,La Stratégie de l'Echec,,Dominique Farrugia ; ,3.5
26,Helen Mirren ; Felicity Jones ; Reeve Carney ; ,12 décembre 2012,Fantastique ; Drame ; Romance ; ,La Tempête,,Julie Taymor ; ,2.2
27,Karin Viard ; Chloé Coulloud ; Kad Merad ; ,28 mars 2007,Comédie dramatique ; ,La Tête de maman,3.3,Carine Tardieu ; ,2.5
28,Ryan Reynolds ; Emily Mortimer ; Stuart Townsend ; ,10 septembre 2008,Comédie dramatique ; ,La Théorie du Chaos,,Marcos Siega ; ,3.3
29,Roschdy Zem ; Jean-Paul Rouve ; Marie Gillain ; ,5 novembre 2008,Comédie ; ,La Très très grande entreprise,3.3,Pierre Jolivet ; ,2.3
30,Jérôme Deschamps ; Yolande Moreau ; Louise Wallon ; ,1 avril 2009,Animation ; ,La Véritable histoire du Chat botté,2.2,Pascal Hérold ; Jérôme Deschamps ; Macha Makeieff ; ,2.1
31,Eric Stoltz ; Mary Stuart Masterson ; Lea Thompson ; ,21 novembre 2002,Drame ; Romance ; ,La Vie à l'envers,,Howard Deutch ; ,3.5
32,Marthe Keller ; Isabelle Carré ; Barbara Schulz ; ,/,Comédie dramatique ; ,La Vie à l'envers,,Anne Giafferi ; ,2.9
