,actors,date,movie,press_rating,producer,spectators_rating
0,Pierre Arditi ; Jean-Pierre Marielle ; Julie Ferrier ; ,1 mai 2013,La fleur de l'âge,2.0,Nick Quinn ; ,2.7
1,Marisa Paredes ; Juan Echanove ; Carme Elias ; ,27 septembre 1995,La Fleur de mon secret,,Pedro Almodóvar ; ,3.2
2,Christopher Plummer ; Burl Ives ; Gypsy Rose Lee ; ,11 février 1959,La Foret interdite,,Nicholas Ray ; ,3.3
3,Bourvil ; Roland Dubillard ; Francis Blanche ; ,12 mai 2004,La Grande lessive,,Jean-Pierre Mocky ; ,3.1
4,Jim Sturgess ; Ben Kingsley ; Kevin Zegers ; ,8 février 2011,La Guerre de l'ombre,,Kari Skogland ; ,3.6
5,Daniel Prévost ; Nicolas Gob ; Chloé Stefani ; ,7 juin 2017,La Loi de Simon,,Didier Le Pêcheur ; ,3.3
6,Michael J. Fox ; James Woods ; Stephen Lang ; ,10 juillet 1991,La Manière forte,,John Badham ; ,3.3
7,Qiu Lan ; Yannick Choirat ; Louise Chen ; ,3 février 2016,La Marcheuse,3.0,Naël Marandin ; ,3.4
8,Yves Montand ; Carole Laure ; Marie Dubois ; ,28 septembre 1977,La Menace,,Alain Corneau ; ,3.5
9,Keisha Castle-Hughes ; Oscar Isaac ; Shohreh Aghdashloo ; ,6 décembre 2006,La Nativité,2.7,Catherine Hardwicke ; ,3.2
10,Matthew Reese ; K. Danor Gerald ; Jennifer Klekas ; ,2 septembre 2010,La Onzième heure,,John Lyde ; ,3.0
11,Charlotte Gainsbourg ; Didier Bezace ; Simon de La Brosse ; ,4 octobre 2016,La Petite Voleuse,,Claude Miller ; ,3.1
12,Souleymane Seye Ndiaye ; Malamine Drame ; Laïty Fall ; ,17 octobre 2012,La Pirogue,3.5,Moussa Toure ; ,3.6
13,Dennis Quaid ; Danny Glover ; Ted Levine ; ,1 juillet 1998,La Piste du tueur,,Jeb Stuart ; ,3.1
14,Jalil Naciri ; Gilles Bellomi ; Ahcen Titi ; ,7 septembre 2011,La Planque,2.3,Akim Isker ; ,2.3
15,Luis Carlos Guevara ; Jamés Solís ; Andrés Murillo ; ,17 avril 2013,La Playa,3.5,Juan Andrés Arango Garcia ; ,2.6
16,Benoît Magimel ; Ramata Koite ; Patrick Bauchau ; ,10 septembre 2008,La possibilité d'une île,1.7,Michel Houellebecq ; ,1.3
17,Coralie Trinh Thi ; Roxanne Hall ; Olivia del Rio ; ,/,La Princesse et la pute,,Marc Dorcel ; ,3.0
18,Lino Banfi ; Janet Agren ; Alvaro Vitali ; ,1 août 2013,La prof d'éducation sexuelle,,Mariano Laurenti ; ,3.0
19,Christian Crahay ; Raymonde Dullers ; Daniela Bisconti ; ,19 juillet 2006,La Raison du Plus Faible,3.8,Lucas Belvaux ; ,3.0
20,Catherine Deneuve ; Richard Bohringer ; Bernard Giraudeau ; ,8 mai 1991,La Reine blanche,,Jean-Loup Hubert ; ,3.3
21,Coralie Vanderlinden ; David Scarpuzza ; Arnaud Léonard ; ,4 avril 2007,La Reine soleil,3.0,Philippe Leclerc ; ,2.9
22,Clint Eastwood ; Charlie Sheen ; Raul Julia ; ,26 juin 1991,La Relève,,Clint Eastwood ; ,2.7
23,Emmanuelle Béart ; Pascale Bussières ; Dani Levy ; ,22 août 2001,La Répétition,2.8,Catherine Corsini ; ,3.0
24,Kerry Fox ; Anamaria Marinca ; Stephen Dillane ; ,17 mars 2010,La Révélation,3.8,Hans-Christian Schmid ; ,3.5
25,Martin Freeman ; Emily Holmes ; Eva Birthistle ; ,27 février 2008,La Ronde de nuit,3.3,Peter Greenaway ; ,3.1
26,Astrid Whettnall ; Pauline Burlet ; Abel Jafri ; ,20 septembre 2016,La Route d'Istanbul,,Rachid Bouchareb ; ,
27,Victor Banerjee ; Peggy Ashcroft ; Judy Davis ; ,24 avril 1985,La Route des Indes,,David Lean ; ,3.8
