,actors,date,movie,press_rating,producer,spectators_rating
0,Léa Massari ; Michel Bouquet ; Bernard Blier ; ,/,...la main à couper,,Etienne Périer ; ,"3,4"
1,Lorànt Deutsch ; Samuel Le Bihan ; Gérard Lanvin ; ,24 avril 2002,3 Zéros,"3,4",Fabien Onteniente ; ,"1,4"
2,Amber Tamblyn ; America Ferrera ; Alexis Bledel ; ,9 novembre 2005,4 filles et un jean,"2,0",Ken Kwapis ; ,"2,9"
3,Arnold Schwarzenegger ; Michael Rapaport ; Tony Goldwyn ; ,20 décembre 2000,A l'aube du 6ème jour,"2,7",Roger Spottiswoode ; ,"2,3"
4,Louis Wolheim ; Lew Ayres ; John Wray ; ,5 janvier 1999,"A l'Ouest, rien de nouveau","4,5",Lewis Milestone ; ,"3,8"
5,Pilou Asbæk ; Tuva Novotny ; Dar Salim ; ,1 juin 2016,A War,"3,6",Tobias Lindholm ; ,"3,7"
6,Héloïse Godet ; Kamel Abdelli ; Richard Chevallier ; ,21 mai 2014,Adieu au Langage,"3,3",Jean-Luc Godard ; ,"2,2"
7,Caitlin Stasey ; Sianoa Smit-McPhee ; Brooke Butler ; ,29 juillet 2015,All Cheerleaders Die,,Lucky McKee ; Chris Sivertson ; ,"2,3"
8,Amelle Chahbi ; Noom Diawara ; Aude Pépin ; ,28 mai 2014,Amour sur place ou à emporter,"1,8",Amelle Chahbi ; ,"2,4"
9,Alec Baldwin ; Danny Glover ; Michelle Ryan ; ,22 août 2016,Andròn - The Black Labyrinth,,Francesco Cinquemani ; ,"1,4"
10,Warren Oates ; Isela Vega ; Gig Young ; ,11 janvier 1975,Apportez-moi la tête d'Alfredo Garcia,"5,0",Sam Peckinpah ; ,"3,6"
11,Melissa McCarthy ; Jason Bateman ; Amanda Peet ; ,12 juin 2013,Arnaque à la carte,"1,9",Seth Gordon ; ,"2,5"
12,Jason Clarke ; Paz Vega ; Ted Danson ; ,10 août 2016,Attraction,,Jada Pinkett Smith ; ,"2,3"
13,Antonio Banderas ; Dylan McDermott ; Melanie Griffith ; ,5 octobre 2015,Autómata,,Gabe Ibáñez ; ,"2,7"
14,Thomas Middleditch ; Adam Pally ; Alex Ross Perry ; ,19 février 2017,Bachelor party,,Jeff Baena ; ,"2,2"
15,Coluche ; Valérie Mairesse ; François Perrot ; ,10 septembre 2003,Banzaï,,Claude Zidi ; ,"2,8"
16,Sally Hawkins ; Alexis Zegerman ; Andrea Riseborough ; ,27 août 2008,Be Happy,"3,9",Mike Leigh ; ,"2,6"
17,François Cluzet ; Olivier Gourmet ; Jonathan Zaccaï ; ,17 mars 2010,Blanc comme neige,"2,5",Christophe Blanc ; ,"2,0"
18,Derek Jarman ; Tilda Swinton ; Tilda Swinton ; ,/,Blue,,Derek Jarman ; ,"3,3"
19,David Hasselhoff ; Tom Kenny ; Bill Fagerbakke ; ,9 février 2005,Bob l'éponge - Le film,"3,3",Stephen Hillenburg ; ,"2,8"
20,Craig Wasson ; Melanie Griffith ; Gregg Henry ; ,20 février 1985,Body Double,,Brian De Palma ; ,"3,4"
21,Didier Bourdon ; Bérénice Bejo ; Marc-André Grondin ; ,5 novembre 2008,Bouquet final,"2,8",Michel Delgado ; ,"2,8"
22,Jane Val ; Micheline Dax ; Jean Martinelli ; ,8 décembre 1982,Brisby et le secret de Nimh,,Don Bluth ; ,"3,8"
23,Theo Taplitz ; Michael Barbieri ; Greg Kinnear ; ,21 septembre 2016,Brooklyn Village,"3,8",Ira Sachs ; ,"3,2"
