,actors,date,genres,movie,press_rating,producers,spectators_rating
0,Freddie Prinze Jr. ; Rob Schneider ; Evan Rachel Wood ; ,5 décembre 2007,Animation ; ,Festin de requin,,Howard E. Baker ; John Foxx ; ,1.9
1,Martin Loizillon ; Pierre Moure ; Julie-Marie Parmentier ; ,7 octobre 2015,Drame ; ,Fever,2.6,Raphaël Neal ; ,2.9
2,Catherine Tanvier ; Christian Sinniger ; Agatha Couture ; ,19 mai 2010,Drame ; ,Film Socialisme,3.2,Jean-Luc Godard ; ,2.1
3,Ze'ev Revach ; Levana Finkelstein ; Aliza Rosen ; ,3 juin 2015,Comédie ; Drame ; ,Fin de partie,3.7,Sharon Maymon ; Tal Granit ; ,3.7
4,Craig Sheffer ; Virginia Madsen ; Jon Polito ; ,/,Romance ; Comédie ; ,Fire with Fire,,Duncan Gibbins ; ,3.1
5,Marguerite Moreau ; Malcolm McDowell ; Dennis Hopper ; ,/,Fantastique ; ,Firestarter : Sous l'emprise du feu,,Robert Iscove ; ,3.0
6,Andy Lau ; Ray Lui ; Hu Jun ; ,1 septembre 2015,Thriller ; Action ; Policier ; ,Firestorm,,Alan Yuen ; ,2.5
7,Mark Webber ; Guillermo Santos ; Cheri Honkala ; ,/,Drame ; Documentaire ; ,Flesh and Blood,,Mark Webber ; ,3.0
8,Soren Pilmark ; Ulrich Thomsen ; Mads Mikkelsen ; ,25 mai 2016,Thriller ; ,Flickering lights,,Anders Thomas Jensen ; ,3.3
9,Muriel Robin ; Jacques Weber ; Pierre Niney ; ,6 septembre 2013,Comédie ; ,Folie Douce,,Josée Dayan ; ,3.1
10,Johnny Depp ; Ralph Steadman ; Terry Gilliam ; ,/,Documentaire ; Biopic ; ,For No Good Reason,,Charlie Paul ; ,3.0
11,Bourvil ; Michèle Morgan ; Gaby Morlay ; ,16 novembre 1960,Comédie dramatique ; ,Fortunat,,Alex Joffé ; ,4.0
12,Salim Kechiouche ; Arnaud Ducret ; El Bachir Bouchalga ; ,/,Comédie ; Romance ; ,Fortunes,,Stéphane Meunier ; ,3.0
13,Nikolaj Lie Kaas ; Thure Lindhardt ; Nicolaj Kopernikus ; ,25 septembre 2012,Animation ; Famille ; ,Freddy tête de crapaud,,Peter Dodd ; ,2.8
14,Valentinas Masalskis ; Axel Neumann ; Fatima Ennaflaoui ; ,13 décembre 2000,Drame ; ,Freedom,3.5,Sharunas Bartas ; ,3.1
15,Ice Cube ; Mike Epps ; John Witherspoon ; ,25 mars 2003,Comédie ; ,Friday After Next,,Marcus Raboy ; ,3.2
16,Jaime Murray ; Sean Power ; Sacha Parkinson ; ,26 septembre 2016,Epouvante-horreur ; Comédie ; Thriller ; ,Fright Night 2,,Eduardo Rodriguez ; ,2.0
17,Barbara Steele ; David Cronenberg ; Paul Hampton ; ,18 mars 2017,Epouvante-horreur ; Science fiction ; ,Frissons,,David Cronenberg ; ,3.3
18,Steven Bochco ; Pat Boone ; Billy Connolly ; ,/,Documentaire ; ,Fuck,,Steve Anderson ; ,3.1
19,Chris Imberdis ; Louise De Fleury ; Camille Lindskog ; ,22 juin 2016,Drame ; Science fiction ; ,Futur antérieur,,Franck Llopis ; ,2.9
20,,7 mars 2018,Documentaire ; ,Futur d’espoir,,Guillaume Thébault ; ,3.2
21,James Caan ; Mandy Patinkin ; Terence Stamp ; ,8 février 1989,Science fiction ; Policier ; ,Futur immédiat Los Angeles 1991,,Graham Baker ; ,2.7
22,Isabelle Huppert ; Pascal Greggory ; Claudia Coli ; ,28 septembre 2005,Drame ; ,Gabrielle,3.4,Patrice Chéreau ; ,2.2
23,Claude Rich ; Daniel Prévost ; Jean-Pierre Marielle ; ,/,Historique ; ,Galilée ou l'amour de Dieu,,Jean-Daniel Verhaeghe ; ,3.3
24,Patrick Bergin ; Nichole Hiltz ; Jennifer Rubin ; ,23 octobre 2013,Drame ; Action ; Aventure ; ,Games of Rome : Les jeux de l'Empire,,Zachary Weintraub ; ,2.7
25,Manoj Bajpai ; Tigmanshu Dhulia ; Piyush Mishra ; ,25 juillet 2012,Action ; Drame ; Thriller ; ,Gangs of Wasseypur - Part 1,4.1,Anurag Kashyap ; ,3.5
26,Winston Chao ; May Chin ; Mitchell Lichtenstein ; ,6 octobre 1993,Comédie dramatique ; ,Garçon d'honneur,,Ang Lee ; ,3.7
27,Pierre Chatagny ; Natacha Koutchoumov ; Rui Pedro Alves ; ,19 janvier 2005,Drame ; ,Garçon stupide,3.2,Lionel Baier ; ,3.0
28,Julie Christie ; Fritz Weaver ; Gerrit Graham ; ,19 mai 2009,Fantastique ; Science fiction ; ,Generation Proteus,,Donald Cammell ; ,3.4
29,Pachornpol Jantieng ; Thanyanan Mahapirun ; Phongsak Rattanapong ; ,4 mars 2009,Epouvante-horreur ; ,Ghost Game,,Sarawut Wichiensarn ; ,2.1
30,Leslie Caron ; Maurice Chevalier ; Louis Jourdan ; ,2 mai 2000,Comédie musicale ; Comédie ; Romance ; ,Gigi,2.0,Vincente Minnelli ; ,3.4
31,Sarah Jessica Parker ; Lee Montgomery ; Helen Hunt ; ,/,Comédie ; ,Girls Just Want to Have Fun,,Alan Metter ; ,3.2
32,Gillian Murphy ; Qi Huan ; ,12 décembre 2014,Opera ; ,Giselle,3.0,Toa Fraser ; ,3.5
33,Dianna Agron ; Chris Colfer ; Darren Criss ; ,28 septembre 2011,Documentaire ; Concert ; ,Glee ! On Tour : Le Film 3D,1.2,Kevin Tancharoen ; ,3.8
34,Mamoru Miyano ; Yûki Kaji ; Kana Hanazawa ; ,17 janvier 2018,Science fiction ; Animation ; ,Godzilla,,Kobun Shizuno ; Hiroyuki Seshita ; ,3.2
35,Nina Hoss ; Marko Mandic ; Peter Kurth ; ,24 juillet 2013,Drame ; Western ; ,Gold,3.1,Thomas Arslan ; ,3.2
36,Sofia Ledarp ; Kjell Bergqvist ; Bjorn Kjellman ; ,15 mars 2017,Thriller ; Epouvante-horreur ; ,Gone,,Mattias Olsson ; Henrik JP Åkesson ; ,2.3
37,Hideki Sone ; Sho Aikawa ; K. Yoshino ; ,14 juillet 2004,Thriller ; ,Gozu,3.5,Takashi Miike ; ,3.3
38,Sava Popovic ; Annemieke Van Der Meer ; Rebecca O'Marrah ; ,18 mars 2017,Divers ; ,Granny,,Boris Pavlovsky ; ,2.4
39,Guy Amram ; Daniel Russo ; Bruno Solo ; ,4 mars 1998,Comédie ; ,Grève party,,Fabien Onteniente ; ,2.0
