,actors,date,movie,press_rating,producer,spectators_rating
2365,William Shatner ; Leonard Nimoy ; DeForest Kelley ; ,27 mars 1980,Star Trek : Le Film,,Robert Wise ; ,3.4
2366,Rachelle Roderick ; Shannon Factor ; Jeff Bridges ; ,10 janvier 2007,Stick It,2.0,Jessica Bendinger ; ,2.9
2367,Falk Hentschel ; Sofia Boutella ; George Sampson ; ,9 mai 2012,Street Dance 2 [3D],1.9,Max Giwa ; Dania Pasquini ; ,3.1
2368,Louis de Funès ; Geraldine Chaplin ; Olivier De Funès ; ,14 avril 1971,Sur un arbre perché,,Serge Korber ; ,2.3
2369,Aamir Khan ; Darsheel Safary ; Tisca Chopra ; ,/,Taare Zameen Par,,Aamir Khan ; ,3.8
2370,,17 juillet 2017,Taking Earth,,,2.0
2371,Harrison Chad ; George Carlin ; Brad Garrett ; ,24 août 2005,Tarzan II (V),,Brian Smith (VI) ; ,2.1
2372,Dominique Leborne ; Matteo Leborne ; Mailys Leborne ; ,24 février 2016,Tempête,3.8,Samuel Collardey ; ,3.9
2373,Logan Huffman ; Brandon Sklenar ; Natalia Warner ; ,11 décembre 2017,Temple,,Michael Barrett (II) ; ,2.1
2374,Thierry Tevini ; Anja Schüte ; Valérie Dumas ; ,19 novembre 1980,Tendres cousines,,David Hamilton ; ,2.8
2375,Filippo Pucillo ; Donatella Finocchiaro ; Mimmo Cuticchio ; ,14 mars 2012,Terraferma,3.2,Emanuele Crialese ; ,3.6
2376,J.K. Simmons ; Julie Delpy ; Odeya Rush ; ,15 décembre 2017,The Bachelors,,Kurt Voelker ; ,3.5
2377,Ryan Phillippe ; Taylor Kitsch ; Neels Van Jaarsveld ; ,23 août 2011,The Bang Bang Club,,Steven Silver ; ,3.7
2378,Paul McCartney ; Ringo Starr ; John Lennon ; ,15 septembre 2016,The Beatles: Eight Days a Week,,Ron Howard ; ,4.0
2379,Ali Larter ; Arjun Gupta ; Chloe Perrin ; ,28 septembre 2016,The Diabolical,,Alistair Legrand ; ,2.8
2380,Xavier Samuel ; Robin McLeavy ; Jessica McNamee ; ,1 juillet 2010,The Loved Ones,,Sean Byrne ; ,3.3
2381,Debra Winger ; Tracy Letts ; Aidan Gillen ; ,14 mars 2018,The Lovers,,Azazel Jacobs ; ,2.7
2382,Denis Shevod ; Irina Nizina ; Ilya Isaev ; ,6 novembre 2013,The Major,3.5,Yuri Bykov ; ,3.4
2383,Golshifteh Farahani ; Irrfan Khan ; Waheeda Rehman ; ,/,The Song of Scorpions,,Anup Singh ; ,2.9
2384,Paprika Steen ; Ulrich Thomsen ; Jonas Wandschneider ; ,5 janvier 2010,The Substitute,,Ole Bornedal ; ,2.3
2385,Robert Carlyle ; Kelly Hu ; Ian Somerhalder ; ,4 janvier 2011,The Tournament,,Scott Mann ; ,2.7
2386,Sul Kyung-gu ; Ye-jin Son ; Kim Sang-kyung ; ,17 juin 2013,The Tower,,Ji-hoon Kim ; ,3.4
2387,Jean-Claude Van Damme ; Mia Sara ; Ron Silver ; ,30 novembre 1994,Timecop,,Peter Hyams ; ,1.9
2388,Gérard Lanvin ; Véronique Jannot ; Michel Constantin ; ,22 septembre 1982,Tir groupé,,Jean-Claude Messiaen ; ,3.2
2389,Evgeniy Mironov ; Vinnie Jones ; Anna Chipovskaya ; ,8 juillet 2015,Titanium,,Dmitriy Grachev ; ,1.4
2390,Woody Allen ; Julia Roberts ; Goldie Hawn ; ,12 février 1997,Tout le monde dit I love you,4.4,Woody Allen ; ,3.4
2391,Annette Bening ; Julianne Moore ; Mark Ruffalo ; ,6 octobre 2010,"Tout va bien, The Kids Are All Right",3.0,Lisa Cholodenko ; ,3.1
2392,Dylan Baker ; Rochelle Aytes ; Brian Cox ; ,6 octobre 2009,Trick 'r Treat,,Michael Dougherty ; ,3.3
2393,Raphaël Personnaz ; Clotilde Hesme ; Arta Dobroshi ; ,5 décembre 2012,Trois Mondes,3.2,Catherine Corsini ; ,3.2
2394,Val Kilmer ; Bruce Dern ; Elle Fanning ; ,11 avril 2012,Twixt,3.0,Francis Ford Coppola ; ,2.5
2395,Ronit Roy ; Tejaswini Kolhapure ; Rahul Bhat ; ,28 mai 2014,Ugly,3.4,Anurag Kashyap ; ,3.3
2396,Daniel Auteuil ; André Dussollier ; Emmanuelle Béart ; ,7 juillet 2003,Un coeur en hiver,,Claude Sautet ; ,3.5
2397,Jae-yeong Jeong ; Min-Hee Kim ; Yeo-jeong Yoon ; ,17 février 2016,"Un jour avec, un jour sans",4.0,Sang-Soo Hong ; ,3.3
2398,Gérard Jugnot ; François Berléand ; Olivia Ruiz ; ,4 janvier 2012,Un jour mon père viendra,2.5,Martin Valente ; ,2.4
2399,Bill Paxton ; Billy Bob Thornton ; Bridget Fonda ; ,24 mars 1999,Un Plan simple,3.9,Sam Raimi ; ,3.5
2400,Eddie Murphy ; Arsenio Hall ; James Earl Jones ; ,24 août 1988,Un prince à New York,,John Landis ; ,2.6
2401,Emmanuelle Béart ; Daniel Auteuil ; Samuel Le Bihan ; ,15 mars 1995,Une femme française,,Régis Wargnier ; ,3.0
2402,Rebecca Hall ; Alan Rickman ; Richard Madden ; ,16 avril 2014,Une Promesse,3.1,Patrice Leconte ; ,3.3
2403,Jean-Pierre Mocky ; Richard Bohringer ; Florian Hessique ; ,15 mars 2017,Vénéneuses,,Jean-Pierre Mocky ; ,3.3
2404,Victoria Bedos ; Chantal Lauby ; François Berléand ; ,8 juin 2016,Vicky,2.6,Denis Imbert ; ,1.8
2405,Emily Blunt ; Rupert Friend ; Paul Bettany ; ,22 juillet 2009,Victoria : les jeunes années d'une reine,2.4,Jean-Marc Vallée ; ,3.6
2406,Jorge Perugorria ; Luis Alberto Garcia ; Héctor Medina Valdés ; ,6 juillet 2016,Viva,3.8,Paddy Breathnach ; ,4.1
2407,Erica Gavin ; Garth Pillbury ; Jon Evans ; ,15 mars 2000,Vixen!,,Russ Meyer ; ,2.9
2408,Ryan Kwanten ; Amy Smart ; Leslie Bibb ; ,13 octobre 2014,Vol 7500 : aller sans retour,,Takashi Shimizu ; ,1.9
2409,Josh Brolin ; James Cromwell ; Ellen Burstyn ; ,29 octobre 2008,W. - L'improbable Président,2.6,Oliver Stone ; ,2.4
2410,Devi Couzigou ; Victor Le Blond ; Mathis Crusson ; ,27 avril 2016,West Coast,2.1,Benjamin Weill ; ,2.7
2411,Jake Johnson ; Joe Lo Truglio ; Aislinn Derbez ; ,7 avril 2017,Win It All,,Joe Swanberg ; ,2.3
2412,Tom Cavanagh ; Anna Faris ; T.J. Miller ; ,9 février 2011,Yogi l'ours,2.3,Eric Brevig ; ,2.3
2413,Woody Allen ; Mia Farrow ; John Buckwalter ; ,14 septembre 1983,Zelig,5.0,Woody Allen ; ,3.6
2414,Robert Englund ; Jenna Jameson ; Roxy Saint ; ,8 octobre 2008,Zombie Strippers!,,Jay Lee ; ,1.9
2415,Ben Stiller ; Drew Barrymore ; Eileen Essell ; ,7 juillet 2004,1 duplex pour 3,3.3,Danny DeVito ; ,2.7
2416,Dani Rovira ; Karra Elejalde ; Alexandra Jiménez ; ,/,100 metros,,Marcel Barrena ; ,3.1
