,actors,date,movie,press_rating,producer,spectators_rating
0,Patrick Wilson ; Rose Byrne ; Ty Simpkins ; ,15 juin 2011,Insidious,3.2,James Wan,3.5
1,Jean-Paul Rouve ; Isabelle Nanty ; Claire Nadeau ; ,1 juillet 2011,Les Tuche,2.3,Olivier Baroux,2.6
2,Leonardo DiCaprio ; Marion Cotillard ; Ellen Page ; ,21 juillet 2010,Inception,4.1,Christopher Nolan,4.4
3,Michael Douglas ; Shia LaBeouf ; Josh Brolin ; ,29 septembre 2010,Wall Street : l'argent ne dort jamais,2.3,Oliver Stone,2.6
4,Sarah Jessica Parker ; Kim Cattrall ; Kristin Davis ; ,2 juin 2010,Sex and the City 2,2.5,Michael Patrick King,2.4
5,Rémy Girard ; Lubna Azabal ; Mélissa Désormeaux-Poulin ; ,12 janvier 2011,Incendies,3.8,Denis Villeneuve,4.4
6,Sami Bouajila ; Denis Podalydès ; Maurice Bénichou ; ,22 juin 2011,Omar m'a tuer,3.3,Roschdy Zem,3.8
7,Natalie Portman ; Mila Kunis ; Vincent Cassel ; ,9 février 2011,Black Swan,4.1,Darren Aronofsky,4.1
8,François Cluzet ; Marion Cotillard ; Benoît Magimel ; ,20 octobre 2010,Les petits mouchoirs,2.9,Guillaume Canet,3.6
9,Leonardo DiCaprio ; Mark Ruffalo ; Ben Kingsley ; ,24 février 2010,Shutter Island,3.8,Martin Scorsese,4.3
10,Bruce Willis ; Morgan Freeman ; Helen Mirren ; ,17 novembre 2010,Red,2.8,Robert Schwentke,3.5
11,Vincent Elbaz ; Gregori Derangère ; Mélanie Bernier ; ,9 mars 2011,L'Assaut,2.8,Julien Leclercq,3.6
12,Srdjan Todorovic ; Sergej Trifunovic ; Jelena Gavrilovic ; ,2 février 2012,A Serbian Film,,Srdjan Spasojevic,2.1
13,Jake Gyllenhaal ; Anne Hathaway ; Oliver Platt ; ,29 décembre 2010,"Love, et autres drogues",2.2,Edward Zwick,3.2
14,Rainn Wilson ; Ellen Page ; Liv Tyler ; ,1 décembre 2011,Super,,James Gunn (II),3.5
15,Jean Reno ; Kad Merad ; Marina Foïs ; ,24 mars 2010,L'Immortel,2.4,Richard Berry,3.4
16,Mario Casas ; María Valverde ; Álvaro Cervantes ; ,21 août 2013,3 mètres au-dessus du ciel - Twilight Love,,Fernando González Molina,4.2
17,Benoît Poelvoorde ; Dany Boon ; Julie Bernard ; ,2 février 2011,Rien à déclarer,2.2,Dany Boon,2.5
18,James Franco ; Amber Tamblyn ; Kate Mara ; ,23 février 2011,127 heures,3.2,Danny Boyle,3.9
19,Romain Duris ; Vanessa Paradis ; Julie Ferrier ; ,17 mars 2010,L'Arnacoeur,4.0,Pascal Chaumeil,3.9
20,Johnny Depp ; Mia Wasikowska ; Matt Lucas ; ,24 mars 2010,Alice au Pays des Merveilles,3.5,Tim Burton,3.3
21,Robert Downey Jr. ; Don Cheadle ; Scarlett Johansson ; ,28 avril 2010,Iron Man 2,3.1,Jon Favreau,3.5
22,Colin Firth ; Helena Bonham Carter ; Derek Jacobi ; ,2 février 2011,Le Discours d'un roi,4.0,Tom Hooper,4.3
23,Vincent Claude ; Elie Semoun ; Bruno Podalydès ; ,22 juin 2011,L'Elève Ducobu,2.1,Philippe de Chauveron,2.2
24,Jesse Eisenberg ; Justin Timberlake ; Andrew Garfield ; ,13 octobre 2010,The Social Network,4.4,David Fincher,4.0
25,Valérie Donzelli ; Jérémie Elkaïm ; Elina Löwensohn ; ,31 août 2011,La Guerre est déclarée,4.4,Valérie Donzelli,3.8
26,Carey Mulligan ; Andrew Garfield ; Keira Knightley ; ,2 mars 2011,Never Let Me Go,3.0,Mark Romanek,3.5
27,Felicity Jones ; Sophia Bush ; Brooke Shields ; ,/,Chalet Girl,,Phil Traill,3.6
28,Poppy Montgomery ; Adam Kaufman ; Chelah Horsdal ; ,/,L'amour XXL,,Gary Harvey,3.6
29,Ryan Reynolds ; Erik Palladino ; Robert Paterson ; ,3 novembre 2010,Buried,3.6,Rodrigo Cortés,3.3
30,Logan Lerman ; Brandon T. Jackson ; Pierce Brosnan ; ,10 février 2010,Percy Jackson : le voleur de foudre,2.5,Chris Columbus,2.8
31,Gérard Depardieu ; Gisèle Casadesus ; Maurane ; ,2 juin 2010,La Tête en friche,3.1,Jean Becker,3.9
32,Donald Reignoux ; Emmanuel Jacomy ; Florine Orphelin ; ,31 mars 2010,Dragons,3.8,Chris Sanders,4.4
33,Michael Gregorio ; James Marsden ; Kaley Cuoco ; ,6 juillet 2011,Hop,2.1,Tim Hill,2.8
34,Sam Worthington ; Liam Neeson ; Ralph Fiennes ; ,7 avril 2010,Le Choc des Titans,2.9,Louis Leterrier,2.3
35,Robert Pattinson ; Emilie de Ravin ; Chris Cooper ; ,7 avril 2010,Remember Me,2.4,Allen Coulter,3.9
36,Jacques Gamblin ; Sara Forestier ; Zinedine Soualem ; ,24 novembre 2010,Le Nom des gens,3.7,Michel Leclerc,3.8
37,Ben Affleck ; Rebecca Hall ; Jon Hamm ; ,15 septembre 2010,The Town,3.5,Ben Affleck,3.9
38,Sylvester Stallone ; Jason Statham ; Jet Li ; ,18 août 2010,Expendables : unité spéciale,2.8,Sylvester Stallone,3.1
39,Guy Pearce ; James Frecheville ; Jacki Weaver ; ,27 avril 2011,Animal Kingdom,4.0,David Michôd,3.7
40,Denzel Washington ; Mila Kunis ; Gary Oldman ; ,20 janvier 2010,Le Livre d'Eli,2.4,Albert Hughes,3.4
41,Fabrice Eboué ; Thomas Ngijol ; Stéfi Celma ; ,6 juillet 2011,Case départ,3.0,Thomas Ngijol,3.0
42,Jeff Bridges ; Garrett Hedlund ; Olivia Wilde ; ,9 février 2011,Tron l'héritage,2.7,Joseph Kosinski,3.4
43,Matt Damon ; Cécile de France ; Thierry Neuvic ; ,19 janvier 2011,Au-delà,2.7,Clint Eastwood,2.6
44,Ryan Gosling ; Michelle Williams ; Mike Vogel ; ,15 juin 2011,Blue Valentine,3.6,Derek Cianfrance,3.8
45,Maeva Méline ; Romain Duris ; Isabelle Adjani ; ,1 décembre 2010,Raiponce,3.8,Byron Howard,4.3
46,Channing Tatum ; Amanda Seyfried ; Richard Jenkins ; ,31 mars 2010,Cher John,3.5,Lasse Hallström,3.6
47,Sarah Butler ; Chad Lindberg ; Daniel Franzese ; ,21 septembre 2011,I Spit on Your Grave,,Steven R. Monroe,3.6
48,Jeff Bridges ; Hailee Steinfeld ; Josh Brolin ; ,23 février 2011,True Grit,4.0,Ethan Coen,3.9
49,Mélanie Thierry ; Lambert Wilson ; Grégoire Leprince-Ringuet ; ,3 novembre 2010,La Princesse de Montpensier,3.4,Bertrand Tavernier,3.1
50,Daniel Radcliffe ; Rupert Grint ; Emma Watson ; ,24 novembre 2010,Harry Potter et les reliques de la mort - partie 1,3.2,David Yates,4.1
51,Jaden Smith ; Jackie Chan ; Taraji P. Henson ; ,18 août 2010,Karaté Kid,3.1,Harald Zwart,3.6
52,Romain Duris ; Marina Foïs ; Catherine Deneuve ; ,3 novembre 2010,L'Homme qui voulait vivre sa vie,3.8,Eric Lartigau,3.2
53,Ramzy Bedia ; Anne Marivin ; Marie-France Pisier ; ,27 octobre 2010,Il reste du jambon ?,1.8,Anne Depetrini,1.9
54,Mark Wahlberg ; Christian Bale ; Amy Adams ; ,9 mars 2011,Fighter,3.9,David O. Russell,4.1
55,Byung-Hun Lee ; Min-sik Choi ; Oh San-ha ; ,6 juillet 2011,J'ai rencontré le Diable,4.2,Jee-Woon Kim,4.3
56,Noah Ringer ; Dev Patel ; Nicola Peltz ; ,28 juillet 2010,Le Dernier maître de l'air,1.9,M. Night Shyamalan,2.4
57,Guillaume Canet ; Leïla Bekhti ; Slimane Khettabi ; ,4 janvier 2012,Une vie meilleure,3.8,Cédric Kahn,3.1
58,Russell Crowe ; Cate Blanchett ; Max von Sydow ; ,12 mai 2010,Robin des Bois,3.4,Ridley Scott,3.2
59,Ewan McGregor ; Pierce Brosnan ; Kim Cattrall ; ,3 mars 2010,The Ghost Writer,4.6,Roman Polanski,3.8
60,Alice Taglioni ; Virginie Efira ; Mehdi Nebbou ; ,23 janvier 2013,Cookie,2.0,Léa Fazer,3.1
61,François Cluzet ; Omar Sy ; Anne Le Ny ; ,2 novembre 2011,Intouchables,3.7,Eric Toledano,4.4
62,Ryan Gosling ; Carey Mulligan ; Bryan Cranston ; ,5 octobre 2011,Drive,4.4,Nicolas Winding Refn,4.0
63,Zoe Saldana ; Amandla Stenberg ; Michael Vartan ; ,27 juillet 2011,Colombiana,2.3,Olivier Megaton,3.2
64,Kirsten Dunst ; Charlotte Gainsbourg ; Alexander Skarsgård ; ,10 août 2011,Melancholia,4.1,Lars von Trier,3.5
