,actors,date,movie,press_rating,producer,spectators_rating
65,Amanda Seyfried ; Justin Timberlake ; Cillian Murphy ; ,23 novembre 2011,Time Out,2.7,Andrew Niccol,3.5
66,Anne Hathaway ; Jim Sturgess ; Patricia Clarkson ; ,24 août 2011,Un jour,3.0,Lone Scherfig,4.0
67,James McAvoy ; Michael Fassbender ; Kevin Bacon ; ,1 juin 2011,X-Men: Le Commencement,3.6,Matthew Vaughn,4.1
68,Bradley Cooper ; Robert De Niro ; Abbie Cornish ; ,8 juin 2011,Limitless,3.0,Neil Burger,3.9
69,Chris Hemsworth ; Natalie Portman ; Anthony Hopkins ; ,27 avril 2011,Thor,3.0,Kenneth Branagh,3.5
70,Patrick Bruel ; Valérie Benguigui ; Charles Berling ; ,25 avril 2012,Le Prénom,3.2,Alexandre De La Patellière,4.0
71,Emma Stone ; Jessica Chastain ; Viola Davis ; ,26 octobre 2011,La Couleur des sentiments,2.5,Tate Taylor,4.4
72,Tom Hanks ; Thomas Horn ; Sandra Bullock ; ,29 février 2012,Extrêmement fort et incroyablement près,2.6,Stephen Daldry,3.8
73,Tomer Sisley ; Sharon Stone ; Ulrich Tukur ; ,16 février 2011,Largo Winch II,3.0,Jérôme Salle,2.8
74,Natalie Portman ; Ashton Kutcher ; Kevin Kline ; ,16 février 2011,Sex Friends,2.3,Ivan Reitman,2.9
75,Nora Arnezeder ; Fu'ad Ait Aattou ; Anne Parillaud ; ,12 septembre 2012,Ce que le jour doit à la nuit,2.4,Alexandre Arcady,4.2
76,Daniel Brühl ; Marta Etura ; Alberto Ammann ; ,21 mars 2012,Eva,3.3,Kike Maillo,3.7
77,Karin Viard ; JoeyStarr ; Marina Foïs ; ,19 octobre 2011,Polisse,3.7,Maïwenn,4.1
78,Joel Edgerton ; Tom Hardy ; Jennifer Morrison ; ,14 septembre 2011,Warrior,3.6,Gavin O'Connor,4.4
79,Steve Carell ; Ryan Gosling ; Julianne Moore ; ,14 septembre 2011,"Crazy, Stupid, Love",3.0,John Requa,3.9
80,Antonio Banderas ; Elena Anaya ; Marisa Paredes ; ,17 août 2011,La Piel que Habito,3.7,Pedro Almodóvar,4.0
81,Chris Evans ; Hayley Atwell ; Sebastian Stan ; ,17 août 2011,Captain America : First Avenger,3.3,Joe Johnston,3.4
82,Emily Browning ; Abbie Cornish ; Jena Malone ; ,30 mars 2011,Sucker Punch,3.0,Zack Snyder,3.3
83,Patrick Bethune ; Eric Herson-Macarel ; Pierre Laurent ; ,26 octobre 2011,Les Aventures de Tintin : Le Secret de la Licorne,3.5,Steven Spielberg,3.6
84,Will Dunn ; Rohan Gotobed ; Daniel Radcliffe ; ,13 juillet 2011,Harry Potter et les reliques de la mort - partie 2,3.8,David Yates,4.3
85,Tom Cruise ; Jeremy Renner ; Simon Pegg ; ,14 décembre 2011,Mission : Impossible - Protocole fantôme,3.8,Brad Bird,3.8
86,Jake Gyllenhaal ; Michelle Monaghan ; Vera Farmiga ; ,20 avril 2011,Source Code,3.3,Duncan Jones,3.8
87,Rooney Mara ; Daniel Craig ; Christopher Plummer ; ,18 janvier 2012,Millenium : Les hommes qui n’aimaient pas les femmes,3.8,David Fincher,4.1
88,Owen Wilson ; Rachel McAdams ; Michael Sheen ; ,11 mai 2011,Minuit à Paris,4.2,Woody Allen,3.8
89,Brad Pitt ; Jessica Chastain ; Sean Penn ; ,17 mai 2011,The Tree of Life,3.5,Terrence Malick,2.6
90,Justin Timberlake ; Mila Kunis ; Patricia Clarkson ; ,7 septembre 2011,Sexe entre amis,2.5,Will Gluck,3.5
91,Brendan Gleeson ; Don Cheadle ; Liam Cunningham ; ,21 décembre 2011,L'Irlandais,3.4,John Michael McDonagh,3.3
92,Eric Elmosnino ; Mathilde Seigner ; Fred Testot ; ,14 septembre 2011,La Guerre des Boutons,2.6,Yann Samuell,3.0
93,Quim Gutiérrez ; Martina García ; Clara Lago ; ,4 juillet 2012,Inside,3.0,Andrés Baiz,3.8
94,Patricia Kaas ; Serge Hazanavicius ; Raphaël Boshart ; ,/,Assassinée,,Thierry Binisti,3.2
95,Michael Fassbender ; Carey Mulligan ; James Badge Dale ; ,7 décembre 2011,Shame,4.0,Steve McQueen (II),3.6
96,Anthony Hopkins ; Colin O'Donoghue ; Alice Braga ; ,9 mars 2011,Le Rite,2.1,Mikael Hafstrom,2.7
97,Asa Butterfield ; Chloë Grace Moretz ; Ben Kingsley ; ,14 décembre 2011,Hugo Cabret,4.1,Martin Scorsese,3.8
98,Vin Diesel ; Paul Walker ; Dwayne Johnson ; ,4 mai 2011,Fast and Furious 5,3.3,Justin Lin,4.0
99,Gérard Lanvin ; Tchéky Karyo ; Daniel Duval ; ,30 novembre 2011,Les Lyonnais,2.8,Olivier Marchal,3.8
100,Matt Damon ; Emily Blunt ; Michael Kelly ; ,23 mars 2011,L'Agence,3.0,George Nolfi,3.5
101,Jeremy Irvine ; Emily Watson ; Peter Mullan ; ,22 février 2012,Cheval de guerre,3.5,Steven Spielberg,4.0
102,Esther Comar ; Martin Cannavo ; Vincent Perez ; ,18 janvier 2012,Ma Première fois,3.0,Marie-Castille Mention-Schaar,3.6
103,Gaspard Proust ; Louise Bourgoin ; JoeyStarr ; ,18 janvier 2012,L'Amour dure trois ans,3.1,Frédéric Beigbeder,2.9
104,Hugh Jackman ; Dakota Goyo ; Evangeline Lilly ; ,19 octobre 2011,Real Steel,2.8,Shawn Levy,3.8
105,Kyle Chandler ; Joel Courtney ; Elle Fanning ; ,3 août 2011,Super 8,3.8,J.J. Abrams,3.6
106,James Franco ; Freida Pinto ; John Lithgow ; ,10 août 2011,La Planète des singes : les origines,3.3,Rupert Wyatt,4.1
107,Alex Pettyfer ; Timothy Olyphant ; Teresa Palmer ; ,6 avril 2011,Numéro quatre,1.9,D.J. Caruso,3.3
108,Mélanie Doutey ; Olivier Barthelemy ; Francis Renaud ; ,4 avril 2012,Aux yeux de tous,3.1,Cédric Jimenez,3.3
109,Leïla Bekhti ; Hafsia Herzi ; Hiam Abbass ; ,2 novembre 2011,La source des femmes,2.4,Radu Mihaileanu,3.8
110,Patrick Huard ; Julie Le Breton ; Antoine Bertrand ; ,27 juin 2012,Starbuck,3.4,Ken Scott,4.2
111,Iko Uwais ; Yayan Ruhian ; Joe Taslim ; ,20 juin 2012,The Raid,3.7,Gareth Evans,3.8
112,Mia Wasikowska ; Michael Fassbender ; Jamie Bell ; ,25 juillet 2012,Jane Eyre,3.1,Cary Fukunaga,3.9
113,Kristen Connolly ; Chris Hemsworth ; Anna Hutchison ; ,2 mai 2012,La Cabane dans les bois,3.5,Drew Goddard,2.9
114,Brad Pitt ; Jonah Hill ; Philip Seymour Hoffman ; ,16 novembre 2011,Le Stratège,4.0,Bennett Miller,3.8
115,Deborah Révy ; Hélène Zimmer ; Gowan Didi ; ,14 septembre 2011,Q,1.6,Laurent Bouhnik,2.2
116,Michael Shannon ; Jessica Chastain ; Tova Stewart ; ,4 janvier 2012,Take Shelter,4.6,Jeff Nichols,3.9
117,Audrey Tautou ; François Damiens ; Bruno Todeschini ; ,21 décembre 2011,La Délicatesse,2.5,David Foenkinos,3.5
118,Cameron Diaz ; Justin Timberlake ; Lucy Punch ; ,27 juillet 2011,Bad Teacher,2.4,Jake Kasdan,2.2
119,Jessica Monceau ; Adrien Larmande ; Thierry Jahn ; ,23 novembre 2011,Le Tableau,4.1,Jean-François Laguionie,4.0
120,Nicolas Cage ; Josh Lucas ; Danny Huston ; ,24 juillet 2013,12 heures,1.4,Simon West,2.3
121,Jean-Noël Martin ; Max Boublil ; Aïssa Maïga ; ,22 janvier 2014,Prêt à tout,2.2,Nicolas Cuche,2.8
122,Jessica Chastain ; Jason Clarke ; Joel Edgerton ; ,23 janvier 2013,Zero Dark Thirty,4.1,Kathryn Bigelow,3.9
123,Robert Downey Jr. ; Chris Evans ; Mark Ruffalo ; ,25 avril 2012,Avengers,4.0,Joss Whedon,4.2
124,Jean Dujardin ; Gilles Lellouche ; Alexandra Lamy ; ,29 février 2012,Les Infidèles,3.0,Jean Dujardin,2.1
125,Jamie Foxx ; Christoph Waltz ; Leonardo DiCaprio ; ,16 janvier 2013,Django Unchained,4.5,Quentin Tarantino,4.5
126,Jennifer Lawrence ; Josh Hutcherson ; Liam Hemsworth ; ,21 mars 2012,Hunger Games,3.4,Gary Ross,3.9
127,Tom Hanks ; Halle Berry ; Jim Broadbent ; ,13 mars 2013,Cloud Atlas,3.4,Lana Wachowski,4.0
128,Suraj Sharma ; Irrfan Khan ; Adil Hussain ; ,19 décembre 2012,L'Odyssée de Pi,3.6,Ang Lee,4.1
129,Ethan Hawke ; Juliet Rylance ; Fred Dalton Thompson ; ,7 novembre 2012,Sinister,3.2,Scott Derrickson,3.7
130,Johan Heldenbergh ; Veerle Baetens ; Nell Cattrysse ; ,28 août 2013,Alabama Monroe,3.7,Felix Van Groeningen,4.4
131,Leticia Dolera ; Diego Martín ; Ismael Martínez ; ,4 avril 2012,[REC]³ Génesis,2.5,Paco Plaza,1.7
132,Norman Thavaud ; Thomas Mann (II) ; Oliver Cooper ; ,14 mars 2012,Projet X,3.0,Nima Nourizadeh,3.4
133,Bruce Willis ; Joseph Gordon-Levitt ; Emily Blunt ; ,31 octobre 2012,Looper,3.9,Rian Johnson,3.8
134,Christian Bale ; Gary Oldman ; Tom Hardy ; ,25 juillet 2012,The Dark Knight Rises,3.6,Christopher Nolan,4.3
135,Bradley Cooper ; Jennifer Lawrence ; Robert De Niro ; ,30 janvier 2013,Happiness Therapy,3.5,David O. Russell,3.9
136,David Oakes ; Tom Kane ; Florence Hall ; ,24 septembre 2012,Action ou vérité,,Robert Heath,3.0
137,Matthew McConaughey ; Reese Witherspoon ; Tye Sheridan ; ,1 mai 2013,Mud - Sur les rives du Mississippi,4.1,Jeff Nichols,4.2
138,Dane DeHaan ; Alex Russell ; Michael B. Jordan ; ,22 février 2012,Chronicle,3.4,Josh Trank,3.5
139,Rachel McAdams ; Channing Tatum ; Jessica Lange ; ,16 mai 2012,Je te promets - The Vow,2.0,Michael Sucsy,3.9
140,Colin Farrell ; Woody Harrelson ; Abbie Cornish ; ,30 janvier 2013,7 Psychopathes,2.3,Martin McDonagh,3.0
141,Noomi Rapace ; Michael Fassbender ; Charlize Theron ; ,30 mai 2012,Prometheus,3.4,Ridley Scott,3.3
142,Bruce Willis ; Edward Norton ; Bill Murray ; ,16 mai 2012,Moonrise Kingdom,3.7,Wes Anderson,4.0
143,Jessica Biel ; Jodelle Ferland ; Stephen McHattie ; ,5 septembre 2012,The Secret,2.6,Pascal Laugier,3.0
144,Ian McKellen ; Martin Freeman ; Richard Armitage ; ,12 décembre 2012,Le Hobbit : un voyage inattendu,3.2,Peter Jackson,4.2
145,Hugh Jackman ; Russell Crowe ; Anne Hathaway ; ,13 février 2013,Les Misérables,2.3,Tom Hooper,3.2
146,Marion Cotillard ; Matthias Schoenaerts ; Armand Verdure ; ,17 mai 2012,De rouille et d'os,4.3,Jacques Audiard,3.9
147,Kumiko Aso ; Megumi Hayashibara ; Takuma Hiraoka ; ,29 août 2012,"Les Enfants Loups, Ame & Yuki",4.1,Mamoru Hosoda,4.5
148,Shia LaBeouf ; Tom Hardy ; Jason Clarke ; ,12 septembre 2012,Des hommes sans loi,3.4,John Hillcoat,4.1
149,Taylor Kitsch ; Aaron Taylor-Johnson ; Blake Lively ; ,26 septembre 2012,Savages,3.0,Oliver Stone,3.5
150,Jean-Pierre Bacri ; Kristin Scott Thomas ; Isabelle Carré ; ,5 septembre 2012,Cherchez Hortense,3.5,Pascal Bonitzer,2.9
151,Serge Faliu ; Alex Goude ; Virginie Efira ; ,13 février 2013,Hôtel Transylvanie,3.0,Genndy Tartakovsky,3.8
152,Logan Lerman ; Emma Watson ; Ezra Miller ; ,2 janvier 2013,Le Monde de Charlie,3.3,Stephen Chbosky,4.3
153,Isabelle Huppert ; Sandrine Kiberlain ; François Damiens ; ,11 septembre 2013,Tip Top,3.1,Serge Bozon,1.2
154,Tom Cruise ; Rosamund Pike ; Robert Duvall ; ,26 décembre 2012,Jack Reacher,3.2,Christopher McQuarrie,3.6
155,Andrew Garfield ; Emma Stone ; Rhys Ifans ; ,4 juillet 2012,The Amazing Spider-Man,3.0,Marc Webb,3.6
156,Sandrine Kiberlain ; Albert Dupontel ; Nicolas Marié ; ,16 octobre 2013,9 mois ferme,4.1,Albert Dupontel,3.6
157,Daniel Day-Lewis ; Sally Field ; David Strathairn ; ,30 janvier 2013,Lincoln,3.9,Steven Spielberg,3.6
158,Taylor Kitsch ; Lynn Collins ; Samantha Morton ; ,7 mars 2012,John Carter,3.1,Andrew Stanton,3.3
159,Daniel Craig ; Judi Dench ; Javier Bardem ; ,26 octobre 2012,Skyfall,4.0,Sam Mendes,4.1
160,Maribel Verdú ; Macarena García ; Daniel Giménez Cacho ; ,23 janvier 2013,Blancanieves,4.0,Pablo Berger,3.4
161,Gaspard Ulliel ; Nolwenn Leroy ; Miglen Mirtchev ; ,28 novembre 2012,Les Cinq légendes,3.4,Peter Ramsey,4.2
162,Reem Kherici ; Cécile Cassel ; Tarek Boudali ; ,17 juillet 2013,Paris à tout prix,2.8,Reem Kherici,3.2
163,Anna Kendrick ; Skylar Astin ; Ben Platt ; ,8 mai 2013,The Hit Girls,2.5,Jason Moore,4.0
164,Keira Knightley ; Jude Law ; Aaron Taylor-Johnson ; ,5 décembre 2012,Anna Karenine,3.2,Joe Wright,3.3
165,Pilou Asbæk ; Søren Malling ; Dar Salim ; ,10 juillet 2013,Hijacking,3.8,Tobias Lindholm,3.9
166,Medi Sadoun ; Franck Gastambide ; Jib Pocthier ; ,11 juillet 2012,Les Kaïra,3.3,Franck Gastambide,2.4
167,Denzel Washington ; Don Cheadle ; Kelly Reilly ; ,13 février 2013,Flight,3.2,Robert Zemeckis,3.7
168,Gérard Depardieu ; Edouard Baer ; Guillaume Gallienne ; ,17 octobre 2012,Astérix et Obélix : au service de Sa Majesté,3.2,Laurent Tirard,1.8
169,Omar Sy ; Laurent Lafitte ; Sabrina Ouazani ; ,19 décembre 2012,De l'autre côté du périph,2.9,David Charhon,2.8
170,Paul Brannigan ; John Henshaw ; Gary Maitland ; ,27 juin 2012,La Part des Anges,3.5,Ken Loach,4.0
171,Colin Farrell ; Kate Beckinsale ; Jessica Biel ; ,15 août 2012,Total Recall Mémoires Programmées,1.9,Len Wiseman,2.9
172,Niels Arestrup ; Tahar Rahim ; Emilie Dequenne ; ,22 août 2012,À perdre la raison,3.7,Joachim Lafosse,3.5
173,Josh Brolin ; Ryan Gosling ; Sean Penn ; ,6 février 2013,Gangster Squad,2.3,Ruben Fleischer,3.8
174,Naomi Watts ; Ewan McGregor ; Tom Holland ; ,21 novembre 2012,The Impossible,3.1,Juan Antonio Bayona,4.1
175,Britt Robertson ; Dylan O'Brien ; Craig Roberts ; ,31 janvier 2017,The First Time,,Jon Kasdan,4.2
176,Jérémie Renier ; Benoît Magimel ; Monica Scattini ; ,14 mars 2012,Cloclo,3.6,Florent Siri,4.1
177,Pierre Deladonchamps ; Christophe Paou ; Patrick d'Assumçao ; ,12 juin 2013,L'inconnu du lac,4.2,Alain Guiraudie,3.1
178,Kristen Stewart ; Robert Pattinson ; Taylor Lautner ; ,14 novembre 2012,Twilight - Chapitre 5 : Révélation 2e partie,2.9,Bill Condon,3.7
179,Dwayne Johnson ; Michael Caine ; Josh Hutcherson ; ,15 février 2012,Voyage au centre de la Terre 2 : L'île mystérieuse,2.1,Brad Peyton,3.2
180,Tom Hanks ; Catherine Keener ; Barkhad Abdi ; ,20 novembre 2013,Capitaine Phillips,3.5,Paul Greengrass,4.2
181,Charlie Hunnam ; Idris Elba ; Rinko Kikuchi ; ,17 juillet 2013,Pacific Rim,3.4,Guillermo del Toro,3.7
182,Brad Pitt ; Mireille Enos ; Elyes Gabel ; ,3 juillet 2013,World War Z,2.9,Marc Forster,3.6
183,Léa Seydoux ; Adèle Exarchopoulos ; Salim Kechiouche ; ,9 octobre 2013,La Vie d'Adèle - Chapitres 1 et 2,4.6,Abdellatif Kechiche,3.7
184,Hugh Jackman ; Jake Gyllenhaal ; Viola Davis ; ,9 octobre 2013,Prisoners,3.8,Denis Villeneuve,4.4
185,Philippe Lacheau ; Gérard Jugnot ; Clotilde Courau ; ,16 avril 2014,Babysitting,3.2,Philippe Lacheau,4.0
186,Jack O'Connell ; Rupert Friend ; Ben Mendelsohn ; ,4 juin 2014,Les Poings contre les murs,3.8,David Mackenzie,4.0
187,Patrick Wilson ; Rose Byrne ; Barbara Hershey ; ,2 octobre 2013,Insidious : Chapitre 2,2.3,James Wan,3.6
188,Charlotte Gainsbourg ; Stellan Skarsgård ; Stacy Martin ; ,1 janvier 2014,Nymphomaniac - Volume 1,3.2,Lars von Trier,3.3
189,Mariya Smolnikova ; Yanina Studilina ; Pyotr Fyodorov ; ,10 septembre 2014,Stalingrad,,Fedor Bondarchuk,3.2
190,Joaquin Phoenix ; Amy Adams ; Rooney Mara ; ,19 mars 2014,Her,3.9,Spike Jonze,4.1
191,Ralph Fiennes ; Tony Revolori ; F. Murray Abraham ; ,26 février 2014,The Grand Budapest Hotel,4.5,Wes Anderson,4.2
192,Mark Wahlberg ; Taylor Kitsch ; Emile Hirsch ; ,1 janvier 2014,Du sang et des larmes,2.9,Peter Berg,4.3
193,Leonardo DiCaprio ; Jonah Hill ; Margot Robbie ; ,25 décembre 2013,Le Loup de Wall Street,4.0,Martin Scorsese,4.2
194,,28 mars 2018,C'est assez bien d'être fou,,Antoine Page,3.3
195,Meryl Streep ; Julia Roberts ; Ewan McGregor ; ,26 février 2014,Un été à Osage County,2.9,John Wells,3.6
196,José Garcia ; Michaël Youn ; Isabelle Funaro ; ,20 février 2013,Vive la France,1.8,Michaël Youn,2.3
197,Jesse Eisenberg ; Mark Ruffalo ; Woody Harrelson ; ,31 juillet 2013,Insaisissables,2.3,Louis Leterrier,4.0
198,Marine Vacth ; Géraldine Pailhas ; Frédéric Pierrot ; ,21 août 2013,Jeune & Jolie,3.7,François Ozon,3.2
199,Vera Farmiga ; Patrick Wilson ; Ron Livingston ; ,21 août 2013,Conjuring : Les dossiers Warren,3.3,James Wan,4.2
200,Domhnall Gleeson ; Bill Nighy ; Rachel McAdams ; ,6 novembre 2013,Il était temps,3.2,Richard Curtis,4.2
201,Christian Bale ; Woody Harrelson ; Casey Affleck ; ,15 janvier 2014,Les Brasiers de la Colère,2.8,Scott Cooper,3.5
202,Chiwetel Ejiofor ; Michael Fassbender ; Benedict Cumberbatch ; ,22 janvier 2014,12 Years a Slave,4.2,Steve McQueen (II),4.3
203,Leonardo DiCaprio ; Tobey Maguire ; Carey Mulligan ; ,15 mai 2013,Gatsby le Magnifique,2.8,Baz Luhrmann,4.0
204,Michael Fassbender ; Penélope Cruz ; Cameron Diaz ; ,13 novembre 2013,Cartel,2.4,Ridley Scott,1.8
205,Matthew McConaughey ; Jennifer Garner ; Jared Leto ; ,29 janvier 2014,Dallas Buyers Club,3.9,Jean-Marc Vallée,4.3
