,actors,date,movie,press_rating,producer,spectators_rating
0,Michael Vartan ; Erin Moriarty ; Nadine Velazquez ; ,16 mars 2017,Within - Dans les murs,,Phil Claydon ; ,2.4
1,Keanu Reeves ; Hiroyuki Sanada ; Kô Shibasaki ; ,2 avril 2014,47 Ronin,2.6,Carl Erik Rinsch ; ,3.2
2,Daniel Day-Lewis ; Pete Postlethwaite ; Emma Thompson ; ,9 mars 1994,Au nom du père,3.6,Jim Sheridan ; ,4.2
3,Bruno Wolkowitch ; Patrick Catalifo ; Catherine Marchal ; ,14 octobre 2015,Borderline,,Olivier Marchal ; ,3.8
4,Michael Peña ; Dax Shepard ; Vincent D'Onofrio ; ,23 mars 2017,CHiPs,,Dax Shepard ; ,2.7
5,Dean Martin ; Kim Novak ; Ray Walston ; ,26 septembre 2003,"Embrasse-moi, idiot",,Billy Wilder ; ,3.7
6,Nathaniel Brown ; Paz de la Huerta ; Cyril Roy ; ,5 mai 2010,Enter the Void,3.0,Gaspar Noé ; ,3.3
7,Lauren Bacall ; Lambert Wilson ; Pauline Brunner ; ,12 décembre 2012,Ernest et Célestine,4.3,Benjamin Renner ; Vincent Patar ; Stéphane Aubier ; ,4.3
8,James Franco ; Charlotte Gainsbourg ; Marie-Josée Croze ; ,22 avril 2015,Every Thing Will Be Fine,2.7,Wim Wenders ; ,2.8
9,Ian Holm ; Jill Flint ; Denis O'Hare ; ,20 avril 2005,Garden State,3.8,Zach Braff ; ,3.9
10,Mia Wasikowska ; Michael Fassbender ; Jamie Bell ; ,25 juillet 2012,Jane Eyre,3.1,Cary Fukunaga ; ,3.9
11,Aaron Taylor-Johnson ; Chloë Grace Moretz ; Christopher Mintz-Plasse ; ,21 août 2013,Kick-Ass 2,2.0,Jeff Wadlow ; ,3.8
12,Al Pacino ; Keanu Reeves ; Charlize Theron ; ,14 janvier 1998,L'Associé du diable,2.3,Taylor Hackford ; ,3.8
13,Moritz Bleibtreu ; Christian Berkel ; Oliver Stokowski ; ,21 mai 2003,L'Expérience,3.7,Oliver Hirschbiegel ; ,3.7
14,Leonardo DiCaprio ; Jeremy Irons ; John Malkovich ; ,1 avril 1998,L'Homme au masque de fer,3.0,Randall Wallace ; ,3.0
15,John Wayne ; James Stewart ; Lee Marvin ; ,3 octobre 1962,L'Homme qui tua Liberty Valance,4.9,John Ford ; ,4.1
16,Hal Scardino ; Litefoot ; Lindsay Crouse ; ,20 décembre 1995,L'Indien du placard,,Frank Oz ; ,2.4
