,actor,date,movie,press_rating,producer,spectators_rating
58,Guillaume Canet,4 janvier 2012,Une vie meilleure,"3,8",Cédric Kahn,"3,1"
59,Tyler Labine,1 février 2012,Tucker & Dale fightent le mal,"3,7",Eli Craig,"3,9"
60,Patricia Kaas,/,Assassinée,,Thierry Binisti,"3,2"
61,Ryan Gosling,5 octobre 2011,Drive,"4,4",Nicolas Winding Refn,"4,0"
62,François Cluzet,2 novembre 2011,Intouchables,"3,7",Eric Toledano,"4,4"
63,Chris Hemsworth,27 avril 2011,Thor,"3,0",Kenneth Branagh,"3,5"
64,Steve Carell,14 septembre 2011,"Crazy, Stupid, Love","3,0",John Requa,"3,9"
65,Amanda Seyfried,23 novembre 2011,Time Out,"2,7",Andrew Niccol,"3,5"
66,Daniel Brühl,21 mars 2012,Eva,"3,3",Kike Maillo,"3,7"
67,Emma Stone,26 octobre 2011,La Couleur des sentiments,"2,5",Tate Taylor,"4,4"
68,Hugh Jackman,19 octobre 2011,Real Steel,"2,8",Shawn Levy,"3,8"
69,Patrick Bethune,26 octobre 2011,Les Aventures de Tintin : Le Secret de la Licorne,"3,5",Steven Spielberg,"3,6"
70,Bradley Cooper,8 juin 2011,Limitless,"3,0",Neil Burger,"3,9"
71,Tom Cruise,14 décembre 2011,Mission : Impossible - Protocole fantôme,"3,8",Brad Bird,"3,8"
72,Natalie Portman,16 février 2011,Sex Friends,"2,3",Ivan Reitman,"2,9"
73,Chris Evans,17 août 2011,Captain America : First Avenger,"3,3",Joe Johnston,"3,4"
74,Johnny Depp,18 mai 2011,Pirates des Caraïbes : la Fontaine de Jouvence,"2,5",Rob Marshall,"3,3"
75,Anne Hathaway,24 août 2011,Un jour,"3,0",Lone Scherfig,"4,0"
76,Zoe Saldana,27 juillet 2011,Colombiana,"2,3",Olivier Megaton,"3,2"
77,Will Dunn,13 juillet 2011,Harry Potter et les reliques de la mort - partie 2,"3,8",David Yates,"4,3"
78,Joel Edgerton,14 septembre 2011,Warrior,"3,6",Gavin O'Connor,"4,4"
79,Nora Arnezeder,12 septembre 2012,Ce que le jour doit à la nuit,"2,4",Alexandre Arcady,"4,2"
80,Karin Viard,19 octobre 2011,Polisse,"3,7",Maïwenn,"4,1"
81,Antonio Banderas,17 août 2011,La Piel que Habito,"3,7",Pedro Almodóvar,"4,0"
82,Brad Pitt,17 mai 2011,The Tree of Life,"3,5",Terrence Malick,"2,6"
83,Rooney Mara,18 janvier 2012,Millenium : Les hommes qui n’aimaient pas les femmes,"3,8",David Fincher,"4,1"
84,Nicolas Cage,4 janvier 2012,Le Pacte,"2,0",Roger Donaldson,"2,9"
85,Richard Gere,4 mai 2012,Secret Identity,,Michael Brandt,"2,5"
86,Reese Witherspoon,4 mai 2011,De l'eau pour les éléphants,"2,8",Francis Lawrence,"3,9"
87,Asa Butterfield,14 décembre 2011,Hugo Cabret,"4,1",Martin Scorsese,"3,8"
88,Kristen Connolly,2 mai 2012,La Cabane dans les bois,"3,5",Drew Goddard,"2,9"
89,Iko Uwais,20 juin 2012,The Raid,"3,7",Gareth Evans,"3,8"
90,James Franco,10 août 2011,La Planète des singes : les origines,"3,3",Rupert Wyatt,"4,1"
91,Jake Gyllenhaal,20 avril 2011,Source Code,"3,3",Duncan Jones,"3,8"
92,Patrick Bruel,25 avril 2012,Le Prénom,"3,2",Alexandre De La Patellière,"4,0"
93,James McAvoy,1 juin 2011,X-Men: Le Commencement,"3,6",Matthew Vaughn,"4,1"
94,Esther Comar,18 janvier 2012,Ma Première fois,"3,0",Marie-Castille Mention-Schaar,"3,6"
95,Michael Fassbender,7 décembre 2011,Shame,"4,0",Steve McQueen (II),"3,5"
96,Leonardo DiCaprio,11 janvier 2012,J. Edgar,"3,9",Clint Eastwood,"3,3"
