,actor,date,movie,press_rating,producer,spectators_rating
290,Catherine Deneuve,13 mai 2015,La Tête haute,"3,9",Emmanuelle Bercot,"4,1"
291,Chloë Grace Moretz,17 septembre 2014,Si je reste,"2,9",R.J. Cutler,"4,0"
292,Marcin Dorocinski,30 novembre 2017,Jack Strong,,Wladyslaw Pasikowski,
293,Andrew Garfield,30 avril 2014,The Amazing Spider-Man : le destin d'un Héros,"3,0",Marc Webb,"3,6"
294,Clovis Cornillac,6 mai 2015,"Un peu, beaucoup, aveuglément","3,4",Clovis Cornillac,"3,7"
295,Essie Davis,30 juillet 2014,Mister Babadook,"3,5",Jennifer Kent,"2,8"
296,Vincent Cassel,12 février 2014,La Belle et La Bête,"3,1",Christophe Gans,"3,1"
297,Aaron Taylor-Johnson,14 mai 2014,Godzilla,"3,5",Gareth Edwards (II),"2,9"
298,Angelina Jolie,28 mai 2014,Maléfique,"3,5",Robert Stromberg,"3,9"
299,Jennifer Lawrence,19 novembre 2014,Hunger Games - La Révolte : Partie 1,"3,0",Francis Lawrence,"3,4"
300,Melvil Poupaud,16 septembre 2015,Fou d'amour,"3,4",Philippe Ramos,"3,2"
301,Robert De Niro,7 octobre 2015,Le Nouveau stagiaire,"2,9",Nancy Meyers,"3,8"
302,Will Smith,9 mars 2016,Seul contre tous,"2,9",Peter Landesman,"3,9"
303,Sharlto Copley,4 mars 2015,Chappie,"3,3",Neill Blomkamp,"3,7"
304,Colin Firth,18 février 2015,Kingsman : Services secrets,"3,9",Matthew Vaughn,"4,3"
305,Jamie Dornan,11 février 2015,Cinquante Nuances de Grey,"2,1",Sam Taylor-Johnson,"2,6"
306,Daisy Ridley,16 décembre 2015,Star Wars - Le Réveil de la Force,"4,0",J.J. Abrams,"3,7"
307,Matt Damon,21 octobre 2015,Seul sur Mars,"3,4",Ridley Scott,"4,1"
308,Isabelle Huppert,25 mai 2016,Elle,"4,3",Paul Verhoeven,"3,4"
309,Brie Larson,9 mars 2016,Room,"3,6",Lenny Abrahamson,"4,4"
310,Claudio Santamaria,3 mai 2017,On l’appelle Jeeg Robot,"3,3",Gabriele Mainetti,"3,4"
311,Robert Downey Jr.,22 avril 2015,Avengers : L'ère d'Ultron,"2,9",Joss Whedon,"3,9"
312,Charlotte Le Bon,17 juin 2015,Vice Versa,"4,7",Pete Docter,"4,3"
313,Jason Clarke,23 septembre 2015,Everest,"2,9",Baltasar Kormákur,"3,9"
314,Leonardo DiCaprio,24 février 2016,The Revenant,"3,8",Alejandro González Iñárritu,"4,2"
315,Dylan O'Brien,7 octobre 2015,Le Labyrinthe : La Terre brûlée,"3,0",Wes Ball,"3,5"
316,Tomer Sisley,5 avril 2017,Le Serpent aux mille coupures,"3,0",Eric Valette,"2,4"
317,Ben Foster,16 septembre 2015,The Program,"3,6",Stephen Frears,"3,5"
318,Karl Glusman,15 juillet 2015,Love,"3,3",Gaspar Noé,"3,2"
319,Jean-Paul Rouve,3 février 2016,Les Tuche 2 - Le rêve américain,"2,8",Olivier Baroux,"2,7"
320,Emily Blunt,7 octobre 2015,Sicario,"4,0",Denis Villeneuve,"3,9"
321,Tom Cruise,12 août 2015,Mission: Impossible - Rogue Nation,"3,7",Christopher McQuarrie,"4,0"
322,Gaspard Schlatter,19 octobre 2016,Ma Vie De Courgette,"4,4",Claude Barras,"4,4"
323,Samuel L. Jackson,6 janvier 2016,Les Huit salopards,"3,3",Quentin Tarantino,"4,1"
324,Tom Hardy,20 janvier 2016,Legend,"3,0",Brian Helgeland,"3,8"
325,Michael Keaton,27 janvier 2016,Spotlight,"4,0",Tom McCarthy,"4,2"
326,Liam Neeson,11 mars 2015,Night Run,"2,5",Jaume Collet-Serra,"3,4"
327,Sami Bouajila,4 mai 2016,Braqueurs,"3,3",Julien Leclercq,"3,6"
328,Hafsia Herzi,7 décembre 2016,Sex Doll,"2,5",Sylvie Verheyde,"2,2"
329,Mia Wasikowska,14 octobre 2015,Crimson Peak,"3,4",Guillermo del Toro,"3,6"
330,Dwayne Johnson,27 mai 2015,San Andreas,"2,8",Brad Peyton,"3,0"
331,Héloïse Martin,26 octobre 2016,Tamara,"3,2",Alexandre Castagnetti,"3,9"
332,Bradley Cooper,18 février 2015,American Sniper,"3,8",Clint Eastwood,"4,1"
333,Channing Tatum,4 février 2015,Jupiter : Le destin de l'Univers,"3,0",Lilly Wachowski,"2,5"
334,Eddie Redmayne,20 janvier 2016,The Danish Girl,"2,7",Tom Hooper,"4,1"
335,Jake Gyllenhaal,22 juillet 2015,La Rage au ventre,"3,4",Antoine Fuqua,"4,3"
336,Loubna Abidar,16 septembre 2015,Much Loved,"4,0",Nabil Ayouch,"3,5"
337,Anthony Hopkins,9 septembre 2015,Prémonitions,"2,8",Afonso Poyart,"3,5"
338,Orelsan,9 décembre 2015,Comment c’est loin,"3,4",Orelsan,"4,1"
339,Christian Bale,23 décembre 2015,The Big Short : le Casse du siècle,"3,5",Adam McKay,"3,6"
340,Koji Yakusho,13 janvier 2016,Le Garçon et la Bête,"4,0",Mamoru Hosoda,"4,4"
341,Mélanie Laurent,2 décembre 2015,Demain,"3,8",Cyril Dion,"4,6"
342,,7 février 2018,Rita et Crocodile,,Siri Melchior,"3,2"
343,Philippe Lacheau,2 décembre 2015,Babysitting 2,"2,2",Nicolas Benamou,"3,6"
344,Édgar Ramírez,3 février 2016,Point Break,"2,0",Ericson Core,"2,4"
345,Pilou Asbæk,17 octobre 2017,Invasion day,,Roni Ezra,"3,0"
346,Chris Pratt,10 juin 2015,Jurassic World,"2,9",Colin Trevorrow,"3,6"
347,Vincent Cassel,21 octobre 2015,Mon Roi,"3,2",Maïwenn,"4,0"
348,Bradley Cooper,4 novembre 2015,A vif !,"2,3",John Wells,"3,0"
349,Henry Cavill,16 septembre 2015,Agents très spéciaux - Code U.N.C.L.E,"3,3",Guy Ritchie,"4,0"
350,Paul Rudd,14 juillet 2015,Ant-Man,"3,3",Peyton Reed,"3,9"
351,Michael B. Jordan,13 janvier 2016,Creed - L'Héritage de Rocky Balboa,"3,6",Ryan Coogler,"4,3"
352,Keanu Reeves,23 septembre 2015,Knock Knock,"2,4",Eli Roth,"2,0"
353,Güneş Nezihe Şensoy,17 juin 2015,Mustang,"4,0",Deniz Gamze Ergüven,"4,3"
354,Vin Diesel,1 avril 2015,Fast & Furious 7,"3,6",James Wan,"4,1"
355,Olivia DeJonge,7 octobre 2015,The Visit,"3,4",M. Night Shyamalan,"3,0"
356,Pierfrancesco Favino,9 décembre 2015,Suburra,"3,6",Stefano Sollima,"4,1"
357,Tilda Swinton,6 avril 2016,A Bigger Splash,"2,3",Luca Guadagnino,"2,6"
358,Shaïn Boumedine,21 mars 2018,Mektoub My Love : Canto Uno,"4,0",Abdellatif Kechiche,"3,5"
359,Alain Hernández,2 novembre 2017,Insiders: Escape Plan,,Iñaki Dorronsoro,"2,8"
360,Andrew Bargsted,14 mars 2018,Mala Junta,"2,7",Claudia Huaiquimilla,"3,0"
361,Catherine Deneuve,8 novembre 2017,Tout nous sépare,"2,8",Thierry Klifa,"2,9"
362,Gilles Lellouche,19 avril 2017,Sous le même toit,"2,8",Dominique Farrugia,"2,2"
363,Garik Kharlamov,14 février 2018,La Princesse des glaces,"2,6",Aleksey Tsitsilin,"3,0"
364,Quim Gutiérrez,8 mars 2018,La Jeune fille et la brume,,Andrés M. Koppel,"2,7"
365,Rebecca Hall,1 mars 2018,Permission,,Brian Crano,"2,4"
366,Emma Booth,12 juillet 2017,Love Hunters,"3,4",Ben Young,"3,6"
367,Dev Patel,22 février 2017,Lion,"3,1",Garth Davis,"4,5"
368,Céline Sallette,5 avril 2017,Corporate,"3,4",Nicolas Silhol,"3,8"
369,Garance Marillier,15 mars 2017,Grave,"4,1",Julia Ducournau,"3,6"
370,Laetitia Dosch,1 novembre 2017,Jeune Femme,"3,9",Léonor Serraille,"3,5"
371,Kad Merad,8 novembre 2017,La Mélodie,"2,9",Rachid Hami,"3,4"
372,Ryûnosuke Kamiki,28 décembre 2016,Your Name,"4,0",Makoto Shinkai,"4,6"
373,Medi Sadoun,8 mars 2017,Baby Phone,"2,5",Olivier Casas,"3,0"
374,Ryan Gosling,25 janvier 2017,La La Land,"4,4",Damien Chazelle,"4,3"
375,James McAvoy,22 février 2017,Split,"3,7",M. Night Shyamalan,"4,1"
376,Nawell Madani,29 novembre 2017,C'est tout pour moi,"3,0",Nawell Madani,"4,5"
377,Luis Tosar,24 janvier 2017,Insiders,,Daniel Calparsoro,"2,4"
378,Isabelle Huppert,6 avril 2016,L'Avenir,"3,8",Mia Hansen-Løve,"3,2"
379,,27 septembre 2017,L'Intelligence des Arbres,"2,8",Julia Dordel,"3,7"
380,Andrew Garfield,9 novembre 2016,Tu ne tueras point,"3,0",Mel Gibson,"4,5"
381,Eddie Redmayne,16 novembre 2016,Les Animaux fantastiques,"3,5",David Yates,"4,1"
382,Emmanuelle Devos,11 octobre 2017,Numéro Une,"3,3",Tonie Marshall,"3,4"
383,Brad Pitt,23 novembre 2016,Alliés,"2,8",Robert Zemeckis,"3,5"
384,Jennifer Lawrence,28 décembre 2016,Passengers,"3,2",Morten Tyldum,"3,9"
385,Ryan Reynolds,10 février 2016,Deadpool,"3,0",Tim Miller,"4,2"
386,Omar Sy,7 décembre 2016,Demain Tout Commence,"3,2",Hugo Gélin,"4,3"
387,Benedict Cumberbatch,26 octobre 2016,Doctor Strange,"3,1",Scott Derrickson,"4,0"
388,Margot Robbie,3 août 2016,Suicide Squad,"2,0",David Ayer,"2,9"
389,Amy Adams,7 décembre 2016,Premier Contact,"4,1",Denis Villeneuve,"4,1"
390,Chris Evans,27 avril 2016,Captain America: Civil War,"3,2",Anthony Russo,"4,0"
391,Ross O'Hennessy,2 février 2018,Knights of the Damned,,Simon Wells,"2,6"
392,Ahmed Sylla,25 janvier 2017,L'Ascension,"3,6",Ludovic Bernard,"4,1"
393,Taraji P. Henson,8 mars 2017,Les Figures de l'ombre,"3,3",Theodore Melfi,"4,4"
394,Alice Pol,1 février 2017,RAID Dingue,"2,8",Dany Boon,"2,9"
395,Louise Bourgoin,20 septembre 2017,L'un dans l'autre,"1,9",Bruno Chiche,"2,6"
396,Patrick Bruel,25 janvier 2017,Tous en scène,"3,6",Garth Jennings,"4,2"
397,Guillaume Canet,15 février 2017,Rock'n Roll,"3,3",Guillaume Canet,"2,7"
398,Jessica Chastain,8 mars 2017,Miss Sloane,"3,2",John Madden,"4,1"
399,Gaspard Ulliel,21 septembre 2016,Juste La Fin Du Monde,"3,2",Xavier Dolan,"3,7"
400,Viggo Mortensen,12 octobre 2016,Captain Fantastic,"3,6",Matt Ross,"4,3"
401,Doria Tillier,8 mars 2017,Monsieur & Madame Adelman,"3,4",Nicolas Bedos,"4,0"
402,Joel Edgerton,15 février 2017,Loving,"3,8",Jeff Nichols,"3,8"
403,Charlie Hunnam,15 mars 2017,The Lost City of Z,"4,5",James Gray,"3,8"
404,Danila Kozlovsky,18 mars 2017,"Viking, la naissance d’une nation",,Andrey Kravchuk,"2,5"
405,Kate Upton,19 février 2018,The Layover,,William H. Macy,"2,2"
406,Agnès Jaoui,26 avril 2017,Aurore,"3,4",Blandine Lenoir,"3,4"
407,Denzel Washington,22 février 2017,Fences,"2,8",Denzel Washington,"3,5"
408,Cerise Calixte,30 novembre 2016,"Vaiana, la légende du bout du monde","3,6",John Musker,"4,2"
