,actors,date,genres,movie,press_rating,producers,spectators_rating
0,Robert Stadlober ; Kostja Ullmann ; Alicja Bachleda ; ,29 juin 2005,Drame ; ,Summer Storm,2.6,Marco Kreuzpaintner ; ,3.9
1,Devon Werkheiser ; Camilla Belle ; Sean Marquette ; ,15 avril 2017,Action ; Comédie ; Romance ; ,Sundown,,Fernando Lebrija ; ,3.1
2,Agyness Deyn ; Peter Mullan ; Kevin Guthrie ; ,30 mars 2016,Drame ; ,Sunset Song,3.9,Terence Davies ; ,3.0
3,Viktor Verzhbitskiy ; Olga Tumaykina ; Aleksei Grishin ; ,13 mai 2016,Action ; Thriller ; Science fiction ; ,Survival Game,,Sarik Andreasyan ; ,2.0
4,,/,Divers ; ,Temoin gênant,,,2.7
5,Walter Prieto ; Emiliano Otegui ; Julio Velez ; ,4 décembre 1996,Thriller ; ,Tesis,,Alejandro Amenábar ; ,3.6
6,Robin Williams ; Gene Hackman ; Nathan Lane ; ,1 mai 1996,Comédie ; ,The Birdcage,,Mike Nichols ; ,2.6
7,Ohad Knoller ; Alon Friedman ; Yousef Sweid ; ,4 juillet 2007,Drame ; ,The Bubble,3.7,Eytan Fox ; ,3.6
8,Ziyi Zhang ; Takeshi Kaneshiro ; Song Hye-kyo ; ,/,Drame ; ,The Crossing,,John Woo ; ,3.3
9,Jessica Chastain ; James McAvoy ; Nina Arianda ; ,1 novembre 2014,Drame ; Romance ; ,The Disappearance Of Eleanor Rigby: Her,,Ned Benson ; ,3.5
10,Michael St. Michaels ; Sky Elobar ; Elizabeth De Razzo ; ,24 janvier 2017,Epouvante-horreur ; Comédie ; ,The Greasy Strangler,,Jim Hosking ; ,2.4
11,André Sjoberg ; Tuva Novotny ; Anders Ekborg ; ,23 avril 2012,Action ; Drame ; Historique ; ,The Guild,,Måns Mårlind ; Björn Stein ; ,2.7
12,Sam Elliott ; Laura Prepon ; Nick Offerman ; ,9 novembre 2017,Drame ; Comédie ; ,The Hero,,Brett Haley ; ,3.3
13,Henry Rollins ; Torrance Coombs ; Victoria Pratt ; ,17 août 2016,Action ; ,The Last Heist,,Mike Mendez ; ,2.7
14,Sheri Moon Zombie ; Bruce Davison ; Jeffrey Daniel Phillips ; ,15 mai 2013,Epouvante-horreur ; Thriller ; ,The Lords of Salem,,Rob Zombie ; ,2.1
15,Jon Bon Jovi ; David Bowie ; Jim Carrey ; ,/,Documentaire ; ,The Love We Make,,Albert Maysles ; Bradley Kaplan ; ,3.2
16,Mike Mizanin ; Josh Blacker ; Matthew MacCaull ; ,1 octobre 2015,Action ; Thriller ; ,The Marine 4: Moving Target,,William Kaufman ; ,2.5
17,Dean Andrews ; Thomas Craig ; Joe Duttine ; ,2 janvier 2002,Comédie dramatique ; ,The Navigators,3.9,Ken Loach ; ,3.4
18,Taylor Schilling ; Jason Schwartzman ; Adam Scott ; ,3 novembre 2015,Comédie ; ,The Overnight,,Patrick Brice ; ,
19,Leighton Meester ; Minka Kelly ; Cam Gigandet ; ,15 juin 2011,Thriller ; Drame ; ,The Roommate,,Christian E. Christiansen ; ,2.6
20,Sarah Polley ; Tim Robbins ; Javier Cámara ; ,19 avril 2006,Drame ; Romance ; ,The Secret life of words,3.3,Isabel Coixet ; ,3.2
21,Maiara Walsh ; Brant Daugherty ; Lauren Bowles ; ,31 mai 2018,Comédie ; ,The Starving Games,,Aaron Seltzer ; Jason Friedberg ; ,
22,James Spader ; Keanu Reeves ; Ernie Hudson ; ,8 novembre 2000,Thriller ; Policier ; ,The Watcher,2.5,Joe Charbanic ; ,1.9
23,Kevin Costner ; Rene Russo ; Tom Todoroff ; ,11 septembre 1996,Comédie ; ,Tin Cup,,Ron Shelton ; ,3.3
24,Samaire Armstrong ; Kevin Zegers ; Emily Hampshire ; ,24 juin 2015,Comédie ; Romance ; ,"Toi, c'est moi",,Nick Hurran ; ,3.3
25,Louis Hofmann ; Leon Seidel ; Heike Makatsch ; ,3 juillet 2012,Aventure ; Famille ; ,Tom Sawyer,,Hermine Huntgeburth ; ,3.0
26,Moa Gammel ; Lykke Li ; Ola Rapace ; ,/,Thriller ; Drame ; ,Tommy,,Tarik Saleh ; ,3.0
27,François Damiens ; Audrey Dana ; Cédric Constantin ; ,21 mars 2012,Comédie ; ,Torpédo,3.1,Matthieu Donck ; ,3.3
28,Steve Oram ; Alice Lowe ; Eileen Davies ; ,26 décembre 2012,Comédie ; ,Touristes,3.4,Ben Wheatley ; ,2.8
