,actors,date,movie,press_rating,producer,spectators_rating
0,Jean-Jacques Rausin ; Myriam Boyer ; Serge Riaboukine ; ,6 juillet 2016,Je me tue à le dire,"3,4",Xavier Seron ; ,"3,2"
1,Sarah Snook ; Mark Webber ; David Andrews ; ,25 juin 2015,Jessabelle,,Kevin Greutert ; ,"2,6"
2,Vince Vaughn ; Dave Franco ; Tom Wilkinson ; ,20 mai 2015,Jet Lag,,Ken Scott ; ,"2,2"
3,Marlon Brando ; James Mason ; John Gielgud ; ,16 octobre 1953,Jules César,,Joseph L. Mankiewicz ; ,"3,8"
4,Tilda Swinton ; Saul Rubinek ; Kate del Castillo ; ,12 mars 2008,Julia,"4,1",Erick Zonca ; ,"3,4"
5,Solveig Dommartin ; Pietro Falcone ; Enzo Turrin ; ,23 octobre 1991,Jusqu'au bout du monde,,Wim Wenders ; ,"3,8"
6,Feiyang Luo ; Lixun Xie ; Yongzhong Chen ; ,23 mars 2016,Kaili Blues,"4,0",Bi Gan ; ,"3,4"
7,,27 septembre 2017,Kalachakra,,Natalie Fuchs ; ,"3,4"
8,Estelle Desanges ; Philippe Visconti ; Carla Paris ; ,/,Kama-Sutra - Les secrets de l'art amoureux,,Blaise Casanova ; ,"3,1"
9,Burak Özçivit ; Hakan Karsak ; Sezgi Mengi ; ,25 novembre 2017,Kardeşim Benim 2,,Mert Baykal ; ,"3,0"
10,Hugh Jackman ; Meg Ryan ; Liev Schreiber ; ,3 avril 2002,Kate & Leopold,"2,8",James Mangold ; ,"2,6"
11,Damian Lewis ; Abigail Breslin ; Amy Ryan ; ,21 septembre 2005,Keane,"4,7",Lodge Kerrigan ; ,"3,2"
12,Neil Maskell ; Myanna Buring ; Harry Simpson ; ,11 juillet 2012,Kill List,"3,4",Ben Wheatley ; ,"2,5"
13,Ben Barnes ; Robert Sheehan ; Pete Postlethwaite ; ,3 août 2011,Killing Bono,"2,7",Nick Hamm ; ,"3,5"
14,Ken Jeong ; David Hasselhoff ; Rhys Darby ; ,16 septembre 2017,Killing Hasselhoff,,Darren Grant ; ,"2,1"
15,Abigail Breslin ; Julia Ormond ; Chris O'Donnell ; ,18 mars 2017,Kit Kittredge: An American Girl,,Patricia Rozema ; ,"2,8"
16,Dustin Hoffman ; Meryl Streep ; Justin Henry ; ,7 février 1980,Kramer contre Kramer,,Robert Benton ; ,"3,8"
17,Alicia Vikander ; Bill Skarsgård ; Loa Falkman ; ,/,Kronjuvelerna,,Ella Lemhagen ; ,"3,3"
18,Freddie Jones ; Ken Marshall ; Lysette Anthony ; ,8 février 1984,Krull,,Peter Yates ; ,"2,8"
19,Hatha Yogi Baba ; Mamta Devi ; Kishan Tiwari ; ,30 juillet 2014,"Kumbh Mela, Sur Les Rives Du Fleuve Sacré","3,7",Pan Nalin ; ,"3,9"
20,Richard Berry ; Richard Bohringer ; Victoria Abril ; ,4 avril 1984,L'addition,,Denis Amar ; ,"2,7"
21,Sophie Renoir ; Emmanuelle Chaulet ; Eric Viellard ; ,26 août 1987,L'Ami de mon amie,,Eric Rohmer ; ,"3,8"
22,Paul Barbier ; Mathieu Bulle ; ,3 décembre 2008,L'apprenti,"4,1",Samuel Collardey ; ,"3,5"
23,William Holden ; Virna Lisi ; Bourvil ; ,6 novembre 2012,L'Arbre de Noël,,Terence Young ; ,"3,8"
24,Huub Stapel ; Josine Van Dalsum ; Willeke Van Ammelrooy ; ,18 octobre 2006,L'Ascenseur,,Dick Maas ; ,"2,5"
25,Sylvester Stallone ; Ornella Muti ; Peter Riegert ; ,28 août 1991,L'Embrouille est dans le sac,,John Landis ; ,"2,6"
26,Michel Houellebecq ; Maxime Lefrancois ; Françoise Lebrun ; ,29 août 2014,L'Enlèvement de Michel Houellebecq,,Guillaume Nicloux ; ,"3,8"
27,Marie-Josée Croze ; Fred Testot ; Grégoire Plantade ; ,18 janvier 2018,L'Épreuve d'amour,,Arnaud Sélignac ; ,"3,1"
28,Clint Eastwood ; Sondra Locke ; Pat Hingle ; ,5 avril 1978,L'Epreuve de force,,Clint Eastwood ; ,"3,3"
29,Tom Cruise ; Craig T. Nelson ; Lea Thompson ; ,30 juin 2003,L'Esprit d'équipe,,Michael Chapman ; ,"2,6"
30,Sibel Kekilli ; Derya Alabora ; Florian Lukas ; ,20 avril 2011,L'Etrangère,"3,7",Feo Aladag ; ,"4,1"
31,Didier Bourdon ; Bernard Campan ; Danièle Lebrun ; ,2 février 2000,L'Extraterrestre,"2,6",Didier Bourdon ; ,"1,3"
32,Roger Moore ; Christopher Lee ; Britt Ekland ; ,20 décembre 1974,L'Homme au pistolet d'or,,Guy Hamilton ; ,"3,2"
33,James Cagney ; Dorothy Malone ; Jane Greer ; ,14 mars 1958,L'Homme aux mille visages,,Joseph Pevney ; ,"3,3"
