,actors,date,genres,movie,press_rating,producers,spectators_rating
0,Mark Strong ; Taissa Farmiga ; Brian Cox ; ,18 mars 2017,Thriller ; Drame ; ,Mindscape,,Jorge Dorado ; ,3.6
1,Hume Cronyn ; Jessica Tandy ; Frank McRae ; ,3 décembre 2002,Fantastique ; Comédie ; ,Miracle sur la 8ème rue,,Matthew Robbins ; ,3.7
2,Lino Ventura ; Mireille Darc ; Jean Lefebvre ; ,20 avril 1966,Comédie ; Policier ; ,Ne nous fâchons pas,,Georges Lautner ; ,3.6
3,Jonathan Howard ; Jonathan Demurger ; Fanny Valette ; ,13 janvier 2016,Thriller ; ,Night Fare,2.4,Julien Seri ; ,2.7
4,Shah Rukh Khan ; Deepika Padukone ; Arjun Rampal ; ,5 novembre 2008,Drame ; Bollywood ; Romance ; ,Om Shanti Om,,Farah Khan ; ,4.3
5,Nina Hoss ; Ronald Zehrfeld ; Nina Kunzendorf ; ,28 janvier 2015,Drame ; ,Phoenix,4.2,Christian Petzold ; ,3.7
6,Jean-Paul Rouve ; Benoît Poelvoorde ; Arly Jover ; ,13 juin 2012,Comédie dramatique ; ,Quand je serai petit,2.9,Jean-Paul Rouve ; ,3.4
7,Richard Burton ; Clint Eastwood ; Mary Ure ; ,3 mai 2004,Guerre ; Aventure ; Action ; ,Quand les aigles attaquent,,Brian G. Hutton ; ,3.6
8,Marc Zinga ; Sabrina Ouazani ; Larouci Didi ; ,10 décembre 2014,Drame ; ,Qu’Allah bénisse la France,3.3,Abd Al Malik ; ,3.0
9,Orlando Bloom ; Kirsten Dunst ; Susan Sarandon ; ,2 novembre 2005,Comédie ; Romance ; ,Rencontres à Elizabethtown,3.2,Cameron Crowe ; ,2.9
10,Sylvester Stallone ; Talia Shire ; Burt Young ; ,12 janvier 1983,Action ; Drame ; ,Rocky III,,Sylvester Stallone ; ,3.3
11,Sean Astin ; Jon Favreau ; Ned Beatty ; ,26 septembre 2000,Drame ; Biopic ; ,Rudy,,David Anspaugh ; ,3.4
12,Samuel L. Jackson ; Colin Farrell ; Michelle Rodriguez ; ,3 décembre 2003,Action ; Policier ; Thriller ; ,S.W.A.T. unité d'élite,2.5,Clark Johnson ; ,2.4
13,Tobin Bell ; Costas Mandylor ; Scott Patterson ; ,5 novembre 2008,Epouvante-horreur ; ,Saw 5,1.5,David Hackl ; ,2.5
14,Anna Faris ; Anthony Anderson ; Leslie Nielsen ; ,24 décembre 2003,Comédie ; ,Scary Movie 3,3.1,David Zucker ; ,2.1
15,Clovis Cornillac ; Karole Rocher ; Jérôme Le Banner ; ,21 février 2007,Action ; Drame ; Policier ; ,Scorpion,2.0,Julien Seri ; ,2.3
16,Neve Campbell ; David Arquette ; Courteney Cox ; ,8 juillet 1998,Epouvante-horreur ; ,Scream 2,,Wes Craven ; ,2.5
17,Rowan Atkinson ; Kristin Scott Thomas ; Maggie Smith ; ,10 mai 2006,Comédie ; ,Secrets de famille,2.9,Niall Johnson ; ,2.9
18,Sarah Marshall ; Caroline Mouton ; Gaela Le Devehat ; ,26 décembre 2001,Comédie ; ,Sexy boys,2.3,Stéphane Kazandjian ; ,1.6
19,Whoopi Goldberg ; Kathy Najimy ; Barnard Hughes ; ,23 mars 1994,Comédie ; Musical ; ,"Sister Act, acte 2",,Bill Duke ; ,2.8
20,Brenton Thwaites ; Ewan McGregor ; Alicia Vikander ; ,1 mai 2015,Drame ; Action ; Thriller ; ,Son of a Gun,,Julius Avery ; ,3.4
21,Michael Jordan ; Bill Murray ; Danny Ainge ; ,5 février 1997,Comédie ; Fantastique ; Aventure ; ,Space Jam,,Joe Pytka ; ,2.6
22,Joshua Jackson ; Rachael Taylor ; Megumi Okina ; ,27 août 2008,Epouvante-horreur ; ,Spirits,2.2,Masayuki Ochiai ; ,2.1
23,Martin Compston ; Michelle Coulter ; Annmarie Fulton ; ,11 décembre 2002,Drame ; ,Sweet Sixteen,4.5,Ken Loach ; ,3.8
24,,17 juillet 2017,Science fiction ; Action ; Drame ; ,Taking Earth,,,2.0
25,Vassil Vassilev ; Ivan Barnev ; Assen Blatechki ; ,11 octobre 2017,Drame ; ,Taxi Sofia,3.1,Stephan Komandarev ; ,3.9
26,Vincent Gallo ; Alden Ehrenreich ; Maribel Verdú ; ,23 décembre 2009,Drame ; ,Tetro,3.8,Francis Ford Coppola ; ,4.0
