,actors,date,genres,movie,press_rating,producers,spectators_rating
38,Winona Ryder ; Anne Bancroft ; Ellen Burstyn ; ,19 juin 1996,Comédie ; Drame ; Romance ; ,Le Patchwork de la vie,,Jocelyn Moorhouse ; ,3.1
39,Lillian Gish ; Robert Harron ; Clarine Seymour ; ,6 juin 2016,Comédie dramatique ; Romance ; ,Le Pauvre amour,,D.W. Griffith ; ,3.2
40,Françoise Arnoul ; Gilbert Bécaud ; Gaby Basset ; ,19 octobre 1956,Comédie ; ,Le Pays d'où je viens,,Marcel Carné ; ,3.1
41,Jean-Claude Poulain ; Odile Ghermani ; Babette Deboissy ; ,3 mars 1993,Documentaire ; ,Le Pays des sourds,,Nicolas Philibert ; ,3.4
42,Fini Straubinger ; Heinrich Fleischmann ; M. Baaske ; ,/,Documentaire ; ,Le Pays du silence et de l'obscurité,,Werner Herzog ; ,3.3
43,Piotr Stanislas ; Jean-Pierre Armand ; Marianne Aubert ; ,/,Divers ; ,Le Pensionnat des petites salopes,,Pierre B. Reinhard ; ,3.0
44,Pierre Renoir ; Georges Rollin ; Pierre Larquey ; ,4 octobre 2007,Comédie dramatique ; ,Le Père Goriot,,Robert Vernay ; ,3.0
45,Jacques Weber ; Brigitte Roüan ; Stanislas Crevillen ; ,11 janvier 1995,Comédie dramatique ; ,Le Petit garçon,,Pierre Granier-Deferre ; ,3.4
46,Ramasan Minkailov ; Aslan Elbiev ; Kheda Gazieva ; ,25 mars 2015,Drame ; ,Le petit homme,3.5,Sudabeh Mortezai ; ,3.4
47,Ilian Calaber ; Denis Lavant ; Rachel Arditi ; ,/,Divers ; ,Le Petit Poucet,,Marina De Van ; ,2.9
48,Richard Kiley ; Steven Warner ; Bob Fosse ; ,18 août 2004,Comédie musicale ; ,Le Petit prince,,Stanley Donen ; ,2.9
49,Jeff Bennett ; Jodi Benson ; Corbin Bleu ; ,21 août 2012,Animation ; Famille ; ,Le Petit train bleu,,Elliot M. Bour ; ,3.0
50,Cécile de France ; ,/,Documentaire ; ,Le peuple miniature,,Mark Brownlow ; Michael Gunton ; Simon Bell ; ,3.4
51,Guillaume Depardieu ; Vincent Perez ; Pascal Légitimus ; ,15 janvier 2003,Thriller ; Policier ; ,Le Pharmacien de garde,2.6,Jean Veber ; ,2.1
52,Boti Bliss ; Ashley Leggat ; Cinthia Burke ; ,/,Thriller ; ,Le Piège des Apparences,,Curtis Crawford ; ,2.9
53,Henri Guybet ; Claude Jade ; Michel Galabru ; ,25 octobre 1978,Comédie dramatique ; ,Le Pion,,Christian Gion ; ,3.0
54,Victoria Abril ; Joan Carreras ; Pep Ferrer ; ,5 octobre 2010,Comédie ; ,Le Piquant de la vie,,Dolorès Payas ; ,2.7
55,Donald Crisp ; Billie Dove ; Douglas Fairbanks ; ,3 février 2004,Aventure ; ,Le Pirate noir,,Albert Parker ; ,3.0
56,,11 janvier 2006,Documentaire ; ,"Le Plafond de verre, les défricheurs",3.8,Yamina Benguigui ; ,3.1
57,,3 novembre 2010,Documentaire ; ,Le Plein pays,2.8,Antoine Boutet ; ,3.3
58,AnnaLynne McCord ; Jefferson Brown ; Jennifer Gibson ; ,/,Comédie dramatique ; ,Le Plus beau char de Noël,,Jonathan Wright ; ,2.9
59,,18 décembre 2013,Documentaire ; ,Le Plus beau pays du monde,,Frédéric Fougea ; ,3.1
60,Guillaume Lemay-Thivierge ; Viviane Audet ; Antoine Bertrand ; ,/,Aventure ; ,Le Poil de la Bête,,Philippe Gagnon ; ,2.4
61,Jess Hahn ; Michel Blanc ; Henri Attal ; ,26 octobre 1977,Thriller ; ,Le Point de mire,,Jean-Claude Tramont ; ,2.9
62,Paul Newman ; Edward Asner ; Ken Wahl ; ,3 juin 1981,Action ; ,Le Policeman,,Daniel Petrie ; ,3.1
63,Jean Gabin ; Andree Debar ; Henri Vidal ; ,15 novembre 2006,Drame ; ,Le Port du désir,,Edmond T. Greville ; ,3.2
64,Jérémie Covillault ; Jean-Francois Garreaud ; Laure Duthilleul ; ,/,Comédie dramatique ; ,Le Porteur de destins,,Denis Malleval ; ,3.1
65,Jennifer Jones ; Joseph Cotten ; Ethel Barrymore ; ,1 août 2006,Drame ; Fantastique ; Romance ; ,Le Portrait de Jennie,,William Dieterle ; ,3.6
66,François Berléand ; Edouard Montoute ; Gwendoline Hamon ; ,/,Comédie ; ,Le Pot de colle,,Julien Seri ; ,2.9
67,Nino Manfredi ; Ugo Tognazzi ; Paolo Stoppa ; ,/,Comédie ; Policier ; ,Le Pot de vin,,Sergio Corbucci ; ,3.0
68,Michele Placido ; Saverio Marconi ; Isabella Rossellini ; ,/,Comédie dramatique ; ,Le Pré,,Paolo Taviani ; Vittorio Taviani ; ,3.2
69,Robert Duvall ; Miranda Richardson ; Farrah Fawcett ; ,3 juin 1998,Drame ; ,Le Prédicateur,,Robert Duvall ; ,3.1
70,Clémentine Beaugrand ; Gérald Thomassin ; Guillaume Saurrel ; ,2 avril 2008,Drame ; ,Le Premier venu,3.8,Jacques Doillon ; ,2.7
71,Jean-Pierre Darroussin ; Valérie Stroh ; Nathalie Richard ; ,4 octobre 2006,Drame ; ,Le Pressentiment,3.7,Jean-Pierre Darroussin ; ,2.1
72,Rod Steiger ; Geraldine Fitzgerald ; Brock Peters ; ,/,Drame ; ,Le Prêteur sur gages,,Sidney Lumet ; ,3.1
73,Laurent Lucas ; Lio ; Charlotte Vandriessche ; ,8 mars 2010,Fantastique ; ,Le Prince de ce monde,,Manuel Gomez ; ,3.0
74,Anton Yelchin ; Robin Williams ; Tea Leoni ; ,5 septembre 2006,Comédie dramatique ; ,Le Prince de Greenwich Village,,David Duchovny ; ,3.5
75,Nick Nolte ; Barbra Streisand ; Blythe Danner ; ,9 mars 2005,Drame ; Romance ; ,Le Prince des marées,,Barbra Streisand ; ,3.5
76,Kyle MacLachlan ; Alison Eastwood ; Joseph Cross ; ,/,Drame ; Science fiction ; ,Le prix de l'éternité,,David Jackson ; ,3.4
77,Kevin Costner ; David Marshall Grant ; Rae Dawn Chong ; ,/,Drame ; ,Le Prix de l'exploit,,John Badham ; ,3.2
78,Rebecca Pidgeon ; Brian Dennehy ; Julian Sands ; ,/,Thriller ; ,Le Prix de la trahison (TV),,Brent Huff ; ,3.0
79,Florence Carrez-Delay ; Jean-Claude Fourneau ; Roger Honorat ; ,23 mai 2005,Drame ; Historique ; ,Le Procès de Jeanne d'Arc,,Robert Bresson ; ,3.7
80,James Caan ; Halle Berry ; Omar Epps ; ,/,Comédie dramatique ; Action ; ,Le Programme,,David S. Ward ; ,3.2
81,Michel Galabru ; Roland Giraud ; Gabrielle Lazure ; ,11 janvier 2011,Comédie ; ,Le Provincial,,Christian Gion ; ,3.0
82,James Belushi ; Louis Gossett Jr. ; Rae Dawn Chong ; ,3 juillet 2002,Drame ; ,Le Proviseur,,Christopher Cain ; ,3.3
83,Heath Ledger ; Shannyn Sossamon ; Mark Addy ; ,19 novembre 2003,Thriller ; Action ; ,Le Purificateur,2.0,Brian Helgeland ; ,2.3
84,,/,Divers ; ,Le Refroidisseur de dames,,,3.1
85,Shin Hyeon-jun ; Yoon So-yi ; Lee Seo-jin ; ,19 mars 2009,Aventure ; Action ; ,Le Règne par le sabre,,Young-jun Kim ; ,2.8
86,Kirk Douglas ; Henry Fonda ; John Randolph ; ,19 septembre 1970,Aventure ; Comédie ; Western ; ,Le Reptile,,Joseph L. Mankiewicz ; ,3.8
87,Richard Jenkins ; Mark Harmon ; Blair Brown ; ,18 mars 2017,Romance ; Drame ; ,Le Retour de Billy Wyatt,,Steven Kampmann ; William Porter ; ,3.2
88,Franco Nero ; Virna Lisi ; John Steiner ; ,/,Aventure ; ,Le Retour de Buck le loup,,Lucio Fulci ; ,2.8
89,Bill Bixby ; Lou Ferrigno ; Jack Colvin ; ,11 mars 2002,Action ; Fantastique ; Aventure ; ,Le Retour de l'incroyable Hulk,,Bill Bixby ; Nicholas Corea ; ,2.8
90,Peter Sellers ; Christopher Plummer ; Herbert Lom ; ,20 juillet 1999,Comédie ; Policier ; ,Le Retour de la Panthère rose,,Blake Edwards ; ,3.0
91,Lee Van Cleef ; Reiner Schöne ; Giampiero Albertini ; ,22 avril 2009,Western ; Comédie ; ,Le Retour de Sabata,,Gianfranco Parolini ; ,2.7
92,Michael Kenworthy ; Thor Van Lingen ; Jason Hogan ; ,20 octobre 2004,Epouvante-horreur ; Comédie ; ,Le Retour des morts-vivants 2,,Ken Wiederhorn ; ,2.7
93,Luciano Federico ; Michael York ; Oliver Reed ; ,1 janvier 2013,Aventure ; Comédie ; Romance ; ,Le Retour des mousquetaires,,Richard Lester ; ,2.5
94,Yul Brynner ; Robert Fuller ; Julián Mateos ; ,/,Western ; ,Le Retour des sept,,Burt Kennedy ; ,2.4
95,Ludmila Mikaël ; Sam Karmann ; Lisa Martino ; ,/,Drame ; ,Le Rêve d'Esther (TV),,Jacques Otmezguine ; ,3.2
96,Gig Young ; John Wayne ; Luther Adler ; ,2 février 2000,Aventure ; Action ; ,Le Reveil de la sorciere rouge,,Edward Ludwig ; ,3.1
97,Pat O'Brien ; Humphrey Bogart ; Ann Sheridan ; ,8 novembre 2006,Action ; ,Le Révolté,,Lloyd Bacon ; ,2.9
98,Francis Perrin ; Marie-Christine Descouard ; Isabelle Mejias ; ,17 février 1981,Comédie ; ,Le Roi des cons,,Claude Confortès ; ,2.0
99,Woo-seong Kam ; Jin-yeong Jeong ; Seong-Yeon Kang ; ,23 janvier 2008,Drame ; Historique ; ,Le Roi et le clown,3.4,Lee Jun-ik ; ,3.8
100,Stephen Chow ; Man Tat Ng ; Law Kar-Ying ; ,/,Action ; Aventure ; Comédie ; ,Le Roi singe 1 - La boîte de Pandore,,Jeff Lau ; ,3.0
101,Stephen Chow ; Man Tat Ng ; Karen Mok ; ,/,Action ; Comédie ; Fantastique ; ,Le roi singe 2 - Cendrillon,,Jeffrey Lau ; ,2.9
102,Thierry Lhermitte ; Claire Keim ; Patrick Bouchitey ; ,18 avril 2001,Comédie dramatique ; ,Le Roman de Lulu,3.1,Pierre-Olivier Scotto ; ,3.1
103,Martine Chevallier ; Fanny Ardant ; ,/,Divers ; ,Le roman du samedi: Mémoires de deux jeunes mariées,,Marcel Cravenne ; ,2.9
104,"Joselito Jiménez ""Joselito"" ; Roberto Camardiel ; Dolores Villaespesa ; ",/,Divers ; ,Le Rossignol des montagnes,,Antonio Del Amo ; ,3.0
105,Alireza Kamalinejad ; Zahra Saeedi ; Javad Taheri ; ,/,Guerre ; Historique ; ,Le Royaume de Salomon,,Shahriar Bahrani ; ,3.1
106,Keira Knightley ; Stephen Moyer ; Jonathan Hyde ; ,9 janvier 2007,Aventure ; Action ; ,Le Royaume des voleurs,,Peter Hewitt ; ,2.4
107,Daniel Davis ; John Di Maggio ; Michael Dorn ; ,20 octobre 2008,Animation ; Science fiction ; ,Le Ruban de Moebius,,Glenn Chaika ; ,2.6
108,Cornel Wilde ; Rip Torn ; Jean Wallace ; ,7 mars 2017,Drame ; Guerre ; ,Le Sable était rouge,,Cornel Wilde ; ,3.1
109,Tomisaburo Wakayama ; Taketoshi Naito ; Akihiro Tomikawa ; ,27 novembre 2003,Action ; Drame ; ,Le Sabre de la vengeance,5.0,Kenji Misumi ; ,3.7
