,actors,date,movie,press_rating,producer,spectators_rating
0,,/,La Louisiane - Un souvenir de France,,Jean-Louis Mathon ; ,3.0
1,Richard Bohringer ; Jean-François Balmer ; Caroline Sihol ; ,/,La Lumiere des etoiles mortes,,Charles Matton ; ,3.3
2,William Holden ; David Niven ; Tom Tully ; ,1 juillet 1953,La Lune était bleue,,Otto Preminger ; ,3.3
3,Noémie Schmidt ; Nausicaa Bonnín ; Natalia de Molina ; ,/,La luz de Elna,,Silvia Quer ; ,3.1
4,Colette Descombes ; Gloria Guida ; Gianluigi Chirizzi ; ,/,La Lyceenne découvre l'amour,,Mario Imperoli ; ,3.0
5,Lee J. Cobb ; Franco Nero ; Claudia Cardinale ; ,30 septembre 2017,La Mafia fait la loi,,Damiano Damiani ; ,3.0
6,Pif ; Cristiana Capotondi ; Alex Bisconti ; ,15 décembre 2017,La mafia tue seulement l'été,,Pif ; ,3.0
7,Humphrey Bogart ; Gene Tierney ; Lee J. Cobb ; ,7 novembre 2015,La main gauche du Seigneur,,Edward Dmytryk ; ,3.1
8,Anémone ; Richard Bohringer ; Patti D'Arbanville ; ,/,La Maison,,Gérard Brach ; ,3.0
9,Jacqueline Bisset ; Vincent Perez ; Veronique Silver ; ,2 novembre 1988,La maison de jade,,Nadine Trintignant ; ,2.8
10,Megan Gallagher ; Eric Lutes ; Sofia Vassilieva ; ,18 mars 2009,La Maison de l'étrange,,Kelly Sandefur ; ,2.0
11,Youki Kudoh ; Michié ; Toshie Negishi ; ,/,La Maison des Sévices,,Takashi Miike ; ,3.2
12,Hallee Hirsh ; Austin Rogers ; Linda Hamilton ; ,/,La maison du silence,,Nicholas Brandt ; Lisa Hamil ; ,2.3
13,Bob Dennis ; ,17 avril 2001,La Maison Hantée,,John Polonia ; Mark Polonia ; ,2.7
14,Sean Connery ; Michelle Pfeiffer ; Roy Scheider ; ,20 mars 1991,La Maison Russie,,Fred Schepisi ; ,2.5
15,Pierre Bokma ; Jean-Christophe Folly ; Jenny Schily ; ,/,La maladie du sommeil,,Ulrich Köhler ; ,3.0
16,,/,La Malédiction de la veuve noire,,Dan Curtis ; ,3.2
17,Morena Baccarin ; Adam Baldwin ; Victor Webster ; ,21 août 2012,La Malédiction des sables,,David Flores ; ,2.4
18,Geori Boue ; Sacha Guitry ; Suzy Prim ; ,16 février 1944,La Malibran,,Sacha Guitry ; ,2.5
19,Gordon Liu ; David Chiang ; Chia Yung Liu ; ,18 octobre 2005,La Mante religieuse,,Chia-Liang Liu ; ,3.5
20,Stephen Fry ; ,14 février 2012,La Marche des dinosaures,,Matthew Thompson (III) ; ,2.8
21,Michele Placido ; Franco Nero ; Miou-Miou ; ,26 janvier 1977,La Marche triomphale,,Marco Bellocchio ; ,3.1
22,Magnus Krepper ; Antti Reini ; Claes Malmberg ; ,4 juin 2017,La mariée du diable,,Saara Cantell ; ,2.9
23,Bob Hope ; Phyllis Diller ; Jeffrey Hunter ; ,/,La Marine en folie,,Frank Tashlin ; ,3.1
24,Pierre Larquey ; Marie Déa ; Yves Vincent ; ,3 mars 2015,La Maternelle,,Henri Diamant-Berger ; ,3.1
25,Lindy Booth ; Robin Dunne ; Kim Roberts ; ,/,La Mélodie de Noël,,Harvey Crossland ; ,3.0
26,Joanne Woodward ; Karen Allen ; John Malkovich ; ,/,La Menagerie de verre,,Paul Newman ; ,3.3
27,Jean-Paul Belmondo ; Gina Lollobrigida ; Tomás Milián ; ,5 juillet 2004,La Mer à boire,,Renato Castellani ; ,2.6
28,Jack Hawkins ; Donald Sinden ; John Stratton ; ,30 mai 2012,La Mer cruelle,,Charles Frend ; ,3.0
29,Christine Leuk ; Valerie Wilson ; Daniel Bellus ; ,21 décembre 2014,La Michetonneuse,,Francis Leroi ; ,2.9
30,Kate del Castillo ; Adrian Alonso ; Eugenio Derbez ; ,3 mars 2010,La Misma luna,,Patricia Riggen ; ,2.9
31,Richard Riehle ; Danny Woodburn ; Bonnie Somerville ; ,1 décembre 2010,La Mission de Chien Noël,,Robert Vince ; ,3.6
32,Gary Cooper ; Phyllis Thaxter ; David Brian ; ,13 juin 2007,La Mission du commandant Lex,,André De Toth ; ,2.7
33,Hong Qifa ; Dequn Han ; Zelin Xu ; ,6 août 2008,La Môme Xiao,3.7,Tao Peng ; ,2.8
34,Djamila Amzal ; Abderrahmane Debiane ; Ali Ighil Ali ; ,/,La Montagne de Baya,,Azzedine Meddour ; ,3.0
35,Ursula Andress ; Stacy Keach ; Claudio Cassinelli ; ,8 février 2005,La Montagne du Dieu cannibale,,Sergio Martino ; ,2.3
36,Christophe Miossec ; Lizzie Brocheré ; ,23 décembre 2015,La montagne magique,3.9,Anca Damian ; ,3.0
37,Catherine Hicks ; Mary McDonnell ; Bill Cobbs ; ,/,La Montre à remonter le temps,,Steven Schachter ; ,3.3
38,Tim Roth ; Dougray Scott ; Rupert Everett ; ,3 août 2011,La Mort d'un roi,,Mike Barker ; ,3.3
39,,/,La Mort de Danton,,Alice Diop ; ,3.1
40,José Garcia ; Denis Podalydès ; Isabelle Carré ; ,24 juin 1998,La Mort du Chinois,,Jean-Louis Benoît ; ,2.0
41,Stephen Dorff ; Michelle Monaghan ; Willem Dafoe ; ,26 mars 2013,La Mort en sursis,,David Jacobson ; ,2.0
42,,20 septembre 2017,"La Mort se mérite, digressions avec Serge Livrozet",,Nicolas Drolc ; ,3.2
43,Marina Pierro ; Françoise Blanchard ; Mike Marshall ; ,/,La Morte Vivante,,Jean Rollin ; ,2.5
44,,/,La Mouche,,Vladimir Kott ; ,3.2
45,James Mason ; Vanessa Redgrave ; Simone Signoret ; ,/,La Mouette,,Sidney Lumet ; ,3.2
46,Victoria Abril ; Lautaro Murúa ; Hilda Vera ; ,/,La muchacha de las bragas de oro,,Vicente Aranda ; Raul Gomez ; ,3.0
47,Rossy de Palma ; Karine Nuris ; ,/,La Mule,,Jean-Stéphane Sauvaire ; ,3.0
48,James Spader ; M. Emmet Walsh ; Mandy Patinkin ; ,/,La Musique du hasard,,Philip Haas ; ,3.4
49,Helena Mattsson ; Ben Cross ; Meagen Fay ; ,13 décembre 2010,La Mutante 4 (V),,Nick Lyon ; ,2.0
50,Danièle Delorme ; Dominique Sanda ; Jean Sorel ; ,/,La Naissance du jour,,Jacques Demy ; ,2.8
51,Aylin Tezel ; Henrike von Kuick ; Tomas Lemarquis ; ,/,La naissance du jour,,Pola Schirin Beck ; ,3.2
52,Anica Dobra ; Dominic Raacke ; Jonathan Beck ; ,/,La nounou de mes rêves,,Sibylle Tafel ; ,3.1
53,Jackie Chan ; Sing Chang ; Siu Siu Cheng ; ,18 juin 2001,La Nouvelle fureur de vaincre,,Lo Wei ; ,2.2
54,Denjiro Okochi ; Susumu Fujita ; Akitake Kono ; ,11 janvier 2006,La Nouvelle légende du grand judo,4.0,Akira Kurosawa ; ,3.2
55,Pascale Petit ; Jean-Paul Belmondo ; Massimo Girotti ; ,18 septembre 2008,La Novice,,Alberto Lattuada ; ,2.9
56,Hugh Grant ; Shabana Azmi ; Supriya Pathak ; ,26 octobre 1988,La Nuit Bengali,,Nicolas Klotz ; ,2.9
57,Ake Gronberg ; Harriet Andersson ; Gunnar Björnstrand ; ,3 décembre 2013,La Nuit des forains,,Ingmar Bergman ; ,3.7
58,Brianna Brown ; Joshua DesRoches ; Sid Haig ; ,23 octobre 2008,La Nuit des morts-vivants 3D,,Jeff Broadstreet ; ,2.3
59,Pierre Renoir ; Georges Koudria ; Winna Winfried ; ,/,La Nuit du carrefour,,Jean Renoir ; ,2.5
60,Amos Crawley ; Devon Sawa ; John Schneider ; ,/,La nuit du cyclone,,Timothy Bond ; ,3.0
61,James Woods ; Louis Gossett Jr. ; Bruce Dern ; ,5 octobre 2004,La Nuit du défi,,Michael Ritchie ; ,3.0
62,Oliver Reed ; Clifford Evans ; Yvonne Romain ; ,21 novembre 2007,La Nuit du loup-garou,,Terence Fisher ; ,3.4
63,Jezabel Carpi ; Ariel Genet ; Caroline Loeb ; ,/,La nuit porte jarretelles,,Virginie Thevenet ; ,3.0
64,Hayley Mills ; Leo Genn ; Hywel Bennett ; ,/,La Nuit qui n'en finit pas,,Sidney Gilliat ; ,3.1
65,Lea Martini ; Erica Bella ; ,/,La Nymphomane impériale,,Luca Damiano ; ,3.0
66,Jennie Garth ; Colin Cunningham ; Tyron Leitso ; ,/,La Onzième victime,,Mike Rohl ; ,3.1
67,James Belushi ; Kelly Lynch ; Alisan Porter ; ,5 avril 1992,La P'tite arnaqueuse,,John Hughes ; ,3.4
68,Virginie Ledoyen ; Cyprien Fouquet ; Laszlo Szabo (I) ; ,/,La Page blanche,,Olivier Assayas ; ,3.1
69,Marianne Koch ; Heinz Drache ; Horst Frank ; ,3 mai 2016,La Panthère noire de Ratana,,Jürgen Roland ; ,
70,Autumn Reeser ; Antonio Cupo ; April Telek ; ,/,La parade de Noël,,Ron Oliver ; ,3.4
71,Catherine Deneuve ; Pierre Richard ; Denis Lavant ; ,19 octobre 1994,La partie d'échecs,,Yves Hanchar ; ,2.6
72,Matthias Koeberlin ; Bernadette Heerwagen ; Peter Lerchbaumer ; ,/,La partition de la mort,,Lancelot von Naso ; ,3.1
73,Tom Dewispelaere ; Alex Van Warmerdam ; Maria Kraakman ; ,18 novembre 2015,La Peau de Bax,3.5,Alex Van Warmerdam ; ,2.9
74,Marc Delsaert ; Catriona MacColl ; Anne Caudry ; ,4 décembre 2012,La Peau de chagrin,,Michel Favart ; ,
75,Cho Seung-woo ; Kim Min-sun ; Kim Hak-joon ; ,8 juin 2005,La Pègre,3.7,Kwon-taek Im ; ,3.2
76,Richard Burton ; Rod Steiger ; Helmut Griem ; ,/,La Percée d'Avranches,,Andrew V. McLaglen ; ,3.1
77,Robert Taylor ; Stewart Granger ; Ann Blyth ; ,/,La Perle noire,,Richard Thorpe ; ,2.8
78,,15 novembre 2017,La Persécution des chrétiens aujourd'hui dans le monde,,Raphael Delpard ; ,3.1
79,William Hurt ; Sandrine Bonnaire ; Jean-Marc Barr ; ,26 août 1992,La peste,,Luis Puenzo ; ,2.9
80,Helene Foubert ; Sergi López ; Corine Darmon ; ,/,La Petite Amie d'Antonio,,Manuel Poirier ; ,3.3
81,Jodie Foster ; Martin Sheen ; Alexis Smith ; ,4 octobre 2005,La Petite Fille au bout du chemin,,Nicolas Gessner ; ,3.8
82,Ben Levine ; Jonathan Sagall ; Juliano Mer-Khamis ; ,30 novembre 2011,La Petite fille au tambour,,George Roy Hill ; ,3.0
83,Charisma Carpenter ; Dean Cain ; Kirstin Dorn ; ,/,La Petite fille aux miracles,,Craig Clyde ; ,3.0
84,Yu Yun-Mi ; Jo Yung-Jin ; Park Hyung-Woo ; ,11 février 2009,La Petite fille de la terre noire,3.9,Jeon Soo-il ; ,3.4
85,Christiane Hörbiger ; Philippa Schoene ; Veronica Ferres ; ,4 novembre 2014,La Petite Lady (TV),,Gernot Roll ; ,3.4
86,Delfina Varni ; Fabián Mazzei ; Ana María Orozco ; ,24 novembre 2009,La Petite Souris,,Juan Pablo Buscarini ; ,2.8
87,,/,La Pièce,,Pelin Esmer ; ,2.8
88,David Huffman ; Marianna Hill ; Burt Young ; ,3 juin 2014,La Plage sanglante,,Jeffrey Bloom ; ,2.8
89,Thomas Seraphine ; Stéphanie Rittweger De Moor ; Claire Pataut ; ,/,La Planète des cons (TV),,Charlie Dupont ; ,3.2
