,actors,date,movie,press_rating,producer,spectators_rating
0,Franca Mai ; Brigitte Lahaie ; Jean-Marie Lemaire ; ,18 juillet 1979,Fascination,,Jean Rollin ; ,"2,7"
1,Larry The Cable Guy ; David Mackey ; Erin Beute ; ,2 octobre 2013,Fée malgré lui 2,,Alex Zamm ; ,"2,4"
2,Marthe Keller ; Jean-Louis Trintignant ; Philippe Léotard ; ,14 mars 1984,Femmes de personne,,Christopher Frank ; ,"2,7"
3,Sergei Tulayev ; Piotr Kishteev ; Yulia Inozemtseva ; ,20 mai 2010,Few of us,,Sharunas Bartas ; ,"3,4"
4,Sandrine Kiberlain ; Sylvie Testud ; François Berléand ; ,11 juin 2003,Filles Uniques,"3,5",Pierre Jolivet ; ,"3,2"
5,Catherine Tanvier ; Christian Sinniger ; Agatha Couture ; ,19 mai 2010,Film Socialisme,"3,2",Jean-Luc Godard ; ,"2,1"
6,Robert Robyn ; Beth Weber ; Lucky Lohr ; ,/,Firelight,,Steven Spielberg ; ,"3,2"
7,El Carpeta ; Israel Galván ; Arcángel ; ,14 décembre 2011,"Flamenco, Flamenco","3,2",Carlos Saura ; ,"3,7"
8,Samuel Boidin ; Adélaïde Leroux ; Henri Cretel ; ,30 août 2006,Flandres,"3,7",Bruno Dumont ; ,"2,3"
9,Donnie Yen ; Louis Koo ; Collin Chou ; ,21 janvier 2009,Flashpoint,,Wilson Yip ; ,"3,4"
10,Hend Sabry ; Badis Behi ; Hichem Rostom ; ,/,Fleur D'Alep,,Ridha Behi ; ,"3,3"
11,Alain Delon ; Jean-Louis Trintignant ; Renato Salvatori ; ,/,Flic Story,,Jacques Deray ; ,"3,4"
12,Matthew Modine ; Nancy Travis ; Eric Stoltz ; ,19 juillet 2006,Fluke,,Carlo Carlei ; ,"3,7"
13,Stéphane Audran ; Bruce Dern ; Ann-Margret ; ,23 juin 1976,Folies bourgeoises,,Claude Chabrol ; ,"2,5"
14,Michelle Monaghan ; Ron Livingston ; Manolo Cardona ; ,8 juillet 2015,Fort Bliss,,Claudia Myers ; ,"3,0"
15,Gérard Depardieu ; Philippe Noiret ; Catherine Deneuve ; ,11 mai 1984,Fort Saganne,,Alain Corneau ; ,"3,2"
